NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ANKRD33B	1	Ankrd33b	
RNPEPL1	1	Rnpepl1	
SYCP2	1	Sycp2	
GADL1	1	Gadl1	
DNALI1	1	Dnali1	
S100A7A	1	S100a7a	
OPA1	1	Opa1	
PSD4	1	Psd4	
OPA3	1	Opa3	
PSD3	1	Psd3	
SLC37A4	1	Slc37a4	
SLC37A3	1	Slc37a3	
SH3D19	1	Sh3d19	
PLPBP	1	Plpbp	
NIPSNAP1	1	Nipsnap1	
NIPSNAP2	1	Nipsnap2	
PTP4A1	1	Ptp4a1	
PTP4A2	1	Ptp4a2	
PTP4A3	1	Ptp4a3	
RTN4RL1	1	Rtn4rl1	
RPL37A	1	Rpl37a	
SLC24A1	1	Slc24a1	
GTF2A1	1	Gtf2a1	
GTF2A2	1	Gtf2a2	
SLC24A3	1	Slc24a3	
SEMA3C	1	Sema3c	
UNC93B1	1	Unc93b1	
SEMA3B	1	Sema3b	
RPL36A	2	Rpl36a:Rpl36al	
SEMA3G	1	Sema3g	
SEMA3F	1	Sema3f	
JAKMIP1	1	Jakmip1	
LAGE3	1	Lage3	
DPCD	1	Gm17018	
AP3M2	1	Ap3m2	
AP3M1	1	Ap3m1	
EEF2KMT	1	Eef2kmt	
SEMA4A	1	Sema4a	
SEMA4D	1	Sema4d	
CMA1	1	Cma1	
SEMA4B	1	Sema4b	
CDC42BPG	1	Cdc42bpg	
SEMA4C	1	Sema4c	
ADRM1	1	Adrm1	
RPL35A	1	Rpl35a	
CFLAR	1	Cflar	
CDC42BPB	1	Cdc42bpb	
SEMA4G	1	Sema4g	
CDC42BPA	1	Cdc42bpa	
TRIT1	1	Trit1	
TPCN2	1	Tpcn2	
TPCN1	1	Tpcn1	
RAD52	1	Rad52	
RAD50	1	Rad50	
RAD51	1	Rad51	
SH3D21	1	Sh3d21	
CROCC	1	Crocc	
ESF1	1	Esf1	
SYCP3	4	1700013H16Rik:Sycp3:3830403N18Rik:Xlr	
SFTPA1	1	Sftpa1	
SLC24A5	1	Slc24a5	
CMAS	1	Cmas	
SOGA1	1	Soga1	
DPF1	1	Dpf1	
DPF2	1	Dpf2	
DPF3	1	Dpf3	
TIPIN	1	Tipin	
CMC4	1	Cmc4	
LMAN1L	1	Lman1l	
SLC11A1	1	Slc11a1	
CMC2	1	Cmc2	
CMC1	1	Cmc1	
SLC11A2	1	Slc11a2	
BOLA1	1	Bola1	
SLC6A13	1	Slc6a13	
SLC6A12	1	Slc6a12	
ACOD1	1	Acod1	
CMBL	1	Cmbl	
GBGT1	1	Gbgt1	
ZPBP	1	Zpbp	
PLPP7	1	Plpp7	
PLPP6	1	Plpp6	
PLPP5	1	Plpp5	
TCERG1L	1	Tcerg1l	
BOLA3	1	Bola3	
GRWD1	1	Grwd1	
WDPCP	1	Wdpcp	
PLPP3	1	Plpp3	
PLPP2	1	Plpp2	
LLGL1	1	Llgl1	
PLPP1	1	Plpp1	
PTGES	1	Ptges	
LLGL2	1	Llgl2	
PTGFR	1	Ptgfr	
LMAN2L	1	Lman2l	
GYPC	1	Gypc	
MGST3	1	Mgst3	
MGST1	1	Mgst1	
MGST2	1	Mgst2	
NMD3	1	Nmd3	
SLC6A20	1	Slc6a20b	
PTDSS2	1	Ptdss2	
SGPL1	1	Sgpl1	
PTDSS1	1	Ptdss1	
DPH1	1	Dph1	
DPH2	1	Dph2	
DPH3	1	Dph3	
DPH5	1	Dph5	
NAALAD2	1	Naalad2	
DPH6	1	Dph6	
DPH7	1	Dph7	
SRPK2	1	Srpk2	
RPL39L	1	Rpl39l	
SRPK3	1	Srpk3	
SIGLEC10	1	Siglecg	
MEMO1	1	Memo1	
SRPK1	1	Srpk1	
SESTD1	1	Sestd1	
GKAP1	1	Gkap1	
RYR1	1	Ryr1	
DAZAP2	1	Dazap2	
DAZAP1	1	Dazap1	
HILPDA	1	Hilpda	
GYS1	1	Gys1	
ZMYM1	1	Zmym1	
ZMYM2	1	Zmym2	
ZMYM3	1	Zmym3	
ZMYM4	1	Zmym4	
ZMYM5	1	Zmym5	
ZMYM6	1	Zmym6	
NME3	1	Nme3	
AP3B1	1	Ap3b1	
NME4	1	Nme4	
NME5	1	Nme5	
NME1	1	Nme1	
RAD51B	1	Rad51b	
CEACAM1	1	Ceacam1	
RAD51D	1	Rad51d	
RAD51C	1	Rad51c	
ADRB3	1	Adrb3	
NME6	1	Nme6	
NME7	1	Nme7	
CEACAM4	1	Ceacam10	
NME9	1	Nme9	
FIBIN	1	Fibin	
DNASE1L2	1	Dnase1l2	
DNASE1L3	1	Dnase1l3	
DNASE1L1	1	Dnase1l1	
UQCR11	1	Uqcr11	
UQCR10	1	Uqcr10	
RAD54B	1	Rad54b	
ANKMY2	1	Ankmy2	
ZNF355P	2	Zfp85:Zfp273	
ATP5F1A	1	Atp5a1	
ATP5F1B	1	Atp5b	
RAD54L	1	Rad54l	
LCMT2	1	Lcmt2	
JHY	1	Jhy	
LY6G6D	1	Ly6g6d	
LCMT1	1	Lcmt1	
LY6G6E	1	Ly6g6e	
ANKMY1	1	Ankmy1	
SUZ12	1	Suz12	
C1GALT1	1	C1galt1	
AP3D1	1	Ap3d1	
ERBIN	1	Erbin	
PRSS30P	1	Prss30	
ATP5F1C	1	Atp5c1	
ATP5F1D	1	Atp5d	
ATP5F1E	1	Atp5e	
RAB3GAP2	1	Rab3gap2	
ZNF354A	1	Zfp354a	
RAB3GAP1	1	Rab3gap1	
ZNF354C	1	Zfp354c	
ZNF354B	1	Zfp354b	
PRAG1	1	Prag1	
ESPN	1	Espn	
CMIP	1	Cmip	
SYDE1	1	Syde1	
C14orf132	1	D430019H16Rik	
KNTC1	1	Kntc1	
PSPH	1	Psph	
MYH15	1	Myh15	
KCTD1	1	Kctd1	
KCTD2	1	Kctd2	
KCTD3	1	Kctd3	
IPCEF1	1	Ipcef1	
KCTD4	1	Kctd4	
KCTD5	1	Kctd5	
KCTD6	1	Kctd6	
KCTD7	1	Kctd7	
DPM1	1	Dpm1	
DPM2	1	Dpm2	
KCTD9	1	Kctd9	
DPM3	1	Dpm3	
TIPRL	1	Tiprl	
TEDC1	1	Tedc1	
TEDC2	1	Tedc2	
CSF2RB	2	Csf2rb2:Csf2rb	
ADRB1	1	Adrb1	
ADRB2	1	Adrb2	
ESS2	1	Ess2	
AGER	1	Ager	
CSF2RA	1	Csf2ra	
PALM2AKAP2	1	Akap2	
DPP3	1	Dpp3	
DPP4	1	Dpp4	
PDZD4	1	Pdzd4	
DPP6	1	Dpp6	
DPP7	1	Dpp7	
PDZD2	1	Pdzd2	
DPP8	1	Dpp8	
DPP9	1	Dpp9	
CASKIN2	1	Caskin2	
C10orf105	1	Gm17455	
MYH14	1	Myh14	
PDZD9	1	Pdzd9	
MYH10	1	Myh10	
PDZD8	1	Pdzd8	
SMAD2	1	Smad2	
SMAD1	1	Smad1	
SMAD4	1	Smad4	
OPN3	1	Opn3	
SMAD3	1	Smad3	
IFT122	1	Ift122	
SMAD6	1	Smad6	
ESR1	1	Esr1	
SMAD5	1	Smad5	
SMAD7	1	Smad7	
JMY	1	Jmy	
SRPRA	1	Srpr	
SRPRB	1	Srprb	
RADIL	1	Radil	
BDKRB1	1	Bdkrb1	
PSTK	1	Pstk	
PTGIR	1	Ptgir	
PTGIS	1	Ptgis	
TRNAU1AP	1	Trnau1ap	
C10orf143	1	9430038I01Rik	
UACA	1	Uaca	
NCALD	1	Ncald	
ERBB3	1	Erbb3	
REPS2	1	Reps2	
S1PR1	1	S1pr1	
BPNT2	1	Impad1	
BPNT1	1	Bpnt1	
ROMO1	1	Romo1	
C14orf119	1	1700123O20Rik	
NCAM1	1	Ncam1	
S1PR3	1	S1pr3	
S1PR2	1	S1pr2	
S1PR5	1	S1pr5	
S1PR4	1	S1pr4	
REPS1	1	Reps1	
RWDD1	1	Rwdd1	
RWDD3	1	Rwdd3	
RWDD4	1	Rwdd4a	
NEGR1	1	Negr1	
LGI4	1	Lgi4	
PRAF2	1	Praf2	
LGI3	1	Lgi3	
KDF1	1	Kdf1	
NAP1L3	1	Nap1l3	
NAP1L2	1	Nap1l2	
NAP1L1	1	Nap1l1	
SGPP1	1	Sgpp1	
NAP1L4	1	Nap1l4	
FMNL3	1	Fmnl3	
FMNL1	1	Fmnl1	
FMNL2	1	Fmnl2	
XPNPEP1	1	Xpnpep1	
XPNPEP2	1	Xpnpep2	
XPNPEP3	1	Xpnpep3	
ALOX5AP	1	Alox5ap	
CENPS-CORT	1	Cenps	
ZPR1	1	Zpr1	
ITSN2	1	Itsn2	
JRK	1	Jrk	
IFT172	1	Ift172	
ITSN1	1	Itsn1	
FAM110A	1	Fam110a	
ZC3H12D	1	Zc3h12d	
ZC3H12C	1	Zc3h12c	
FAM110D	1	Grrp1	
FAM110B	1	Fam110b	
ZC3H12A	1	Zc3h12a	
SMCO3	1	Smco3	
ANKFY1	1	Ankfy1	
SMCO4	1	Smco4	
SMCO1	1	Smco1	
HEMK1	1	Hemk1	
CXADR	1	Cxadr	
CH25H	1	Ch25h	
MTHFD1	1	Mthfd1	
MTHFD2	1	Mthfd2	
EWSR1	1	Ewsr1	
LRATD2	1	Fam84b	
ZC3H11A	1	Zc3h11a	
JTB	1	Jtb	
MPPE1	1	Mppe1	
OPTN	1	Optn	
MEPCE	1	Mepce	
DEDD2	1	Dedd2	
AGMO	1	Agmo	
LTA4H	1	Lta4h	
HEXIM1	1	Hexim1	
JAG2	1	Jag2	
HEXIM2	1	Hexim2	
JUN	1	Jun	
HLA-DRB5	1	H2-Eb2	
JAG1	1	Jag1	
JUP	1	Jup	
EIF2AK1	1	Eif2ak1	
EIF2AK3	1	Eif2ak3	
EIF2AK2	1	Eif2ak2	
LNPEP	1	Lnpep	
EIF2AK4	1	Eif2ak4	
FAM111A	1	Fam111a	
AGO3	1	Ago3	
AGO4	1	Ago4	
AGO1	1	Ago1	
AGO2	1	Ago2	
NMT1	1	Nmt1	
NMT2	1	Nmt2	
HLA-DRB1	1	H2-Eb1	
PSME3IP1	1	Fam192a	
LGMN	1	Lgmn	
DPYS	1	Dpys	
KDM8	1	Kdm8	
TFCP2L1	1	Tfcp2l1	
NHSL2	1	Nhsl2	
JAK2	1	Jak2	
JAK3	1	Jak3	
JAK1	1	Jak1	
DUSP4	1	Dusp4	
MAMDC4	1	Mamdc4	
DUSP5	1	Dusp5	
DUSP2	1	Dusp2	
CHST7	1	Chst7	
DUSP3	1	Dusp3	
CRPPA	1	Crppa	
IFT140	1	Ift140	
DUSP1	1	Dusp1	
MAMDC2	1	Mamdc2	
DUSP8	1	Dusp8	
DUSP9	1	Dusp9	
DUSP6	1	Dusp6	
DUSP7	1	Dusp7	
SDHAF2	1	Sdhaf2	
SDHAF3	1	Sdhaf3	
AGPS	1	Agps	
DPYD	1	Dpyd	
SDHAF1	1	Sdhaf1	
CHST1	1	Chst1	
SDHAF4	1	Sdhaf4	
CHST2	1	Chst2	
CHST3	1	Chst3	
TP53I13	1	Trp53i13	
ABRACL	1	Abracl	
FAM117B	1	Fam117b	
FAM117A	1	Fam117a	
TP53I11	1	Trp53i11	
JAM2	1	Jam2	
JAM3	1	Jam3	
ATAD1	1	Atad1	
ATAD5	1	Atad5	
ATAD2	1	Atad2	
DCBLD2	1	Dcbld2	
CCDC9	1	Ccdc9	
CCDC8	1	Ccdc8	
CCDC6	1	Ccdc6	
AGRP	1	Agrp	
AGRN	1	Agrn	
LGR4	1	Lgr4	
GZF1	1	Gzf1	
EFEMP2	1	Efemp2	
EFEMP1	1	Efemp1	
KMT5B	1	Kmt5b	
KMT5A	1	Kmt5a	
PCYT2	1	Pcyt2	
KMT5C	1	Kmt5c	
FAM118A	1	Fam118a	
ATP11C	1	Atp11c	
ATP11B	1	Atp11b	
ATP11A	1	Atp11a	
FAM118B	1	Fam118b	
JAML	1	Jaml	
SRSF2	1	Srsf2	
SRSF3	2	Srsf3:Gm12355	
SRSF4	1	Srsf4	
SRSF5	1	Srsf5	
PTPRCAP	1	Ptprcap	
SRSF6	1	Srsf6	
SRSF7	1	Srsf7	
SRSF9	1	Srsf9	
KMT2E	1	Kmt2e	
KMT2D	1	Kmt2d	
KMT2A	1	Kmt2a	
UQCRB	1	Uqcrb	
KMT2C	1	Kmt2c	
KMT2B	1	Kmt2b	
UAP1	1	Uap1	
UQCRH	1	Uqcrh	
KHDC4	1	Khdc4	
AP4S1	1	Ap4s1	
KDSR	1	Kdsr	
BFSP2	1	Bfsp2	
BFSP1	1	Bfsp1	
SH3BP5L	1	Sh3bp5l	
UQCRQ	1	Uqcrq	
ADSS1	1	Adssl1	
ADSS2	1	Adss	
CLPTM1L	1	Clptm1l	
PTEN	1	Pten	
ETFA	1	Etfa	
ETFB	1	Etfb	
RESF1	1	Resf1	
AP4M1	1	Ap4m1	
PTER	1	Pter	
VPS9D1	1	Vps9d1	
SMCR8	1	Smcr8	
ETF1	1	Etf1	
SRSF1	1	Srsf1	
ATP10A	1	Atp10a	
MTHFSD	1	Mthfsd	
ARL13B	1	Arl13b	
NNAT	1	Nnat	
E2F1	1	E2f1	
E2F2	1	E2f2	
E2F3	1	E2f3	
E2F4	1	E2f4	
E2F5	1	E2f5	
E2F6	1	E2f6	
E2F7	1	E2f7	
E2F8	1	E2f8	
CNBP	1	Cnbp	
GZMA	1	Gzma	
GZMB	2	Gzmb:Gzmc	
GZMM	1	Gzmm	
OCIAD1	1	Ociad1	
KCP	1	Kcp	
OCIAD2	1	Ociad2	
ODAD1	1	Ccdc114	
ODAD3	1	Ccdc151	
ODAD4	1	Ttc25	
ICAM2	1	Icam2	
ICAM4	1	Icam4	
ICAM5	1	Icam5	
IKZF1	1	Ikzf1	
IKZF2	1	Ikzf2	
IKZF3	1	Ikzf3	
IKZF4	1	Ikzf4	
IKZF5	1	Ikzf5	
ICAM1	1	Icam1	
ANPEP	1	Anpep	
KDR	1	Kdr	
C6orf120	1	1600012H06Rik	
GAREM1	1	Garem1	
C6orf118	1	1700010I14Rik	
A3GALT2	1	A3galt2	
TMEM63A	1	Tmem63a	
TMEM63B	1	Tmem63b	
MED12L	1	Med12l	
DECR2	1	Decr2	
DECR1	1	Decr1	
FAM9B	4	Xlr4a:Xlr4b:Xlr3b:Xlr4c	
FAM9C	1	Xlr3a	
BRI3BP	1	Bri3bp	
PTK2	1	Ptk2	
MED13L	1	Med13l	
NDUFAF8	1	Ndufaf8	
NDUFAF6	1	Ndufaf6	
PTK7	1	Ptk7	
NDUFAF7	1	Ndufaf7	
NDUFAF4	1	Ndufaf4	
NDUFAF5	1	Ndufaf5	
NDUFAF2	1	Ndufaf2	
NDUFAF3	1	Ndufaf3	
NDUFAF1	1	Ndufaf1	
MON1A	1	Mon1a	
MON1B	1	Mon1b	
AP4E1	1	Ap4e1	
MTRNR2L7	1	Gm20594	
KHK	1	Khk	
PTMS	1	Ptms	
MT-ATP6	1	mt-Atp6	
PPP3CA	1	Ppp3ca	
SYNCRIP	1	Syncrip	
PPP3CB	1	Ppp3cb	
PPP3CC	1	Ppp3cc	
UIMC1	1	Uimc1	
PHGDH	1	Phgdh	
CTTNBP2NL	1	Cttnbp2nl	
KIN	1	Kin	
ARHGEF9	1	Arhgef9	
KIT	1	Kit	
ARHGEF3	1	Arhgef3	
ARHGEF4	1	Arhgef4	
ARHGEF1	1	Arhgef1	
ARHGEF2	1	Arhgef2	
ARHGEF7	1	Arhgef7	
PTMA	1	Ptma	
KIZ	1	Kiz	
ARHGEF5	1	Arhgef5	
ARHGEF6	1	Arhgef6	
AHCY	2	Ahcy:Gm4737	
PTPA	1	Ptpa	
AHSA2P	1	Ahsa2	
FILIP1L	1	Filip1l	
C6orf141	1	9130008F23Rik	
SPRYD3	1	Spryd3	
SPRYD4	1	Spryd4	
SPRYD7	1	Spryd7	
KAZALD1	1	Kazald1	
MT-ATP8	1	mt-Atp8	
SGSM1	1	Sgsm1	
SGSM3	1	Sgsm3	
NDUFAB1	1	Ndufab1	
SGSM2	1	Sgsm2	
NEK10	1	Nek10	
C6orf136	1	2310061I04Rik	
C6orf132	1	AI661453	
PRDM8	1	Prdm8	
PRDM9	1	Prdm9	
PRDM4	1	Prdm4	
PRDM6	1	Prdm6	
PRDM2	1	Prdm2	
PRDM1	1	Prdm1	
CELSR1	1	Celsr1	
CELSR2	1	Celsr2	
ETS1	1	Ets1	
CELSR3	1	Celsr3	
ETS2	1	Ets2	
GNPTAB	1	Gnptab	
FAM3B	1	Fam3b	
FAM3A	1	Fam3a	
FAM3C	1	Fam3c	
MMGT1	2	Mmgt1:Mmgt2	
ACOT11	1	Acot11	
ACOT13	1	Acot13	
KMO	1	Kmo	
CCNB1IP1	1	Ccnb1ip1	
SLFN13	2	Slfn8:Slfn9	
TYROBP	1	Tyrobp	
TSG101	1	Tsg101	
NNMT	1	Nnmt	
UBA7	1	Uba7	
NDUFB10	1	Ndufb10	
PLGRKT	1	Plgrkt	
NDUFB11	1	Ndufb11	
UBA6	1	Uba6	
SLC41A2	1	Slc41a2	
UBA5	1	Uba5	
SLC41A3	1	Slc41a3	
SLC41A1	1	Slc41a1	
CNN3	1	Cnn3	
CNN2	1	Cnn2	
CNN1	1	Cnn1	
TCAF1	1	Tcaf1	
AP4B1	1	Ap4b1	
AHI1	1	Ahi1	
UVSSA	1	Uvssa	
UBA3	1	Uba3	
UBA2	1	Uba2	
UBA1	1	Uba1	
RNF103-CHMP3	1	Chmp3	
PODXL2	1	Podxl2	
LMNB2	1	Lmnb2	
LTB4R	1	Ltb4r1	
LMNB1	1	Lmnb1	
ACOXL	1	Acoxl	
SIGLECL1	1	4931406B18Rik	
MKKS	1	Mkks	
ETV1	1	Etv1	
ETV3	1	Etv3	
ETV5	1	Etv5	
ETV6	1	Etv6	
ACOX1	1	Acox1	
IFIT1B	3	Ifit1bl1:Ifit1bl2:Ifit1	
ACOX3	1	Acox3	
SFSWAP	1	Sfswap	
NT5C2	1	Nt5c2	
CNR2	1	Cnr2	
FAM241A	1	Fam241a	
BNIP1	1	Bnip1	
PTK2B	1	Ptk2b	
BNIP2	1	Bnip2	
TRDMT1	1	Trdmt1	
NIPSNAP3A	1	Nipsnap3b	
URGCP	1	Urgcp	
BNIP3	1	Bnip3	
ERCC3	1	Ercc3	
ERCC4	1	Ercc4	
ERCC1	1	Ercc1	
COL7A1	1	Col7a1	
ERCC2	1	Ercc2	
ERCC8	1	Ercc8	
ERCC5	1	Ercc5	
PTX3	1	Ptx3	
ERCC6	1	Ercc6	
PI4K2B	1	Pi4k2b	
DQX1	1	Dqx1	
WDR86	1	Wdr86	
WDR83	1	Wdr83	
MRGPRE	1	Mrgpre	
WDR89	1	Wdr89	
CNST	1	Cnst	
WDR90	1	Wdr90	
WDR91	1	Wdr91	
LUC7L	1	Luc7l	
WDR74	1	Wdr74	
WDR75	1	Wdr75	
WDR73	1	Wdr73	
HCFC2	1	Hcfc2	
KNSTRN	1	Knstrn	
WDR76	1	Wdr76	
HCFC1	1	Hcfc1	
WDR77	1	Wdr77	
WDR81	1	Wdr81	
WDR82	1	Wdr82	
PI4K2A	1	Pi4k2a	
WDR61	1	Wdr61	
BCL10	1	Bcl10	
WDR62	1	Wdr62	
XKRX	1	Xkrx	
BLOC1S4	1	Bloc1s4	
BLOC1S5	1	Bloc1s5	
BLOC1S6	1	Bloc1s6	
WDR70	1	Wdr70	
BLOC1S1	1	Bloc1s1	
BLOC1S2	1	Bloc1s2	
BLOC1S3	1	Bloc1s3	
HLA-DQA1	1	H2-Aa	
LHPP	1	Lhpp	
NDFIP2	1	Ndfip2	
WDR59	1	Wdr59	
NDFIP1	1	Ndfip1	
WDR53	1	Wdr53	
WDR54	1	Wdr54	
WDR55	1	Wdr55	
XKR8	1	Xkr8	
ARL2BP	1	Arl2bp	
MKS1	1	Mks1	
WDR5B	1	Wdr5b	
XKR6	1	Xkr6	
XKR5	1	Xkr5	
WDR49	1	Wdr95	
WDR47	1	Wdr47	
WDR48	1	Wdr48	
PHF20	1	Phf20	
PHF23	1	Phf23	
WDR41	1	Wdr41	
WDR45	1	Wdr45	
WDR46	1	Wdr46	
WDR43	1	Wdr43	
WDR44	1	Wdr44	
IFIH1	1	Ifih1	
UBL5	1	Ubl5	
UBL3	1	Ubl3	
PHF24	1	Phf24	
RAB5IF	1	Rab5if	
UBL7	1	Ubl7	
WDR38	1	Wdr38	
HELLS	1	Hells	
WDR36	1	Wdr36	
WDR37	1	Wdr37	
WDR31	1	Wdr31	
FAM126B	1	Fam126b	
FAM126A	1	Fam126a	
WDR35	1	Wdr35	
WDR33	1	Wdr33	
KIFC2	1	Kifc2	
KIFBP	1	Kif1bp	
KIFC1	1	Kifc5b	
AHRR	1	Ahrr	
KIFC3	1	Kifc3	
HLA-DQB2	1	H2-Ab1	
WDR27	1	Wdr27	
WDR25	1	Wdr25	
WDR26	1	Wdr26	
AP5Z1	1	Ap5z1	
WDR20	1	Wdr20	
WDR24	1	Wdr24	
PPP1R2	1	Ppp1r2	
RPS15A	1	Rps15a	
PPP1R7	1	Ppp1r7	
UBN2	1	Ubn2	
PPP1R8	1	Ppp1r8	
UBN1	1	Ubn1	
WHRN	1	Whrn	
WDR18	1	Wdr18	
WDR19	1	Wdr19	
WDR12	1	Wdr12	
WDR13	1	Wdr13	
WDR11	1	Wdr11	
PHF5A	1	Phf5a	
MROH2A	1	Mroh2a	
N6AMT1	1	N6amt1	
POGLUT2	1	Kdelc1	
POGLUT1	1	Poglut1	
UBP1	1	Ubp1	
PARK7	1	Park7	
PPP1CB	1	Ppp1cb	
PPP1CC	1	Ppp1cc	
HMCES	1	Hmces	
SLC26A11	1	Slc26a11	
SLC26A10	1	Slc26a10	
LARGE1	1	Large1	
AP5S1	1	Ap5s1	
POGLUT3	1	Kdelc2	
IFNAR2	1	Ifnar2	
THOC1	1	Thoc1	
TRAFD1	1	Trafd1	
THOC3	1	Thoc3	
THOC2	2	BC005561:Thoc2	
THOC5	1	Thoc5	
THOC7	1	Thoc7	
THOC6	1	Thoc6	
MORF4L1	1	Morf4l1	
MORF4L2	1	Morf4l2	
ADTRP	1	Adtrp	
C20orf96	1	6820408C15Rik	
IFNAR1	1	Ifnar1	
FAM149B1	1	Fam149b	
UBR4	1	Ubr4	
UBR3	1	Ubr3	
SLC38A10	1	Slc38a10	
UBR2	1	Ubr2	
UBR1	1	Ubr1	
ORC5	1	Orc5	
ORC4	1	Orc4	
ORC6	1	Orc6	
ORC1	1	Orc1	
UBR7	1	Ubr7	
ORC3	1	Orc3	
ORC2	1	Orc2	
UBR5	1	Ubr5	
MAP3K20	1	Map3k20	
TTLL13P	1	Ttll13	
OSBPL9	1	Osbpl9	
FANCI	1	Fanci	
COA4	1	Coa4	
UVRAG	1	Uvrag	
OSBPL8	1	Osbpl8	
COA3	1	Coa3	
CHTOP	1	Chtop	
OSBPL7	1	Osbpl7	
OSBPL6	1	Osbpl6	
OSBPL5	1	Osbpl5	
FANCM	1	Fancm	
FANCL	1	Fancl	
OSBPL3	1	Osbpl3	
OSBPL2	1	Osbpl2	
FANCA	1	Fanca	
FANCC	1	Fancc	
FANCB	1	Fancb	
FANCE	1	Fance	
FANCG	1	Fancg	
FANCF	1	Fancf	
MAP3K15	1	Map3k15	
LHX2	1	Lhx2	
LHX1	1	Lhx1	
MAP3K10	1	Map3k10	
MAP3K13	1	Map3k13	
MAP3K14	1	Map3k14	
LAT	1	Lat	
BCL2L2	1	Bcl2l2	
DRC3	1	Drc3	
MAP3K11	1	Map3k11	
BCL2L1	1	Bcl2l1	
MAP3K12	1	Map3k12	
LBH	1	Lbh	
NOB1	1	Nob1	
UBTF	1	Ubtf	
PHACTR2	1	Phactr2	
PHACTR1	1	Phactr1	
LBP	1	Lbp	
LMLN2	1	Gm29776	
COA8	1	Apopt1	
LBR	1	Lbr	
COA7	1	Coa7	
COA6	1	Coa6	
COA5	1	Coa5	
PHACTR4	1	Phactr4	
PLA2G12A	1	Pla2g12a	
CKAP2L	1	Ckap2l	
PLRG1	1	Plrg1	
SMC1A	1	Smc1a	
TIRAP	1	Tirap	
C1QL1	1	C1ql1	
SMC1B	1	Smc1b	
DNAJC3	1	Dnajc3	
DNAJC2	1	Dnajc2	
DNAJC1	1	Dnajc1	
DNAJC7	1	Dnajc7	
LCK	1	Lck	
NOA1	1	Noa1	
DNAJC5	1	Dnajc5	
DNAJC4	1	Dnajc4	
DNAJC9	1	Dnajc9	
DNAJC8	1	Dnajc8	
LCORL	1	Lcorl	
NSRP1	1	Nsrp1	
OASL2P	1	Oasl2	
NOD1	1	Nod1	
NOD2	1	Nod2	
DNAJB2	1	Dnajb2	
DNAJB1	1	Dnajb1	
DNAJB6	1	Dnajb6	
DNAJB5	1	Dnajb5	
NOCT	1	Noct	
DNAJB4	1	Dnajb4	
DNAJB3	1	Dnajb3	
DNAJB9	1	Dnajb9	
MACC1	1	Macc1	
WDR97	1	Gm35339	
RPRD2	1	Rprd2	
DNAJA1	1	Dnaja1	
BCKDK	1	Bckdk	
DNAJA4	1	Dnaja4	
DNAJA3	1	Dnaja3	
DNAJA2	1	Dnaja2	
DRG1	1	Drg1	
DRG2	1	Drg2	
IFITM3	1	Ifitm3	
VEZT	1	Vezt	
IFITM1	1	Ifitm1	
IFITM2	1	Ifitm2	
PARS2	1	Pars2	
HS6ST1	1	Hs6st1	
IFIT3	2	Ifit3b:Ifit3	
IFIT2	1	Ifit2	
RPS15	1	Rps15	
RPS14	1	Rps14	
RPS17	1	Rps17	
RPS16	1	Rps16	
RPS19	1	Rps19	
RPS18	1	Rps18	
HMCN2	1	Hmcn2	
HMCN1	1	Hmcn1	
RPS11	1	Rps11	
RPS10	1	Rps10	
RPS13	1	Rps13	
IFITM5	1	Ifitm5	
RPS12	1	Rps12	
ARRDC4	1	Arrdc4	
SRRM2	1	Srrm2	
COG8	1	Cog8	
COG7	1	Cog7	
COG6	1	Cog6	
ARRDC1	1	Arrdc1	
COG5	1	Cog5	
ARRDC2	1	Arrdc2	
COG4	1	Cog4	
COG3	1	Cog3	
ARRDC3	1	Arrdc3	
COG2	1	Cog2	
P3H2	1	P3h2	
HLA-B	1	H2-D1	
P3H1	1	P3h1	
COG1	1	Cog1	
YOD1	1	Yod1	
P3H4	1	P3h4	
P3H3	1	P3h3	
CRNKL1	1	Crnkl1	
WFDC21P	1	Wfdc21	
SRRM1	1	Srrm1	
HLA-E	6	H2-T23:Gm8909:Gm11127:H2-K1:H2-Q1:H2-Q10	
NEIL3	1	Neil3	
NEIL2	1	Neil2	
MTHFD2L	1	Mthfd2l	
RUBCNL	1	Rubcnl	
NEIL1	1	Neil1	
MACF1	1	Macf1	
CSTF3	1	Cstf3	
CSTF2	1	Cstf2	
LIAS	1	Lias	
APCDD1	1	Apcdd1	
CBARP	1	Cbarp	
HELZ2	1	Helz2	
FXR1	1	Fxr1	
SCFD1	1	Scfd1	
CHTF8	1	Chtf8	
AP5M1	1	Ap5m1	
FXR2	1	Fxr2	
SCFD2	1	Scfd2	
CSTF1	1	Cstf1	
MLEC	1	Mlec	
LIF	1	Lif	
PARVA	1	Parva	
PARVB	1	Parvb	
PUM1	1	Pum1	
PUM3	1	Pum3	
PUM2	1	Pum2	
RPS26	1	Rps26	
RPS25	1	Rps25	
RPS28	1	Rps28	
RPS27	2	Rps27:Rps27rt	
PARVG	1	Parvg	
RPS29	1	Rps29	
RPS20	1	Rps20	
RPS21	1	Rps21	
RPS24	1	Rps24	
RPS23	1	Rps23	
AHCTF1	1	Ahctf1	
ORM1	1	Orm1	
UBXN1	1	Ubxn1	
MEOX2	1	Meox2	
MEOX1	1	Meox1	
COIL	1	Coil	
C1QBP	1	C1qbp	
UBXN8	1	Ubxn8	
UBXN7	1	Ubxn7	
UBXN4	1	Ubxn4	
