Probeset_ID,Gene Symbol,MF Lu CD11b+ CD24-,Sample_,Sample_
10342812,---,-47.52,-66.22,-29.52
10342813,---,-73.04,-82.21,-54.42
10342814,---,22.46,4.44,39.27
10342815,---,22.29,-6.09,48.88
10342816,---,-40.87,-42.42,-39.30
10342817,---,10.67,14.43,7.56
10342818,---,-52.72,15.40,-87.69
10342819,---,62.29,87.26,15.29
10342820,---,-2.33,-43.39,41.38
10342821,---,-24.99,-7.89,-42.78
10342822,---,74.79,86.64,54.86
10342823,---,90.23,81.59,95.39
10342824,---,26.64,42.01,10.66
10342825,---,82.32,68.90,90.02
10342826,---,66.37,58.64,72.84
10342827,---,-59.55,-55.24,-63.83
10342828,---,9.69,3.37,24.86
10342829,---,-48.11,-20.58,-70.41
10342830,---,-95.99,-92.89,-97.81
10342831,---,-38.36,-29.11,-48.73
10342832,---,-39.90,-19.83,-64.56
10342833,---,-1.82,14.06,-16.11
10342834,---,-35.10,-34.44,-36.19
10342835,---,-15.83,8.11,-39.02
10342836,---,6.73,-13.27,26.82
10342837,---,89.32,92.85,84.66
10342838,---,0.85,-42.95,57.49
10342839,---,87.80,90.70,83.43
10342840,---,15.98,20.73,11.07
10342841,---,-4.23,-59.38,58.15
10342842,---,-86.25,-88.64,-83.31
10342843,---,68.72,67.01,70.73
10342844,---,-98.50,-99.18,-96.74
10342845,---,-9.02,-5.59,-12.48
10342846,---,-15.35,-8.28,-23.65
10342847,---,-52.91,-70.58,-18.41
10342848,---,-9.11,-70.95,61.58
10342849,---,94.30,98.70,75.38
10342850,---,-68.53,-94.28,-3.07
10342851,---,-89.07,-86.17,-91.46
10342852,---,-23.16,-0.41,-53.12
10342853,---,-15.97,-48.18,14.40
10342854,---,-56.09,10.36,-94.29
10342855,---,-57.85,-39.92,-77.33
10342856,---,68.91,41.66,86.72
10342857,---,-17.98,7.87,-57.71
10342858,---,-61.01,-92.89,-27.43
10342859,---,-24.62,31.05,-83.59
10342860,---,2.70,-32.70,21.35
10342861,---,-30.19,-60.68,-10.59
10342862,---,-33.26,0.54,-66.16
10342863,---,-33.65,-14.55,-55.44
10342864,---,-19.94,27.76,-59.15
10342865,---,-39.82,-18.48,-69.33
10342866,---,78.65,95.03,20.99
10342867,---,-14.99,-6.10,-24.79
10342868,---,-76.74,-92.36,-48.10
10342869,---,-2.80,6.58,-11.84
10342870,---,82.26,91.36,62.39
10342871,---,-57.35,-75.82,-34.55
10342872,---,30.63,71.33,-18.21
10342873,---,-87.66,-97.14,-67.26
10342874,---,-76.25,-64.32,-85.93
10342875,---,-83.26,-62.04,-92.04
10342876,---,92.64,86.42,95.71
10342877,---,-2.56,-0.64,-4.89
10342878,---,4.48,-13.22,21.76
10342879,---,67.17,49.52,79.49
10342880,---,-2.82,-4.58,-1.05
10342881,---,63.87,60.09,67.05
10342882,---,37.32,7.13,66.76
10342883,---,-9.09,-9.16,-8.79
10342884,---,-11.18,40.23,-58.91
10342885,---,-54.58,-73.44,-34.11
10342886,---,64.32,83.51,29.73
10342887,---,-44.86,-75.72,8.07
10342888,---,-35.75,-41.12,-29.88
10342889,---,-48.80,-41.21,-56.02
10342890,---,84.95,88.64,79.79
10342891,---,-25.45,-59.90,14.39
10342892,---,-46.79,-79.60,14.01
10342893,---,-79.65,-92.62,-60.53
10342894,---,73.43,73.14,73.52
10342895,---,-44.15,-36.25,-53.02
10342896,---,-44.44,-72.42,-0.37
10342897,---,-15.03,-8.24,-22.46
10342898,---,12.10,-43.09,60.95
10342899,---,0.64,8.32,-5.29
10342900,---,-21.93,-24.86,-19.43
10342901,---,-80.58,-91.99,-66.89
10342902,---,-23.94,-19.81,-28.95
10342903,---,-69.44,-47.25,-89.95
10342904,---,-34.24,-66.67,-2.77
10342905,---,-50.46,-29.16,-75.17
10342906,---,66.39,64.47,68.14
10342907,---,-2.52,-6.91,3.33
10342908,---,-16.72,2.96,-42.63
10342909,---,-33.71,-76.62,13.42
10342910,---,12.51,15.24,8.88
10342911,---,-94.16,-96.70,-89.98
10342912,---,89.75,87.11,91.88
10342913,---,-63.39,-73.04,-51.32
10342914,---,-20.53,-37.34,-3.85
10342915,---,-97.56,-99.48,-91.96
10342916,---,40.26,-27.57,82.66
10342917,---,18.35,51.40,-15.45
10342918,---,-54.47,-14.26,-81.13
10342919,---,56.55,73.08,34.88
10342920,---,68.24,90.77,23.43
10342921,---,6.02,23.24,-11.01
10342922,---,-63.45,-93.45,-22.82
10342923,---,2.87,32.03,-17.99
10342924,---,-9.96,4.14,-22.81
10342925,---,-48.18,40.18,-94.37
10342926,---,-33.25,-29.89,-36.60
10342927,---,50.71,88.89,-37.74
10342928,---,-69.77,-38.49,-86.66
10342929,---,26.96,28.76,24.55
10342930,---,89.63,91.89,86.23
10342931,---,-80.06,-92.72,-58.37
10342932,---,-3.77,-20.23,16.16
10342933,---,51.11,5.65,74.66
10342934,---,90.65,66.50,98.07
10342935,---,-21.13,-26.68,-15.03
10342936,---,-66.58,-66.03,-67.19
10342937,---,50.81,36.78,61.40
10342938,---,-76.09,-89.89,-42.93
10342939,---,-26.14,-36.90,-16.00
10342940,---,-43.61,-60.92,-28.89
10342941,---,22.31,-22.44,63.38
10342942,---,-14.25,-10.78,-17.72
10342943,---,-12.84,-0.32,-30.10
10342944,---,-5.26,4.06,-14.58
10342945,---,9.51,0.07,32.27
10342946,---,-17.84,-50.71,11.03
10342947,---,-78.97,-74.45,-82.68
10342948,---,-10.68,-29.47,9.64
10342949,---,3.03,1.10,5.75
10342950,---,60.51,55.63,65.05
10342951,---,-8.24,-4.58,-12.22
10342952,---,-78.10,-84.17,-64.97
10342953,---,-50.49,-51.14,-50.07
10342954,---,-57.10,-49.56,-63.77
10342955,---,-23.13,9.08,-50.99
10342956,---,-52.06,-55.46,-47.55
10342957,---,4.11,1.48,6.37
10342958,---,-81.22,-89.74,-67.59
10342959,---,-74.74,-93.46,-52.34
10342960,---,-92.22,-92.05,-92.37
10342961,---,-71.21,-77.60,-64.37
10342962,---,54.31,88.82,-13.30
10342963,---,47.44,34.00,58.16
10342964,---,14.43,1.41,27.69
10342965,---,17.79,49.17,-14.33
10342966,---,82.08,86.04,76.21
10342967,---,-70.62,-81.82,-54.43
10342968,---,-40.69,-32.35,-49.53
10342969,---,63.57,57.23,68.93
10342970,---,-18.65,19.75,-60.79
10342971,---,27.71,4.36,47.92
10342972,---,-75.17,-89.53,-49.43
10342973,---,82.72,78.68,85.02
10342974,---,16.66,-11.98,45.71
10342975,---,-18.69,-4.14,-36.64
10342976,---,-13.78,35.81,-59.62
10342977,---,-14.12,-46.00,18.76
10342978,---,-11.89,-13.00,-10.78
10342979,---,-71.64,-87.90,-39.16
10342980,---,-32.48,-3.83,-59.94
10342981,---,-75.20,-90.81,-50.05
10342982,---,-73.43,-90.95,-41.75
10342983,---,-33.80,-53.47,-4.16
10342984,---,21.63,17.33,24.75
10342985,---,-58.36,-30.86,-88.52
10342986,---,-83.03,-92.06,-70.28
10342987,---,32.91,43.44,20.63
10342988,---,-21.19,-10.12,-32.40
10342989,---,32.29,54.86,2.01
10342990,---,-14.03,34.75,-54.70
10342991,---,-6.47,26.51,-34.94
10342992,---,-55.28,-53.65,-56.82
10342993,---,52.24,57.25,47.81
10342994,---,-24.18,8.33,-62.16
10342995,---,-17.97,-87.61,71.94
10342996,---,-6.20,33.25,-38.29
10342997,---,-91.70,-93.54,-87.61
10342998,---,8.60,-1.19,17.58
10342999,---,48.42,-15.36,81.91
10343000,---,-27.35,-17.33,-39.78
10343001,---,58.39,86.82,-0.52
10343002,---,-31.19,-5.84,-70.26
10343003,---,81.42,81.17,81.72
10343004,---,7.71,37.86,-23.17
10343005,---,-42.43,-53.91,-29.93
10343006,---,-23.41,-62.62,23.89
10343007,---,-32.59,-58.30,-9.45
10343008,---,-44.59,-23.79,-62.57
10343009,---,7.79,53.84,-36.22
10343010,---,56.08,85.90,14.51
10343011,---,-94.22,-97.32,-89.16
10343012,---,-38.76,-62.45,-7.19
10343013,---,-42.80,-41.86,-44.21
10343014,---,-19.37,-36.92,-4.26
10343015,---,25.64,5.73,41.90
10343016,---,-35.32,-2.03,-60.21
10343017,---,-67.49,8.58,-95.78
10343018,---,-44.09,-45.27,-42.99
10343019,---,5.63,0.69,13.57
10343020,---,39.12,46.81,31.32
10343021,---,-29.43,-39.86,-21.10
10343022,---,-90.15,-98.45,-69.04
10343023,---,23.23,38.65,7.13
10343024,---,-57.50,-77.56,-11.04
10343025,---,-8.89,-3.42,-20.54
10343026,---,-13.83,32.87,-55.37
10343027,---,-90.82,-92.79,-87.01
10343028,---,-65.86,-67.11,-64.88
10343029,---,-25.00,-36.73,-12.75
10343030,---,-25.17,-28.46,-21.34
10343031,---,86.79,91.91,78.77
10343032,---,-9.69,-3.95,-16.75
10343033,---,-36.61,-19.87,-50.78
10343034,---,-56.06,-73.84,-31.10
10343035,---,38.02,10.98,71.33
10343036,---,-82.13,-94.57,-57.43
10343037,---,-21.51,18.51,-57.75
10343038,---,29.91,45.68,14.30
10343039,---,-95.42,-96.18,-94.72
10343040,---,-24.33,-4.61,-55.17
10343041,---,-17.16,-37.52,-0.52
10343042,---,-73.12,-96.24,-12.71
10343043,---,6.71,39.42,-14.71
10343044,---,16.06,59.61,-26.14
10343045,---,-26.85,-83.74,56.82
10343046,---,3.89,-11.16,38.72
10343047,---,62.38,78.91,29.89
10343048,---,59.79,81.60,23.47
10343049,---,76.75,86.60,61.30
10343050,---,-0.11,11.13,-9.17
10343051,---,87.01,90.26,81.98
10343052,---,-21.93,-68.08,34.89
10343053,---,82.56,94.88,28.93
10343054,---,73.92,82.97,61.94
10343055,---,-7.59,-5.39,-10.39
10343056,---,94.10,93.74,94.35
10343057,---,-79.62,-95.26,-57.19
10343058,---,-11.60,36.40,-54.39
10343059,---,-47.90,6.93,-93.69
10343060,---,-34.07,-39.46,-29.77
10343061,---,-78.33,-89.54,-61.28
10343062,---,-2.43,-30.47,11.84
10343063,---,-88.04,-92.75,-64.07
10343064,---,-47.85,-66.22,-24.09
10343065,---,-71.63,-50.36,-85.84
10343066,---,-13.16,39.43,-63.26
10343067,---,-72.31,-85.36,-46.18
10343068,---,34.26,78.88,-34.11
10343069,---,32.18,-20.54,69.70
10343070,---,-18.16,-39.19,1.25
10343071,---,-77.93,-84.64,-68.22
10343072,---,4.26,38.77,-12.74
10343073,---,61.47,81.01,33.62
10343074,---,-35.12,-38.54,-31.96
10343075,---,-69.85,-74.44,-64.39
10343076,---,-50.02,-85.91,-21.02
10343077,---,-76.67,-97.19,-48.22
10343078,---,-97.08,-98.05,-95.09
10343079,---,72.05,69.14,74.69
10343080,---,9.27,32.67,-4.97
10343081,---,72.58,86.90,47.34
10343082,---,12.34,13.30,11.39
10343083,---,41.38,84.77,-39.07
10343084,---,59.82,-10.96,88.93
10343085,---,69.05,71.99,66.31
10343086,---,79.73,80.31,78.76
10343087,---,-85.07,-81.06,-88.29
10343088,---,15.36,22.72,7.82
10343089,---,-19.71,-86.13,65.71
10343090,---,-55.16,-61.44,-48.78
10343091,---,-9.87,-25.18,-0.25
10343092,---,-33.39,-65.89,7.67
10343093,---,-5.97,16.73,-25.80
10343094,---,30.02,53.15,3.39
10343095,---,-12.16,-8.85,-15.30
10343096,---,87.48,75.03,94.25
10343097,---,29.82,26.38,33.89
10343098,---,15.34,-40.71,63.06
10343099,---,25.14,15.01,37.94
10343100,---,-70.33,-40.11,-87.94
10343101,---,25.22,53.22,-7.60
10343102,---,-44.33,-53.87,-35.59
10343103,---,80.88,57.37,93.83
10343104,---,-43.77,-79.80,11.74
10343105,---,-9.19,-30.43,15.73
10343106,---,-4.41,-28.28,20.65
10343107,---,90.41,90.92,90.03
10343108,---,-69.95,-78.77,-60.38
10343109,---,-1.94,12.55,-11.30
10343110,---,-52.37,-52.25,-52.61
10343111,---,-19.74,-35.67,-5.59
10343112,---,63.88,53.26,74.19
10343113,---,64.59,93.69,-18.56
10343114,---,-84.68,-72.87,-92.17
10343115,---,-13.66,-33.27,9.11
10343116,---,71.27,86.34,45.56
10343117,---,45.48,40.97,48.69
10343118,---,-74.51,-88.93,-55.40
10343119,---,-36.13,-65.07,-8.31
10343120,---,-47.26,-64.42,-26.73
10343121,---,-66.13,-61.44,-69.44
10343122,---,78.07,81.43,74.17
10343123,---,50.03,87.29,-21.53
10343124,---,-38.01,-72.07,-5.87
10343125,---,-14.23,-33.02,6.17
10343126,---,-53.18,1.92,-90.00
10343127,---,-89.19,-82.08,-93.58
10343128,---,-51.03,-36.47,-61.58
10343129,---,-32.68,10.57,-80.19
10343130,---,-55.08,-92.35,19.64
10343131,---,-45.61,-51.37,-39.09
10343132,---,35.42,32.69,38.02
10343133,---,-36.55,-67.84,-1.98
10343134,---,-28.41,1.44,-57.73
10343135,---,-97.19,-98.76,-93.17
10343136,---,-40.89,10.69,-86.02
10343137,---,-23.59,-17.11,-31.17
10343138,---,75.68,76.77,73.77
10343139,---,-42.15,-29.75,-53.27
10343140,---,21.47,-38.80,78.12
10343141,---,66.87,95.57,-27.85
10343142,---,-86.92,-77.18,-93.59
10343143,---,-66.54,-69.38,-62.75
10343144,---,11.15,-3.14,23.84
10343145,---,22.80,8.78,37.06
10343146,---,95.62,97.08,93.82
10343147,---,-82.90,-95.63,-57.22
10343148,---,-29.74,-34.88,-25.09
10343149,---,-99.46,-99.65,-99.29
10343150,---,79.89,91.86,61.49
10343151,---,-79.64,-93.25,-48.31
10343152,---,5.44,-49.07,50.07
10343153,---,-50.24,-29.97,-66.05
10343154,---,73.90,67.99,78.43
10343155,---,-55.93,-47.85,-62.76
10343156,---,90.90,96.76,74.35
10343157,---,-49.80,-70.72,-29.83
10343158,---,-49.99,-23.30,-72.49
10343159,---,-83.86,-71.43,-91.80
10343160,---,-33.12,10.87,-73.55
10343161,---,-81.01,-91.80,-59.81
10343162,---,-21.76,19.98,-58.88
10343163,---,14.91,9.08,21.62
10343164,---,-90.93,-96.80,-77.74
10343165,---,43.35,47.13,39.41
10343166,---,84.02,74.98,89.33
10343167,---,-12.42,34.57,-55.41
10343168,---,24.04,42.13,3.23
10343169,---,-86.16,-96.30,-65.03
10343170,---,97.09,95.12,98.21
10343171,---,93.09,92.94,93.12
10343172,---,-28.87,-68.36,11.18
10343173,---,-66.19,-62.33,-71.18
10343174,---,-35.14,-30.85,-40.14
10343175,---,2.30,63.00,-57.91
10343176,---,-59.28,-68.95,-48.93
10343177,---,-91.04,-60.80,-99.27
10343178,---,71.94,92.47,10.87
10343179,---,-71.97,-87.51,-50.81
10343180,---,-63.95,-91.82,-21.00
10343181,---,25.28,-18.13,61.20
10343182,---,48.68,37.44,60.16
10343183,---,70.41,57.40,78.97
10343184,---,32.96,5.22,55.32
10343185,---,3.44,-17.35,21.63
10343186,---,2.24,-14.91,32.25
10343187,---,75.56,39.80,89.70
10343188,---,-6.48,-14.47,2.47
10343189,---,-50.08,-83.17,-14.99
10343190,---,-8.68,7.17,-25.59
10343191,---,-73.33,-86.54,-54.35
10343192,---,-36.98,-3.43,-72.21
10343193,---,-39.99,-70.05,-10.27
10343194,---,-80.16,-91.89,-59.54
10343195,---,-34.43,-63.44,-2.19
10343196,---,44.93,35.36,53.57
10343197,---,-37.33,-34.10,-41.27
10343198,---,-77.59,-91.55,-52.81
10343199,---,-86.19,-67.99,-98.73
10343200,---,47.59,49.06,46.60
10343201,---,15.58,8.76,21.54
10343202,---,60.96,51.20,69.04
10343203,---,-49.60,-21.31,-76.31
10343204,---,-91.66,-84.45,-95.81
10343205,---,-11.66,-1.34,-62.33
10343206,---,-44.47,-29.61,-60.22
10343207,---,-91.20,-95.72,-83.18
10343208,---,35.61,52.54,12.57
10343209,---,-30.13,-36.41,-23.61
10343210,---,-77.27,-61.01,-88.72
10343211,---,-46.45,-17.32,-86.75
10343212,---,-79.24,-90.61,-43.32
10343213,---,-52.13,-75.68,-30.11
10343214,---,-56.51,-20.70,-94.06
10343215,---,-88.45,-93.99,-80.13
10343216,---,50.78,53.41,47.42
10343217,---,-70.35,-77.36,-61.32
10343218,---,90.40,97.19,63.97
10343219,---,-89.51,-92.79,-83.75
10343220,---,7.33,-42.80,57.63
10343221,---,1.15,-5.21,4.27
10343222,---,-57.39,-71.15,-34.75
10343223,---,11.54,52.88,-30.91
10343224,---,-81.90,-75.04,-88.24
10343225,---,42.09,-0.13,65.86
10343226,---,17.57,-44.72,67.66
10343227,---,-78.14,-81.59,-74.08
10343228,---,-76.71,-6.15,-98.50
10343229,---,-78.43,-92.25,-61.49
10343230,---,78.63,68.39,86.22
10343231,---,-71.05,-43.48,-89.39
10343232,---,-8.85,-49.33,40.62
10343233,---,-96.28,-98.05,-92.52
10343234,---,74.36,77.62,70.19
10343235,---,-33.46,-43.67,-23.16
10343236,---,-22.45,-11.47,-38.79
10343237,---,37.25,31.68,42.70
10343238,---,-33.24,-27.23,-39.96
10343239,---,-47.65,-49.87,-45.01
10343240,---,-54.12,-19.30,-83.38
10343241,---,-46.22,-30.99,-59.89
10343242,---,-33.54,11.77,-68.58
10343243,---,-60.77,-83.46,-24.91
10343244,---,-29.55,3.10,-68.31
10343245,---,-94.12,-95.96,-90.49
10343246,---,-16.96,15.29,-45.31
10343247,---,32.26,18.19,43.47
10343248,---,-18.84,-25.63,-11.50
10343249,---,-37.00,-16.88,-56.46
10343250,---,-9.57,-9.84,-9.24
10343251,---,66.53,62.21,70.96
10343252,---,-88.87,-94.28,-74.77
10343253,---,-62.18,-70.16,-52.56
10343254,---,-12.91,-16.22,-10.53
10343255,---,4.89,2.99,8.02
10343256,---,-20.74,-4.66,-45.00
10343257,---,-35.72,-45.44,-25.88
10343258,---,51.13,53.49,48.24
10343259,---,66.23,21.04,90.05
10343260,---,-41.41,-44.42,-38.47
10343261,---,1.93,-21.76,27.38
10343262,---,-12.95,-1.12,-29.34
10343263,---,83.93,93.65,42.70
10343264,---,5.27,7.39,3.34
10343265,---,64.86,60.88,69.09
10343266,---,-69.13,-93.72,-27.87
10343267,---,-97.78,-95.46,-98.99
10343268,---,25.74,38.27,8.64
10343269,---,-5.18,20.52,-24.36
10343270,---,55.34,47.79,62.29
10343271,---,-72.37,-87.34,-45.13
10343272,---,-92.37,-86.96,-96.13
10343273,---,-92.11,-92.22,-92.04
10343274,---,-64.76,-17.89,-97.04
10343275,---,75.30,72.32,78.43
10343276,---,-95.86,-93.08,-97.63
10343277,---,33.52,55.42,7.75
10343278,---,73.66,94.88,9.52
10343279,---,-12.69,0.19,-24.25
10343280,---,-45.58,-55.51,-34.01
10343281,---,76.29,62.89,85.39
10343282,---,96.67,95.93,97.23
10343283,---,-38.36,-71.71,10.62
10343284,---,11.86,5.39,18.03
10343285,---,-20.23,-49.42,7.30
10343286,---,-54.33,-27.03,-77.36
10343287,---,-18.66,-1.63,-53.90
10343288,---,-21.45,-94.41,33.71
10343289,---,56.48,41.72,68.62
10343290,---,-88.10,-67.40,-98.51
10343291,---,51.97,36.97,64.90
10343292,---,-88.61,-93.31,-80.60
10343293,---,-26.10,-44.01,-2.92
10343294,---,-83.62,-88.55,-77.38
10343295,---,-63.12,-85.12,-23.21
10343296,---,-45.35,-74.41,-12.01
10343297,---,-89.95,-82.93,-95.08
10343298,---,-63.42,-65.33,-61.54
10343299,---,-17.86,-50.56,10.36
10343300,---,-76.56,-98.44,-32.57
10343301,---,-33.90,-17.70,-50.41
10343302,---,-35.37,0.07,-61.31
10343303,---,70.77,6.18,93.06
10343304,---,-24.80,-16.75,-32.40
10343305,---,8.47,8.17,8.65
10343306,---,-39.40,-41.23,-37.68
10343307,---,81.30,81.10,81.37
10343308,---,-72.73,-93.86,-25.77
10343309,---,56.04,46.32,65.66
10343310,---,-28.59,-24.11,-33.50
10343311,---,-30.47,16.68,-68.52
10343312,---,47.44,62.18,32.68
10343313,---,-35.53,-58.22,-5.80
10343314,---,36.11,62.99,1.22
10343315,---,-32.87,-8.95,-54.82
10343316,---,-29.81,-12.43,-53.26
10343317,---,14.18,55.13,-20.09
10343318,---,-24.89,-7.84,-64.48
10343319,---,-28.43,-9.94,-51.88
10343320,---,-54.61,-73.36,-29.81
10343321,---,87.36,69.29,94.68
10343322,---,-98.03,-99.84,-85.40
10343323,---,-33.25,-48.19,-17.67
10343324,---,-20.89,-55.54,22.77
10343325,---,-20.62,-19.82,-21.08
10343326,---,43.78,37.59,49.40
10343327,---,29.70,-37.68,76.83
10343328,---,9.88,28.41,-7.22
10343329,---,-11.16,-19.22,-2.42
10343330,---,2.64,50.37,-37.15
10343331,---,-22.67,-87.00,56.25
10343332,---,-9.01,-10.95,-7.17
10343333,---,-13.86,-10.87,-16.58
10343334,---,-13.94,-19.00,-8.76
10343335,---,49.26,75.74,12.06
10343336,---,85.39,91.16,75.15
10343337,---,-3.53,44.62,-41.34
10343338,---,50.71,70.62,18.58
10343339,---,87.49,95.00,67.28
10343340,---,-59.17,-43.39,-71.96
10343341,---,-91.74,-97.70,-78.56
10343342,---,-37.47,-26.66,-47.67
10343343,---,-43.48,-18.83,-65.30
10343344,---,60.50,70.80,46.08
10343345,---,-38.96,-84.05,41.55
10343346,---,97.17,98.64,95.16
10343347,---,74.59,89.23,43.98
10343348,---,-39.01,-20.07,-56.67
10343349,---,-67.10,-90.49,-37.35
10343350,---,14.77,28.91,6.00
10343351,---,-25.13,-47.57,1.90
10343352,---,-25.55,-55.68,1.31
10343353,---,75.09,76.82,72.78
10343354,---,-33.85,-26.35,-43.54
10343355,---,4.36,20.20,-14.21
10343356,---,41.54,58.07,23.29
10343357,---,-67.64,-77.35,-56.22
10343358,---,-61.73,-38.05,-78.51
10343359,---,3.27,11.21,-4.17
10343360,---,-38.52,-98.39,76.93
10343361,---,-81.12,-72.75,-87.39
10343362,---,52.59,37.17,64.20
10343363,---,-50.24,-63.68,-34.18
10343364,---,11.02,17.41,3.25
10343365,---,-22.52,-36.17,-9.02
10343366,---,-17.36,1.75,-34.64
10343367,---,85.37,93.05,72.15
10343368,---,-71.20,-66.34,-76.05
10343369,---,-95.93,-87.49,-98.95
10343370,---,5.02,84.48,-82.11
10343371,---,-26.33,-39.98,-13.09
10343372,---,-23.25,-64.19,23.81
10343373,---,36.74,34.42,39.36
10343374,---,-15.95,-10.60,-20.71
10343375,---,-72.49,-92.82,-33.70
10343376,---,-49.50,-71.83,-22.25
10343377,---,1.42,-11.77,16.06
10343378,---,-90.22,-93.00,-86.39
10343379,---,2.25,-11.86,9.90
10343380,---,-10.00,6.82,-26.83
10343381,---,-7.89,-3.14,-13.41
10343382,---,18.88,32.36,6.68
10343383,---,-47.23,-66.56,-24.35
10343384,---,-89.03,-89.65,-88.32
10343385,---,-31.13,-74.24,-0.90
10343386,---,-20.34,-43.04,4.06
10343387,---,-44.97,-46.06,-43.68
10343388,---,90.39,89.82,90.82
10343389,---,-23.42,-1.70,-54.46
10343390,---,25.23,18.28,30.61
10343391,---,-38.05,-49.17,-26.65
10343392,---,-51.02,-68.53,-28.72
10343393,---,-14.89,-15.03,-14.86
10343394,---,-11.82,-24.54,-0.77
10343395,---,15.96,2.19,29.03
10343396,---,78.13,75.22,80.72
10343397,---,-70.82,-56.07,-82.86
10343398,---,-80.12,-94.93,-47.41
10343399,---,-75.63,-75.74,-75.47
10343400,---,22.25,-27.19,65.02
10343401,---,65.43,69.80,60.77
10343402,---,-89.12,-92.45,-85.50
10343403,---,61.67,76.54,39.02
10343404,---,-28.59,-56.88,1.69
10343405,---,-62.53,-64.49,-61.14
10343406,---,-31.67,-58.45,-3.12
10343407,---,33.11,41.77,25.07
10343408,---,-92.55,-95.12,-88.68
10343409,---,1.15,-13.98,22.05
10343410,---,-23.30,-37.22,-10.56
10343411,---,-15.15,-18.86,-12.31
10343412,---,-16.60,-11.31,-21.91
10343413,---,-98.44,-99.20,-96.92
10343414,---,13.36,50.99,-21.94
10343415,---,80.56,44.05,94.19
10343416,---,-16.69,64.67,-83.57
10343417,---,33.88,-1.82,53.70
10343418,---,-60.64,-60.88,-60.50
10343419,---,-66.55,-78.92,-49.86
10343420,---,24.92,-3.07,47.58
10343421,---,-18.09,-18.40,-17.85
10343422,---,-39.10,-50.83,-25.35
10343423,---,-35.00,-60.29,-1.13
10343424,---,25.50,37.04,12.38
10343425,---,58.74,-46.37,94.62
10343426,---,10.70,-6.77,30.57
10343427,---,10.40,27.57,-8.40
10343428,---,-50.29,-54.91,-45.71
10343429,---,-28.07,-39.06,-17.54
10343430,---,-69.28,-53.57,-82.08
10343431,---,-68.41,-58.52,-77.18
10343432,---,12.90,-88.71,92.59
10343433,---,97.64,99.30,93.39
10343434,---,-84.56,-90.52,-74.27
10343435,---,86.68,73.12,94.33
10343436,---,47.82,62.57,28.29
10343437,---,-19.89,-7.30,-42.05
10343438,---,-84.70,-96.95,-55.76
10343439,---,-25.39,-66.50,16.89
10343440,---,85.77,95.15,63.59
10343441,---,-28.69,-8.03,-62.86
10343442,---,-53.48,-42.42,-63.36
10343443,---,-77.58,-89.25,-56.93
10343444,---,-78.44,-59.92,-90.62
10343445,---,25.27,-22.02,63.59
10343446,---,-45.39,-41.49,-49.51
10343447,---,71.30,60.77,79.68
10343448,---,-44.13,-46.22,-42.32
10343449,---,73.84,83.34,62.05
10343450,---,64.70,78.08,49.29
10343451,---,-30.37,-60.89,7.24
10343452,---,-6.92,-12.30,-1.84
10343453,---,-76.74,-98.67,-14.15
10343454,---,-58.29,-84.66,-10.41
10343455,---,-34.42,-80.59,31.45
10343456,---,21.89,73.34,-45.81
10343457,---,22.71,46.33,-4.42
10343458,---,-60.57,-12.08,-99.49
10343459,---,-91.94,-93.26,-90.36
10343460,---,11.07,13.07,9.57
10343461,---,-61.90,-70.59,-52.45
10343462,---,-26.92,-29.15,-24.82
10343463,---,-51.91,-20.85,-74.81
10343464,---,-35.99,-38.96,-33.01
10343465,---,-24.21,43.58,-75.49
10343466,---,-66.94,-48.83,-79.61
10343467,---,5.20,-7.34,14.26
10343468,---,-71.18,-85.96,-45.96
10343469,---,-87.19,-99.80,-52.51
10343470,---,-21.67,-26.25,-17.26
10343471,---,33.99,19.98,46.78
10343472,---,-4.78,6.61,-16.45
10343473,---,-25.64,-17.07,-37.25
10343474,---,-87.86,-96.68,-60.59
10343475,---,20.42,47.53,-10.87
10343476,---,83.02,92.13,68.39
10343477,---,24.81,-23.16,65.74
10343478,---,-18.15,-90.50,78.09
10343479,---,-53.26,-60.77,-46.13
10343480,---,84.17,76.46,89.45
10343481,---,20.32,20.58,20.01
10343482,---,-38.07,-53.21,-24.65
10343483,---,-11.94,-0.52,-29.71
10343484,---,-89.41,-99.23,-45.10
10343485,---,14.58,83.26,-75.38
10343486,---,72.67,53.91,85.86
10343487,---,-30.22,-24.16,-36.44
10343488,---,10.61,40.14,-14.53
10343489,---,-93.29,-30.55,-99.89
10343490,---,-82.34,-81.99,-82.78
10343491,---,85.85,95.87,52.71
10343492,---,70.66,77.37,62.47
10343493,---,77.66,63.76,87.54
10343494,---,73.11,75.01,71.41
10343495,---,-66.49,-62.06,-70.59
10343496,---,-12.71,-29.19,5.25
10343497,---,6.56,-4.35,16.22
10343498,---,-79.67,-47.06,-96.44
10343499,---,0.74,30.69,-23.59
10343500,---,50.88,27.90,68.69
10343501,---,-6.64,29.74,-35.80
10343502,---,61.72,79.09,33.84
10343503,---,37.94,53.60,16.59
10343504,---,-86.83,-84.41,-88.44
10343505,---,-57.34,-44.55,-68.97
10343506,---,41.39,24.16,56.30
10343507,---,-67.57,-25.98,-90.57
10343508,---,-70.40,-89.17,-41.81
10343509,---,-25.99,-47.19,1.70
10343510,---,-91.87,-91.85,-91.92
10343511,---,-28.96,-12.96,-44.06
10343512,---,-73.89,-70.28,-77.16
10343513,---,10.08,-10.74,29.67
