Probeset_ID,Gene Symbol,Mo BM Ly6C+ II-,Sample_,Sample_,Sample_
10372116,Csl,35.42,40.10,-3.32,57.79
10372121,Tmtc3,-69.85,-66.48,-68.67,-74.52
10372130,4930430F08Rik or Cep290,-97.68,-98.92,-97.60,-95.46
10372139,Nts,-31.95,-70.01,-37.64,-12.63
10372145,Alx1,-22.30,-41.53,-43.90,-3.62
10372151,Lrriq1,-30.69,-42.50,-36.31,-19.55
10372171,---,0.52,-71.46,-25.32,86.70
10372173,---,-39.05,-93.02,-56.94,-1.25
10372175,---,-10.11,-62.23,-17.57,51.50
10372177,Tmtc2,-78.10,-78.99,-87.22,-66.29
10372191,BC067068 or Ccdc59,-30.01,-44.62,-21.23,-26.47
10372204,---,-7.13,28.12,-63.55,27.88
10372206,Rps15a-ps1,84.17,84.70,89.05,77.36
10372208,Acss3,-31.09,-35.96,-43.58,-18.48
10372226,Myf5,-25.80,-49.87,-32.24,-9.90
10372230,Myf6,-11.89,-16.20,-17.97,-5.90
10372235,Ptprq,-31.59,-38.68,-40.16,-19.59
10372280,Otogl,-8.57,-54.60,-22.76,57.66
10372293,Otogl,-16.25,-31.11,-6.33,-14.34
10372324,Syt1,-45.87,-48.95,-34.75,-57.46
10372338,Gm5136,-37.17,-42.94,-25.02,-44.84
10372340,---,-14.09,-56.89,0.88,3.10
10372342,Nav3,-39.67,-83.58,-29.10,-24.68
10372383,Zdhhc17,-91.74,-85.83,-96.48,-91.30
10372385,Zdhhc17,-92.98,-84.73,-94.29,-95.86
10372407,---,10.89,-11.05,-46.48,78.43
10372410,Glipr1 or Krr1,82.75,84.76,84.07,78.77
10372417,Atxn7l3b,-15.00,4.88,-18.47,-32.33
10372421,Trhde,-41.97,-49.54,-68.31,-20.49
10372441,---,59.41,9.44,63.25,80.94
10372443,Tph2,-23.48,-25.11,-12.68,-37.68
10372457,Tbc1d15,-78.72,-60.64,-82.80,-85.68
10372478,Rab21,-1.87,4.78,2.92,-22.36
10372488,Tmem19,51.43,53.93,48.10,52.17
10372497,Thap2,-93.21,-83.88,-98.46,-91.63
10372503,Lgr5,-30.29,-61.60,-40.97,-8.38
10372524,4933416C03Rik,-32.81,-35.25,-37.77,-27.11
10372528,Kcnmb4 or 1700058G18Rik,-28.90,-56.92,-27.17,-13.32
10372534,Cnot2,-83.23,-69.45,-86.41,-88.45
10372557,Gm239,-23.71,-25.62,-27.09,-19.59
10372583,Rab3ip,-87.51,-84.24,-92.15,-85.89
10372595,---,-7.02,-19.81,-13.58,0.85
10372597,Gm5781,59.70,30.09,49.32,87.22
10372600,Cct2,8.99,17.19,12.44,-3.45
10372618,Frs2,-67.74,-68.90,-76.48,-52.55
10372629,Yeats4,2.44,2.17,-0.59,6.15
10372639,9530003J23Rik,25.38,-7.31,28.50,54.97
10372648,Lyz2,97.49,96.52,97.49,98.31
10372652,Lyz1,62.80,58.69,62.88,67.38
10372656,Cpsf6,-63.18,-48.85,-64.25,-74.93
10372668,Mdm2,-72.06,-65.04,-82.62,-66.76
10372682,Slc35e3,78.86,77.08,70.84,85.81
10372687,Nup107,53.97,58.14,52.66,50.55
10372716,Rap1b,66.06,67.23,62.04,68.01
10372726,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372728,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372730,Iltifb,-33.37,-55.86,-66.96,5.28
10372733,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372735,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372737,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372739,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372741,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372743,Cdc5l,-41.80,-12.14,-35.46,-90.17
10372745,Dyrk2,-63.22,-62.30,-65.34,-61.91
10372748,Gm10744,-14.08,-50.87,-41.07,53.53
10372750,Cand1,5.15,16.07,-21.64,12.55
10372766,Helb,53.66,68.29,50.95,41.76
10372781,Irak3,69.74,69.08,69.32,70.80
10372796,Hmga2,-24.24,-21.91,-26.22,-24.72
10372805,Gm10743,-1.64,-24.30,-31.65,72.41
10372807,Msrb3,-75.26,-71.26,-69.21,-84.33
10372815,Lemd3,1.46,7.53,0.61,-16.12
10372829,Gm10741,-12.49,-33.61,-65.72,63.11
10372831,Tbc1d30,-47.96,-97.51,-32.73,-22.14
10372844,Rassf3,88.06,89.58,85.52,89.54
10372853,Tbk1,-53.80,-45.18,-66.77,-46.73
10372877,Xpot,-34.76,-12.51,-43.78,-43.59
10372889,BC048403,-7.14,21.35,-34.81,-4.53
10372891,Srgap1,-63.54,-82.11,-57.72,-51.34
10372917,Tmem5 or Gm9079,-73.24,-70.76,-64.19,-82.62
10372926,Mirlet7i,69.28,45.70,76.03,79.05
10372928,Mon2,-0.94,1.88,-13.96,1.38
10372965,Usp15,-92.60,-90.31,-92.48,-94.81
10372988,Slc16a7,6.31,10.52,-3.84,13.60
10373000,Xrcc6bp1,50.06,40.66,67.28,38.19
10373009,Tsfm,66.01,65.77,69.13,62.95
10373016,LOC100504608,-37.87,-33.02,-85.03,12.22
10373021,March9,-3.73,-32.46,-9.45,38.00
10373027,Tspan31,72.70,73.12,74.28,70.45
10373036,Os9,78.52,77.51,76.00,81.33
10373052,B4galnt1,87.69,83.45,87.69,90.71
10373054,Slc26a10 or B4galnt1,-11.37,-32.08,-15.11,19.92
10373073,Arhgef25,-67.19,-87.03,-38.71,-78.86
10373093,Dtx3,-66.67,-70.79,-66.48,-62.01
10373101,Pip4k2c,0.03,-8.95,-13.65,18.28
10373113,Kif5a,-30.50,-24.60,-34.53,-33.85
10373143,Mbd6,44.91,40.95,15.38,71.83
10373157,Mars,44.41,55.33,35.40,43.73
10373179,Gli1,-24.23,-50.44,-20.94,-10.07
10373192,Inhbe,-14.60,-21.72,-22.84,-5.62
10373197,Inhbc,-21.06,-28.86,-22.28,-14.58
10373202,Shmt2,46.59,54.49,40.15,42.51
10373218,Nxph4,24.32,-9.04,29.40,51.63
10373223,Lrp1,55.07,47.26,49.00,68.06
10373313,Nab2,-51.07,-61.72,-33.70,-57.74
10373325,Gpr182,-74.67,-88.07,-76.11,-56.15
10373330,Rdh7,-42.58,-47.26,-72.14,-17.52
10373334,Hsd17b6,-43.99,-65.91,-23.85,-49.98
10373340,Rbms2,-85.85,-90.44,-86.00,-78.28
10373355,Spryd4,-17.41,-22.62,-20.22,-9.41
10373358,Il23a,-15.48,-25.12,-23.88,-4.99
10373363,---,-17.84,-44.50,-50.51,-0.54
10373365,Pan2,4.35,-4.49,-7.11,34.89
10373367,Coq10a,-9.96,-21.58,-7.35,-0.86
10373372,Coq10a,89.64,71.23,87.77,96.91
10373374,Slc39a5,-24.86,-19.62,-46.95,-13.15
10373388,Obfc2b or Ankrd52,44.10,34.81,34.99,58.42
10373396,Myl6,-41.80,-12.14,-35.46,-90.17
10373400,Myl6b,-24.27,-38.77,-33.18,-6.34
10373407,Esyt1,95.56,96.15,94.69,95.78
10373439,Zc3h10,91.28,71.93,84.43,98.45
10373448,Rpl41 or Gm10736,-9.73,2.57,3.77,-33.45
10373452,Gm129,-62.23,-60.53,-94.32,-18.57
10373454,Pa2g4,17.43,30.77,15.77,6.03
10373467,Erbb3,-37.21,-55.68,-29.79,-27.66
10373498,Rps26 or Gm6654,62.23,65.02,62.09,59.44
10373502,Ikzf4,-12.95,1.17,-65.98,20.40
10373515,Suox,-86.66,-79.96,-94.19,-82.99
10373519,Rpl12,-41.80,-12.14,-35.46,-90.17
10373521,Rab5b,69.57,66.08,67.04,75.87
10373530,Cdk2,91.71,92.27,90.69,91.86
10373542,Dgka,-12.05,-12.83,-17.45,-6.65
10373569,Rpsa,85.07,86.80,88.28,80.63
10373571,Tmem198b,-16.92,-37.10,-12.12,-7.34
10373577,Ormdl2 or Dnajc14 or Gm5553,-1.87,5.99,-8.30,-5.09
10373583,Gdf11,-62.94,-70.08,-57.85,-59.15
10373588,Rdh5,-45.46,-58.09,-56.38,-25.49
10373594,Bloc1s1,61.79,45.25,60.23,76.33
10373600,Mettl7b,-20.14,-47.62,-21.20,-7.87
10373604,Olfr764 or Olfr766,-17.36,-31.91,-90.50,50.80
10373606,Olfr765,-14.64,-36.20,-37.76,34.45
10373608,Olfr766,-62.24,-68.38,-92.34,-28.37
10373610,Olfr767,82.00,77.76,91.31,70.47
10373612,Olfr768,50.24,36.28,-21.38,86.04
10373614,Olfr769,48.83,46.28,-4.00,75.19
10373616,Olfr770,-20.54,-13.80,-29.09,-20.47
10373618,Olfr771,20.97,5.26,-20.96,68.11
10373620,Olfr772,-18.53,-57.98,-44.48,-1.76
10373622,Olfr773 or Olfr772,-17.57,-33.81,-19.58,-8.21
10373624,Olfr777 or Olfr800,-41.80,-12.14,-35.46,-90.17
10373626,Olfr796,33.33,21.08,36.11,41.49
10373628,Olfr798,37.19,-34.15,67.84,65.36
10373630,Olfr801,34.05,-25.74,-8.49,84.05
10373632,Olfr802,-12.99,-9.75,-27.87,-6.39
10373634,Olfr803,4.31,-32.68,-3.02,65.91
10373636,Olfr805,-24.46,-42.59,-29.33,-10.53
10373638,Olfr806,-42.94,-68.77,-85.35,-9.50
10373640,Olfr807,7.53,49.15,-39.83,23.90
10373642,Olfr810,-12.87,-22.05,-25.86,12.48
10373645,Olfr811,7.84,-18.17,-14.08,66.23
10373647,Olfr812,-7.35,-30.10,34.51,-13.22
10373649,Olfr814,-40.22,-62.50,-54.20,-17.21
10373651,Olfr814,-25.76,-16.75,-23.80,-37.92
10373653,Olfr815,-30.93,-51.68,-36.58,-15.63
10373655,Olfr816,-2.85,-15.47,-29.53,54.24
10373657,Olfr816,-2.35,-27.06,-30.54,70.57
10373660,Olfr818,-11.59,-25.46,-34.14,16.83
10373662,Olfr247 or Olfr819,-15.73,-17.88,-47.00,-2.76
10373664,Olfr247 or Olfr819,-41.80,-12.14,-35.46,-90.17
10373666,Olfr247 or Olfr819,-41.80,-12.14,-35.46,-90.17
10373668,Olfr823 or Olfr824,-5.34,-41.24,-8.44,38.06
10373670,Olfr824 or Olfr823,-41.80,-12.14,-35.46,-90.17
10373672,Olfr825,-1.35,-31.35,-65.29,83.80
10373676,Olfr826,-12.80,-42.32,-54.00,52.87
10373678,Olfr827,-28.95,-64.74,-35.14,-3.47
10373680,Neurod4,-66.34,-87.49,-33.30,-78.48
10373684,Vmn2r86 or Vmn2r85 or Vmn2r121 or Vmn2r122 or Vmn2r-ps159 or Vmn2r84 or Vmn2r87 or LOC670059 or LOC631360 or Vmn2r123,-24.89,-50.84,-35.52,-5.86
10373690,---,-11.26,-33.47,-23.97,37.26
10373692,Vmn2r86 or Vmn2r87,-53.93,-34.85,-94.68,-23.99
10373695,Il22 or Iltifb,-41.80,-12.14,-35.46,-90.17
10373702,Pisd-ps1 or Pisd-ps3,7.37,6.29,-12.97,26.63
10373709,Eif4enif1,7.69,14.85,-3.79,12.06
10373728,Patz1,41.40,47.66,14.35,56.45
10373740,Pik3ip1,-25.21,-20.46,-22.51,-32.05
10373751,8430429K09Rik,5.66,-37.79,3.48,51.90
10373756,Pla2g3,63.61,21.14,53.37,87.47
10373768,Selm,-23.44,-31.74,-27.50,-11.82
10373778,Morc2a,-72.53,-54.94,-76.34,-81.35
10373810,Dusp18,-68.95,-79.28,-73.24,-53.37
10373814,Pes1,63.49,68.01,68.07,51.90
10373826,Gal3st1,-28.64,-70.91,-24.15,5.99
10373832,---,77.34,93.47,22.10,80.30
10373834,Sec14l4,-41.30,-48.91,-76.60,-19.90
10373846,Sec14l3,-47.92,-53.68,-56.73,-34.41
10373861,Rnf215,82.55,77.91,83.31,85.67
10373873,Sf3a1,40.72,40.92,31.84,48.91
10373890,Tbc1d10a,-6.70,-23.11,-19.54,18.33
10373902,Gatsl3,-30.10,-33.85,-34.20,-22.86
10373912,Osm,33.45,51.98,17.88,25.81
10373918,Lif,-47.12,-46.84,-83.98,-17.24
10373924,Ascc2,39.90,33.28,13.59,61.97
10373944,Zmat5,85.03,70.67,82.91,94.26
10373950,Nipsnap1,-46.64,-54.51,-48.70,-36.75
10373964,Thoc5,65.02,67.16,64.83,62.62
10373986,Ap1b1 or Nefh,81.76,77.14,74.21,90.00
10374012,Rasl10a,-8.55,-24.01,-9.62,-0.03
10374020,Rhbdd3,23.19,8.26,18.82,41.80
10374032,---,62.36,-7.49,56.48,92.32
10374035,Xbp1,92.27,90.94,90.77,94.14
10374043,Ankrd36,-10.17,-40.35,-16.57,-1.92
10374060,Ankrd36,-44.06,-31.25,-47.04,-55.14
10374068,Dbnl,97.84,96.13,97.75,99.16
10374083,Aebp1,-68.47,-69.39,-73.63,-61.98
10374106,Ykt6,71.15,63.19,77.18,71.92
10374115,Nudcd3,36.57,-5.15,30.09,69.91
10374117,---,82.37,73.23,89.07,82.82
10374119,Ogdh,67.28,67.13,59.01,73.82
10374151,Zmiz2,52.57,41.34,41.34,69.49
10374175,Ppia or Gm9234,85.51,89.20,91.02,74.08
10374181,---,-1.25,9.30,17.90,-35.29
10374183,---,-41.80,-12.14,-35.46,-90.17
10374185,Ccm2,64.33,62.43,61.33,68.78
10374197,Ramp3,-36.42,-34.84,-58.20,-19.68
10374202,Adcy1,-47.81,-65.95,-61.42,-24.88
10374223,Igfbp1,-15.51,-21.07,-21.31,-8.48
10374228,Gm11992,-57.59,-69.50,-87.93,-25.48
10374236,Upp1,-35.46,-40.62,-54.76,-20.74
10374248,Abca13,-5.32,-7.88,-4.52,-4.34
10374313,---,16.86,40.78,-20.79,27.20
10374315,Vwc2,-18.26,-32.21,-21.29,-7.66
10374323,Zpbp or 4930415F15Rik,70.65,40.23,52.43,91.56
10374325,4930415F15Rik,-26.64,-63.78,-54.04,25.61
10374327,4930415F15Rik,-2.06,2.21,-22.86,29.33
10374333,Ikzf1,19.51,23.75,19.22,15.46
10374348,Eef2,81.52,70.65,81.76,89.43
10374350,---,-77.97,-48.79,-81.67,-92.36
10374352,---,-41.80,-12.14,-35.46,-90.17
10374354,---,44.08,17.81,61.57,48.66
10374356,Vstm2a,-27.00,-68.89,-40.27,-8.63
10374364,Akt2,70.18,62.26,60.76,81.99
10374366,Egfr,-65.34,-60.68,-62.51,-73.16
10374400,Fbxo48,-37.72,-38.55,-48.18,-28.76
10374406,Cnrip1 or Plek,-76.84,-86.90,-91.23,-45.28
10374413,---,52.90,-3.41,38.16,91.44
10374415,Ppp3r1 or Wdr92,-61.44,-56.01,-54.60,-72.78
10374426,Pno1,90.35,65.39,95.32,95.92
10374430,Wdr92,7.76,26.67,-21.02,19.12
10374442,C1d,-12.08,-15.29,-9.81,-10.98
10374448,---,8.31,-15.52,21.65,38.42
10374450,Gm12026,0.91,-12.97,-0.69,21.53
10374453,Glul,19.82,20.62,21.27,17.73
10374455,Spred2,-86.29,-86.18,-89.89,-81.10
10374464,Spred2,-88.63,-88.83,-87.48,-90.12
10374466,Rab1,-55.14,-33.16,-53.27,-73.44
10374476,Rps17 or Gm6402 or LOC633188,31.07,27.18,31.16,33.76
10374478,Sertad2,-56.44,-48.06,-53.70,-65.56
10374485,Peli1,-81.62,-73.80,-83.61,-85.31
10374500,Vps54,-70.16,-61.54,-62.65,-83.00
10374529,Wdpcp,-46.51,-52.84,-48.04,-39.01
10374551,---,68.63,44.07,72.25,81.02
10374553,Tmem17,-3.24,-16.00,26.95,-14.42
10374558,---,-6.43,-7.16,-10.78,-1.98
10374560,Zrsr1,-88.01,-69.48,-93.03,-93.01
10374564,Cct4,27.37,40.65,34.74,4.43
10374578,Fam161a,-46.40,-78.90,-40.44,-23.42
10374590,Xpo1,-68.72,-41.12,-61.52,-89.79
10374621,Ahsa2 or Usp34,-89.72,-85.17,-91.88,-91.73
10374704,1700030C12Rik,-37.60,-44.57,-65.26,-16.15
10374706,Pus10,-73.21,-57.08,-78.61,-78.12
10374727,Bcl11a,17.84,18.89,16.35,17.84
10374739,4933427E13Rik,-0.30,-68.93,-47.53,88.80
10374744,---,55.62,19.45,57.74,78.69
10374746,Fancl or Vrk2,-5.93,-2.20,-8.75,-6.68
10374762,Vrk2,86.84,77.15,91.28,90.27
10374764,Gm12070 or Gapdh,-41.80,-12.14,-35.46,-90.17
10374767,---,-41.80,-12.14,-35.46,-90.17
10374769,Ccdc85a,87.08,82.22,87.45,90.28
10374771,Mir216b,-30.78,-5.86,-75.25,-37.39
10374773,Mir216a,35.39,0.00,-29.42,84.91
10374775,Mir217,-7.55,-44.25,-22.18,61.90
10374777,Efemp1,-72.25,-90.60,-69.24,-57.51
10374790,---,68.84,73.84,96.59,-20.93
10374793,Pnpt1 or LOC100505160,-71.16,-75.36,-38.32,-83.72
10374821,Smek2,-94.81,-92.13,-95.17,-96.02
10374840,---,-50.74,-24.59,-59.19,-65.63
10374842,Ccdc88a,-24.44,-14.55,-20.60,-38.52
10374880,Mtif2,-95.59,-93.65,-95.86,-96.84
10374895,1700034F02Rik or Rps27a,-39.52,-79.85,-62.55,-4.82
10374908,Rtn4 or Eml6,-0.69,1.17,1.87,-5.27
10374929,4931440F15Rik,69.83,39.53,64.75,86.33
10374931,Gm8098,81.00,63.08,84.26,87.76
10374934,Psme4,-89.27,-85.03,-90.55,-91.39
10374983,Asb3 or Gpr75,-51.42,-71.79,-23.60,-52.03
10374998,Gpr75,-42.22,-43.82,-41.04,-41.81
10375002,Cpeb4,-95.89,-94.77,-93.64,-98.24
10375014,4930524B15Rik,-5.10,-23.66,-8.59,30.73
10375019,Nsg2,-28.35,-29.92,-23.93,-32.56
10375027,---,91.59,72.11,94.15,97.20
10375031,Snrnp25,32.24,24.88,36.95,35.16
10375038,Mpg or Nprl3,82.18,51.71,80.93,94.33
10375044,---,3.41,12.80,-0.76,4.78
10375046,Hba-x,-16.47,-48.98,-13.74,-5.43
10375051,Hba-a1 or Hba-a2,-4.02,-20.49,-4.52,12.28
10375055,Hbq1b,-6.55,-9.50,-5.42,-5.35
10375058,Hba-a2 or Hba-a1,-41.80,-12.14,-35.46,-90.17
10375062,Hbq1a,-34.20,-61.95,-23.31,-21.13
10375065,Sh3pxd2b,1.04,-1.14,-1.73,7.36
10375079,Ubtd2,-86.25,-79.96,-94.98,-79.12
10375083,Stk10,76.27,73.71,70.04,84.15
10375103,Fbxw11,27.43,29.23,24.83,28.32
10375121,---,0.48,9.26,-5.73,-6.73
10375123,---,-41.80,-12.14,-35.46,-90.17
10375125,Ssbp1,-22.77,-3.66,-21.94,-42.44
10375127,1700072H12Rik,-8.08,-33.02,-3.52,20.85
10375129,---,8.47,5.44,-12.29,37.30
10375137,Kcnmb1,-45.45,-61.60,-60.92,-23.22
10375145,Lcp2,42.86,41.30,38.70,50.43
10375167,Fam196b,-27.66,-10.85,-30.97,-51.04
10375173,---,-43.05,-47.66,-84.80,-5.98
10375175,Slit3,-36.00,-53.03,-37.09,-24.81
10375214,Mir218-2,62.50,-25.68,81.19,85.34
10375216,Pank3,-85.60,-67.98,-89.58,-90.19
10375225,Mir103-1,-26.38,-56.78,-65.36,51.11
10375227,---,-14.35,-9.56,-37.65,-6.08
10375229,---,-53.79,-40.54,-64.57,-54.99
10375232,---,-63.46,-34.20,-66.89,-81.67
10375234,Nudcd2,10.30,26.74,11.31,-7.95
10375240,Hspd1,-71.28,-53.20,-67.63,-85.71
10375242,---,88.10,65.58,84.64,98.21
10375245,Gabrb2,-20.09,-26.02,-17.83,-18.32
10375259,Gabrb2,-38.06,-77.12,-24.72,-29.77
10375261,Gabrb2,-10.78,-17.96,-11.64,-6.48
10375263,---,-3.28,-8.03,-7.06,12.97
10375265,Atp10b,-40.93,-56.89,-27.61,-44.86
10375290,Slu7,-71.51,-60.99,-79.20,-72.76
10375307,C1qtnf2,-18.89,-44.33,-24.54,15.27
10375313,Ccnjl,-26.68,-50.19,-35.58,-3.82
10375322,---,-33.61,-46.00,-50.69,-10.98
10375324,---,-41.80,-12.14,-35.46,-90.17
10375326,Pwwp2a,24.82,18.31,58.95,-8.92
10375331,Il12b,-25.97,-63.44,-13.98,-17.06
10375341,---,-12.83,-38.40,-34.70,-2.30
10375343,Rnf145,-13.73,-8.96,-33.70,5.23
10375358,Ebf1,-78.84,-82.25,-80.00,-74.10
10375360,Ebf1,-55.16,-57.19,-53.26,-55.09
10375380,---,48.33,17.62,67.69,50.30
10375382,Clint1,42.00,53.68,47.14,23.53
10375396,Sox30,-13.30,-17.67,-8.20,-16.32
10375402,Adam19,5.18,18.05,-8.15,11.89
10375432,C030019I05Rik or Cyfip2,-14.69,-13.87,-26.72,-7.83
10375436,Fam71b,-10.14,-29.94,-73.74,77.01
10375439,Med7,-75.19,-63.47,-88.55,-67.84
10375443,Havcr2,-15.03,-19.04,-16.58,-10.47
10375454,BC053393,-5.94,6.44,26.08,-43.22
10375461,Rpl7,-41.80,-12.14,-35.46,-90.17
10375463,Havcr1,-31.74,-41.74,-56.72,-11.19
10375472,Timd4,-34.89,-36.77,-76.67,-8.66
10375483,---,74.90,68.29,82.18,72.16
10375485,---,26.29,31.94,17.06,27.36
10375487,Gnb2l1,49.23,42.80,49.25,55.77
10375497,Gnb2l1,38.49,30.38,38.63,45.32
10375499,Snord96a or Gnb2l1,36.62,39.94,30.36,39.84
10375501,Snord95 or Gnb2l1,62.15,48.60,54.65,79.74
10375503,Trim7,-71.94,-70.50,-89.79,-52.11
10375515,Ifi47 or Olfr56,58.69,53.45,56.74,64.43
10375525,Olfr1395,25.11,3.90,31.01,38.35
10375527,Olfr1394,46.81,41.85,-5.15,81.07
10375529,Zfp62,-92.66,-89.82,-91.81,-95.69
10375537,Mgat1,92.65,90.79,91.24,95.37
10375543,Olfr1393,4.39,-10.68,-11.70,43.04
10375545,Olfr1392,19.72,19.96,-23.00,61.70
10375547,Olfr10,-11.72,19.47,-33.85,-16.55
10375549,Olfr1391,45.09,1.35,-3.77,79.62
10375551,Olfr1390,65.16,79.88,16.71,74.63
10375553,Olfr1389,7.49,-17.23,-38.34,74.97
10375557,Olfr1388,34.84,-14.62,44.63,63.16
10375559,---,-59.84,-57.31,-67.29,-55.47
10375561,Olfr1387,-15.18,-17.47,-58.94,38.30
10375563,Olfr1385 or Olfr1386 or Olfr1392 or Olfr1393,-65.36,-69.56,-47.39,-77.40
10375565,Olfr1385 or Olfr1386 or Olfr1392,-41.80,-12.14,-35.46,-90.17
10375567,Olfr1384,-17.80,-32.12,-18.27,-8.89
10375570,Olfr1383,-9.12,-31.61,-43.34,60.80
10375572,Olfr1382,-5.08,-7.36,-13.03,11.68
10375574,Olfr1381 or Olfr1373 or Olfr1371 or Olfr1382 or Olfr1380,-38.83,-76.57,-45.63,-13.14
10375576,Olfr1380 or Olfr1371 or Olfr1373 or Olfr1381 or Olfr1382,-41.80,-12.14,-35.46,-90.17
10375578,Flt4,-35.84,-66.61,-30.56,-21.55
10375608,Scgb3a1,-14.43,-20.69,-17.99,-8.17
10375614,Gfpt2,-72.47,-99.06,-72.47,-37.18
10375634,Mapk9,-86.25,-81.97,-83.77,-91.00
10375650,Rasgef1c,-7.49,-68.87,-10.06,61.64
10375667,Rnf130,86.80,87.29,85.47,87.40
10375677,Mir340,-43.50,-21.37,-75.30,-43.95
10375679,Tbc1d9b,69.93,65.23,53.03,85.26
10375704,3010026O09Rik or Sqstm1,39.53,46.06,42.13,29.42
10375713,Mgat4b,31.53,23.10,12.15,53.74
10375730,---,-18.16,-64.73,-8.93,15.61
10375732,---,64.57,39.12,68.40,77.02
10375735,Hnrnph1,-36.56,-9.08,-38.60,-60.71
10375751,Adamts2,-38.14,-43.36,-39.31,-31.93
10375774,Grm6,52.57,37.34,49.24,66.04
10375787,Olfr1378,64.93,9.61,65.34,86.32
10375789,Olfr1377,75.07,44.13,78.96,86.25
10375791,Olfr51 or Olfr1378 or Olfr351 or Olfr353,-4.94,-3.07,-44.58,45.58
10375793,Olfr51,27.51,55.33,-18.19,42.26
10375795,Olfr54,71.51,74.56,-7.71,92.81
10375797,Olfr54,32.31,20.34,18.41,53.62
10375799,Zfp354a,-77.40,-92.24,-60.11,-73.71
10375807,9230009I02Rik,65.99,69.25,19.97,82.35
10375811,---,77.81,54.30,83.88,86.57
10375815,---,-24.66,-19.76,-75.11,-0.48
10375817,---,-8.49,-20.78,-12.87,-0.93
10375820,Clk4,-86.06,-75.53,-88.16,-90.42
10375838,Col23a1,41.40,-14.26,60.05,60.99
10375864,Agxt2l2 or Hnrnpab,34.89,14.07,12.79,69.69
10375880,Nhp2,54.46,57.07,56.94,49.69
10375886,D930048N14Rik or N4bp3,-14.48,-40.37,-38.31,41.46
10375893,Sar1b,-20.86,-14.52,-26.33,-22.12
10375901,---,38.65,-21.06,43.71,73.11
10375903,Cdkn2aipnl,62.77,67.73,58.71,61.79
10375909,Cdkl3,-91.91,-90.55,-93.73,-90.69
10375926,Ppp2ca,16.55,28.06,16.49,5.08
10375935,Skp1a,-38.80,-31.28,-37.44,-47.32
10375941,Vdac1,1.23,3.68,0.42,-1.03
10375951,9530068E07Rik or Igk-V4,51.20,41.25,59.96,52.71
10375956,Fstl4,-41.45,-58.30,-42.45,-27.67
10375973,Taf13,-67.82,-53.10,-64.08,-82.26
10375975,Zcchc10,-64.47,-41.26,-65.49,-84.12
10375980,Aff4,-93.42,-93.19,-94.15,-93.04
10376002,---,-71.53,-67.33,-70.67,-76.11
10376004,Gdf9,-21.69,-45.90,-28.35,-6.32
10376007,Shroom1,-17.21,-24.78,-30.03,-5.13
10376017,Sowaha,-10.51,-23.93,-16.38,14.44
10376019,---,65.15,-8.16,63.03,91.26
10376021,Sept8,-55.44,-67.86,-52.26,-48.86
10376033,Kif3a,-92.25,-96.55,-96.83,-80.13
10376052,---,-41.99,-21.71,-35.29,-66.07
10376054,Il5,27.12,-0.66,14.80,59.54
10376060,Irf1,55.71,55.27,42.75,67.23
10376074,P4ha2,-69.43,-80.44,-68.37,-60.41
10376092,---,21.82,-15.16,33.17,45.81
10376094,---,-12.05,-36.66,-3.41,6.80
10376096,Acsl6,-32.71,-30.56,-37.69,-30.58
10376127,4930404A10Rik,-27.14,-25.02,-47.84,-16.72
10376142,3230401D17Rik,43.39,49.31,39.38,41.72
10376144,Fnip1,-87.42,-82.63,-88.94,-89.68
10376163,Rapgef6,-90.48,-87.89,-93.33,-89.14
10376196,Hint1,21.60,13.77,21.19,31.29
10376201,Gpx3,-4.90,-7.98,-8.33,3.02
10376208,Gm2a,95.82,94.25,95.06,97.07
10376216,Slc36a1,54.53,50.87,51.42,60.67
10376230,G3bp1,45.21,63.92,42.53,26.21
10376239,Gm12238,24.24,-2.32,14.53,56.56
10376241,Zic5,-40.72,-39.04,-45.72,-38.54
10376243,---,59.38,26.77,-8.71,93.10
10376245,Gria1,-34.91,-67.34,-35.05,-17.66
10376263,Mfap3,80.85,85.37,79.07,76.63
10376269,Galnt10,85.22,75.10,81.87,93.91
10376283,---,-28.61,-44.12,-46.05,-4.11
10376285,Sap30l,28.89,22.78,-0.44,54.66
10376292,Larp1,-50.49,-20.21,-67.78,-51.25
10376312,Larp1,-48.79,-43.03,-51.73,-51.13
10376314,Cnot8,88.59,88.64,90.32,86.36
10376320,Mrpl22,44.40,29.50,22.24,69.87
10376324,Gm12250,31.50,30.73,24.35,40.31
10376326,Irgm2 or Igtp,23.82,20.91,23.00,27.09
10376332,4930438A08Rik,3.83,-1.00,11.85,14.63
10376339,Zfp692,-17.18,2.71,-28.08,-27.23
10376358,Sh3bp5l,78.90,70.18,78.47,87.00
10376366,2210415F13Rik,-10.62,-18.51,-19.80,-3.85
10376374,---,-16.58,-8.90,-55.25,15.88
10376376,1810065E05Rik,-13.20,-30.99,-16.98,-5.64
10376383,Gm12253,35.53,54.12,22.87,24.71
10376392,Olfr325,-28.23,-28.06,-3.69,-64.67
10376394,Olfr324,49.13,16.10,57.11,62.35
