Probeset_ID,Gene Symbol,DC Lu CD24+,Sample_,Sample_
10382912,Sept9,38.97,42.56,34.66
10382927,---,-10.17,17.19,-34.12
10382932,2900041M22Rik,-5.48,11.19,-18.55
10382935,Tnrc6c,-40.18,-19.75,-59.88
10382956,Tmc8,-26.47,-18.37,-36.97
10382973,6030468B19Rik,90.73,89.53,91.74
10382980,Syngr2,99.13,99.24,98.96
10382985,Afmid or Tk1,45.73,57.79,34.55
10382998,Birc5,15.81,23.65,8.00
10383005,Tmem235,74.36,87.45,56.75
10383010,Socs3,98.51,99.00,98.26
10383012,Pgs1,59.43,72.15,44.38
10383023,Gm10099,94.70,99.16,81.24
10383025,C1qtnf1,-42.08,-46.95,-36.88
10383032,Engase,-41.86,-27.79,-57.67
10383047,Enpp7,-18.13,-21.53,-15.35
10383055,Cbx2,-20.01,-38.04,-3.68
10383061,Ccdc40,51.09,39.38,60.72
10383088,Gaa,-54.64,-53.50,-55.53
10383109,Card14 or Sgsh,-8.79,-6.12,-12.24
10383133,Slc26a11,-24.38,-10.80,-38.73
10383152,Rnf213,32.32,44.75,19.30
10383168,Rnf213,20.17,26.94,13.99
10383192,---,26.65,25.13,28.35
10383194,Rnf213,17.41,24.04,10.37
10383196,Rnf213,2.87,17.52,-11.13
10383198,---,29.39,43.07,15.22
10383200,---,25.32,36.75,12.42
10383202,Rnf213,27.32,38.30,15.63
10383204,Rnf213,28.40,40.47,15.80
10383206,---,43.06,57.58,25.54
10383208,---,49.80,56.69,41.51
10383210,Rnf213,37.39,48.45,26.60
10383212,Rnf213,42.02,53.51,29.58
10383214,Rnf213,39.02,50.19,27.52
10383233,Rnf213,37.42,45.64,28.47
10383235,A730011L01Rik,-32.32,-2.18,-52.39
10383245,Rptor,65.78,72.73,57.54
10383282,Chmp6 or Sema3e,35.88,11.01,56.87
10383289,Baiap2,61.06,57.52,63.95
10383309,Slc38a10,-15.63,-20.01,-11.36
10383311,Gm9734,50.40,49.06,51.74
10383313,Bahcc1,-2.24,1.78,-5.54
10383342,0610009L18Rik,59.52,60.58,58.58
10383345,Fscn2,46.67,37.40,54.45
10383351,Gm9981,23.52,36.07,10.34
10383353,Tspan10,-2.67,-2.89,-2.30
10383358,---,15.15,16.40,14.19
10383360,Ccdc137,-88.38,-87.20,-89.46
10383365,Hgs,-27.65,-33.14,-22.08
10383389,Mrpl12,-13.00,-26.16,-0.68
10383395,Slc25a10,-43.62,-55.67,-32.25
10383409,Gcgr or Nr1i3,-36.18,-42.54,-30.61
10383423,Anapc11,-14.07,-2.17,-25.30
10383429,Npb,31.14,22.85,39.34
10383434,Notum,62.46,62.68,62.17
10383436,Aspscr1,7.23,-1.82,15.53
10383453,Lrrc45,49.92,51.62,48.95
10383472,Rac3,-30.25,-27.17,-33.67
10383479,Hmga1 or Hmga1-rs1,2.23,1.48,2.64
10383485,Gps1,-53.69,-59.05,-46.50
10383502,Slc16a3,8.11,10.92,5.07
10383511,Tex19.1,-37.99,-40.95,-35.27
10383514,Uts2r,-23.41,-15.08,-32.69
10383518,Hexdc,-72.00,-77.83,-66.11
10383532,Narf,-23.13,-8.44,-36.49
10383545,Foxk2,-3.27,-10.38,3.99
10383556,Fn3krp,-84.74,-83.89,-85.56
10383564,Fn3k,-30.69,-41.62,-22.07
10383575,Tbcd or B3gntl1,-27.96,-10.26,-41.44
10383615,Metrnl,85.52,85.06,85.63
10383625,Ptchd3,-41.17,-43.85,-38.77
10383632,Sfi1 or LOC100861749,-18.90,-13.57,-24.42
10383671,Drg1,-84.40,-81.44,-87.06
10383681,Patz1 or Gm12592,-58.68,-56.38,-61.47
10383684,Limk2,-55.93,-52.53,-59.07
10383708,Rnf185,-83.43,-81.04,-86.22
10383717,Inpp5j,-20.05,-16.26,-24.89
10383731,Smtn,-52.36,-56.88,-47.69
10383754,---,-66.18,-80.18,-49.16
10383756,Ifitm2,68.27,67.50,68.93
10383758,Tug1,-60.44,-52.24,-66.86
10383763,Gm10216,74.72,65.64,82.74
10383765,---,-38.25,-48.41,-30.40
10383767,Osbp2,-34.23,-32.10,-36.13
10383785,4921536K21Rik,-8.69,-6.27,-11.81
10383791,Slc35e4,65.63,61.85,69.83
10383799,Tcn2,3.90,3.14,4.62
10383810,Pes1,64.78,78.61,44.99
10383813,Mtfp1,-42.76,-69.28,-20.37
10383819,Sec14l2,-35.90,-35.89,-35.90
10383833,Ccdc157,-50.39,-64.72,-34.59
10383850,---,59.33,47.74,69.83
10383853,Hormad2,-46.63,-34.77,-59.65
10383867,Mtmr3,46.38,44.83,47.81
10383883,Gm11961,-13.94,-1.48,-29.86
10383887,Uqcr10 or Gm6293,-84.33,-84.13,-84.49
10383891,Cabp7,-46.97,-62.67,-32.42
10383897,Nf2,-62.31,-58.30,-66.79
10383920,Nefh or Ap1b1,-24.31,-26.30,-22.79
10383930,Gm10278,-3.20,-7.45,3.43
10383932,Gas2l1,-0.46,23.69,-22.47
10383943,Ewsr1,40.79,50.69,30.68
10383953,Emid1,-27.53,-24.57,-30.61
10383970,Kremen1,-67.99,-67.50,-68.36
10383982,Znrf3,-86.15,-91.04,-79.64
10383991,---,14.78,12.60,16.54
10383993,Ccdc117,24.61,29.68,19.97
10383999,Mrps24,-93.95,-97.83,-85.03
10384004,Urgcp,-47.11,-29.71,-60.08
10384015,Pgam2,-30.96,-22.37,-42.62
10384020,Polm,-6.15,-5.25,-7.04
10384032,Pold2,-57.72,-52.23,-63.01
10384044,Myl7,-59.23,-73.31,-44.76
10384051,Gck,-24.87,-42.20,-14.75
10384064,Camk2b,-57.36,-71.98,-44.22
10384092,Nudcd3,8.49,4.11,12.76
10384100,Rps15a-ps6 or Rps15a or Rps15a-ps4,7.46,4.24,10.98
10384102,Npc1l1,-15.15,-12.83,-18.35
10384123,Ddx56,-73.71,-71.13,-75.89
10384138,Tmed4,-61.64,-52.57,-68.78
10384145,H2afv,-54.83,-53.26,-56.80
10384150,Purb,55.60,59.47,51.28
10384152,Purb,77.42,80.19,74.33
10384154,Myo1g,96.30,96.63,95.73
10384179,---,99.60,99.69,99.35
10384181,---,14.27,43.00,-6.55
10384183,Nacad,38.70,10.67,57.83
10384192,Tbrg4,-63.31,-58.07,-67.96
10384208,---,71.40,69.11,73.73
10384210,Tbrg4,36.64,40.90,31.41
10384212,Wap,72.31,54.57,84.42
10384219,---,66.89,79.30,51.95
10384221,Gm11983,18.72,24.50,13.04
10384223,Igfbp3,-43.39,-50.27,-36.63
10384229,---,-5.90,-0.59,-12.96
10384231,---,21.21,-11.95,62.66
10384233,Tns3,57.57,55.35,59.36
10384266,Pkd1l1,-23.11,-27.54,-18.54
10384322,Hus1,-97.63,-97.76,-97.41
10384335,Sun3 or Gm11992,-25.95,-21.32,-30.91
10384349,Polr2c or Dok4,-44.74,-47.40,-42.02
10384352,Zpbp,-22.04,-8.55,-38.50
10384363,---,-65.67,-74.81,-55.01
10384365,---,-59.57,-50.35,-68.97
10384370,---,-18.10,-6.37,-34.43
10384373,Fignl1,-38.96,-42.81,-36.11
10384378,Ddc,-38.33,-47.51,-30.61
10384396,---,-6.02,-13.85,4.18
10384398,Grb10,-52.43,-55.98,-49.61
10384421,---,-4.23,-21.93,24.54
10384423,Cobl,-57.39,-70.08,-45.27
10384443,---,-20.83,-39.35,-3.82
10384448,Sec61g or Gm20094 or Gm4184 or Gm11575 or Gm10177,93.98,93.48,94.26
10384452,Ublcp1,-79.35,-83.73,-74.22
10384454,Ublcp1,-82.65,-67.24,-93.54
10384456,---,29.64,20.94,38.27
10384458,Plek or Cnrip1,95.25,95.42,94.88
10384474,Pno1,-48.43,-70.88,-19.43
10384483,---,68.39,64.29,72.55
10384486,Etaa1,-88.37,-95.90,-73.76
10384493,Gapdh,93.98,93.48,94.26
10384495,---,-47.96,-19.82,-72.59
10384497,---,66.85,78.41,50.00
10384502,---,-18.68,-0.96,-36.35
10384504,Meis1,-59.75,-57.62,-62.32
10384522,Actr2,76.39,73.72,78.61
10384529,Cep68,-80.11,-80.23,-80.08
10384539,Slc1a4,-92.84,-70.94,-99.41
10384552,Gapdh,93.98,93.48,94.26
10384555,Aftph,84.05,81.01,86.47
10384566,---,5.66,2.77,8.31
10384572,1110067D22Rik,-43.92,-55.69,-31.01
10384577,---,51.99,33.70,65.60
10384579,Ugp2,-74.04,-73.41,-74.78
10384595,4932414J04Rik,26.51,61.43,-15.33
10384603,Mdh1,-66.79,-68.06,-65.59
10384615,Otx1,85.52,79.02,89.74
10384622,Ehbp1,-35.45,-30.06,-39.71
10384652,---,-81.83,-63.71,-93.50
10384654,---,46.54,32.48,58.87
10384656,B3gnt2,-71.19,-76.11,-65.95
10384662,Commd1 or Zrsr1,-78.39,-79.19,-77.83
10384670,---,62.92,48.88,74.02
10384672,Ahsa2 or Usp34,-68.90,-74.17,-62.35
10384685,1700093K21Rik,-11.03,-7.10,-16.45
10384691,0610010F05Rik,-46.36,-41.82,-49.98
10384715,Gm12060,-57.93,-53.24,-62.37
10384717,Pex13,-78.61,-75.65,-81.28
10384725,Rel,98.64,98.86,98.25
10384737,Papolg,-73.72,-79.01,-67.42
10384762,---,48.80,58.32,38.59
10384766,---,76.54,69.08,82.42
10384768,Gm10466,-38.20,-34.20,-42.70
10384770,5730522E02Rik,-64.98,-56.71,-73.86
10384776,5730522E02Rik,78.82,74.95,82.42
10384778,---,28.31,4.97,45.78
10384780,Fancl,-47.11,-58.23,-34.75
10384782,Vrk2 or Fancl,93.90,93.76,94.00
10384795,Cyb5d1,-19.66,20.86,-56.97
10384797,Ccdc85a,-35.96,-30.63,-41.51
10384808,Smek2 or A630052C17Rik,7.13,18.56,-2.57
10384811,Ccdc104,-62.60,-65.57,-59.61
10384824,Prorsd1,-64.57,-68.05,-60.73
10384829,Rps27a,25.99,21.53,30.91
10384838,Eml6 or Rtn4,39.48,39.82,38.72
10384883,4931440F15Rik,72.96,86.97,49.80
10384885,Spnb2,-51.19,-50.66,-51.67
10384930,4930505A04Rik,-56.39,-70.96,-42.67
10384936,Acyp2,-84.68,-83.92,-85.22
10384940,Erlec1,-97.44,-95.61,-98.60
10384956,Chac2,-98.23,-98.62,-97.69
10384961,Stc2,-37.75,-56.71,-21.58
10384968,Bod1,-94.67,-87.32,-97.90
10384974,Il9r,-24.43,-16.03,-36.64
10384985,Rhbdf1,-30.11,-35.88,-25.21
10385004,Nprl3 or Mpg,-27.81,-19.48,-34.26
10385022,Efcab9,-40.53,-46.10,-35.04
10385027,1700008A04Rik,3.45,-20.50,47.99
10385032,---,9.26,-11.90,39.31
10385034,Rpsa,5.86,11.61,0.11
10385036,Fgf18,-14.56,-39.89,6.13
10385043,Npm1 or LOC100046628,-12.36,-8.76,-15.57
10385048,Tlx3,59.52,69.96,44.58
10385052,Ranbp17,-75.52,-71.98,-78.51
10385081,Anp32-ps,-44.38,-54.61,-33.00
10385083,Gabrp,-38.29,-38.58,-38.02
10385096,Kcnip1,-50.66,-56.02,-45.71
10385114,Foxi1,37.58,10.10,58.56
10385118,Dock2,69.88,72.23,67.48
10385151,---,-29.30,-29.79,-28.82
10385153,Ccdc99,-40.91,-41.35,-40.44
10385155,Fbll1,35.79,16.76,50.46
10385159,Rars,-93.48,-93.18,-93.64
10385175,Wwc1,-34.27,-21.83,-60.78
10385203,Odz2,-36.55,-51.14,-25.00
10385234,---,-37.28,-47.87,-28.15
10385236,Gm6644 or Akr1b3,93.98,93.48,94.26
10385239,Mat2b,-21.65,-26.50,-16.70
10385248,Hmmr,-14.95,-16.58,-13.22
10385271,Ccng1,-52.10,-47.27,-56.37
10385281,---,-47.30,-52.36,-41.14
10385283,Gabrg2,-73.16,-55.93,-87.31
10385297,Gabra1,-36.03,-23.96,-53.15
10385310,Gabra6,-46.83,-27.57,-72.39
10385323,Mir146,-16.53,-16.46,-16.65
10385325,Pttg1,-63.40,-59.29,-66.36
10385335,---,-50.83,-63.68,-35.65
10385337,Fabp6,-12.01,-12.16,-11.84
10385343,Ttc1,-83.00,-85.29,-80.00
10385353,Adra1b,-21.86,-31.17,-15.09
10385361,Ublcp1,-75.89,-83.10,-65.16
10385365,Lsm11,-42.27,-24.98,-58.54
10385375,Thg1l,-37.02,-39.86,-34.22
10385382,Sft2d1,14.07,23.13,5.71
10385384,Nipal4,-70.70,-85.07,-54.27
10385391,Cyfip2,-10.95,-7.93,-14.13
10385426,Hmgb1,76.99,87.82,58.28
10385428,Itk,-6.16,-7.67,-4.95
10385447,Dppa1,-6.31,-7.28,-5.17
10385455,Timd2,-16.97,-24.56,-11.98
10385466,Sgcd,-44.20,-32.86,-61.73
10385477,---,-33.96,-39.48,-28.73
10385479,Ibtk,-29.77,-3.15,-55.68
10385484,Ddx5,71.90,76.72,66.59
10385486,Trim41,16.84,12.65,20.88
10385495,Cdk2ap1 or Trim7,16.05,18.81,13.36
10385500,Irgm1,6.97,15.12,-0.25
10385504,Gm5431,56.86,57.46,55.99
10385507,Gm12185,-18.04,-16.22,-20.44
10385511,Psme2 or Psme2b-ps,23.92,26.61,21.03
10385513,9930111J21Rik2 or 9930111J21Rik1 or Gm5431,38.91,35.47,41.45
10385518,Tgtp1 or Tgtp2 or Gm12185,-26.13,-23.12,-28.95
10385523,---,45.09,29.19,59.91
10385526,9930111J21Rik2 or 9930111J21Rik1 or Gm5431,93.98,93.48,94.26
10385533,Tgtp1 or Tgtp2 or Gm12185,93.98,93.48,94.26
10385540,Olfr1396,-39.81,-41.71,-38.32
10385542,Btnl9,-17.03,-28.40,-8.75
10385555,1700024J04Rik,-54.28,-69.50,-39.67
10385557,Cnot6,0.92,9.23,-10.85
10385570,Gm12191 or Rpl30,24.17,24.11,24.34
10385572,Sqstm1,91.82,92.76,90.62
10385583,Ltc4s,-15.96,-21.62,-11.69
10385591,Maml1,82.67,76.64,87.63
10385599,Canx,26.65,26.65,26.65
10385616,Rufy1,70.23,69.04,71.60
10385635,Zfp354c,-92.43,-98.20,-81.55
10385642,Zfp879,-23.09,-54.53,6.41
10385647,Zfp454,-43.07,-3.88,-82.32
10385656,Zfp2,-73.05,-90.65,-51.52
10385665,Zfp354b,-86.67,-92.92,-78.00
10385671,---,-25.83,-39.38,-15.65
10385677,Prop1,50.99,31.51,66.07
10385681,BC049762,-8.54,-8.89,-8.03
10385686,Hnrnpab,-2.05,4.80,-10.05
10385699,Rmnd5b,-23.31,-14.29,-31.78
10385709,N4bp3 or D930048N14Rik,19.17,16.69,22.73
10385716,0610009B22Rik,-92.36,-92.68,-92.07
10385719,Sec24a,-34.22,-14.59,-53.51
10385747,Phf15,19.52,17.06,21.41
10385761,Ube2b,-78.69,-76.46,-80.63
10385768,Olfr1373 or Olfr1371 or Olfr1381 or Olfr1382 or Olfr1380,93.98,93.48,94.26
10385770,Olfr1372-ps1,-25.36,-21.02,-30.23
10385774,Olfr1371 or Olfr1373 or Olfr1381 or Olfr1382 or Olfr1380,93.98,93.48,94.26
10385776,Tcf7,-44.94,-34.42,-58.00
10385790,Hspa4,-70.89,-68.65,-73.18
10385814,Leap2,-45.99,-51.89,-40.66
10385818,Uqcrq,-61.36,-54.77,-68.24
10385822,---,-7.92,-26.51,15.55
10385824,---,61.29,-7.80,89.41
10385826,Sowaha,-29.50,-32.87,-26.58
10385832,Il4,-5.54,-19.33,-0.05
10385837,Il13,-5.70,-10.86,-1.53
10385842,Rad50,-46.48,-38.68,-53.76
10385870,Irf1,7.77,17.86,-0.56
10385872,Slc22a5,-46.01,-36.26,-55.00
10385883,Slc22a21,55.38,60.34,50.00
10385893,Slc22a4,-40.43,-50.30,-32.39
10385903,Pdlim4,-16.25,-11.59,-21.28
10385912,Csf2,-33.61,-31.22,-36.16
10385918,Il3,-14.06,-39.57,-5.58
10385926,Cdc42se2 or LOC100045021,78.33,81.45,75.53
10385932,Lyrm7,-68.19,-77.83,-57.45
10385941,Tnip1,16.28,19.14,13.95
10385966,Anxa6,38.53,42.44,34.41
10385993,Anxa6,-37.75,-17.48,-59.57
10385995,Ccdc69,50.12,36.89,62.26
10386005,Atp5f1,-77.63,-77.28,-77.97
10386007,Slc36a3,62.85,51.96,71.29
10386020,Slc36a2,-35.40,-39.22,-31.69
10386033,Fat2,-40.39,-62.69,-22.70
10386058,Sparc,-6.72,-6.19,-7.61
10386070,Atox1,84.74,84.24,85.19
10386076,Glra1,-12.39,-10.77,-14.56
10386086,Nmur2,-37.77,-39.88,-35.91
10386093,Snord1c or Snord1b,93.98,93.48,94.26
10386095,Fam114a2,-11.39,-12.97,-9.45
10386110,Hand1,35.74,58.51,4.07
10386115,Gm12248,-11.50,16.26,-38.01
10386123,A430005L14Rik,-51.66,-72.55,-27.60
10386125,Gemin5,-87.56,-80.30,-92.38
10386157,---,55.67,46.83,62.84
10386159,Zfp672,-81.58,-70.46,-88.78
10386169,---,-90.50,-92.66,-87.76
10386171,Ndufs3,-96.15,-96.15,-96.18
10386173,4930504O13Rik,-8.73,-9.22,-8.41
10386178,Olfr30,51.68,30.89,66.62
10386180,---,-30.73,-28.12,-33.95
10386182,Olfr332,-2.53,-4.31,-0.59
10386185,Olfr331 or Olfr330 or Olfr325 or Olfr329-ps,-40.54,-41.42,-39.36
10386187,Rpl24 or Zbtb11,43.96,42.02,46.55
10386189,Olfr330,-19.42,-13.77,-26.08
10386191,Olfr329-ps or Olfr325 or Olfr330 or Olfr328,93.98,93.48,94.26
10386193,Olfr328 or Olfr329-ps,-11.43,1.19,-24.12
10386195,Olfr224,-12.76,-49.97,34.45
10386197,2210407C18Rik,-31.86,-16.66,-59.20
10386205,Olfr323,-6.64,-7.18,-6.19
10386207,Olfr318 or Olfr316 or Olfr320,-0.06,18.36,-6.84
10386209,Olfr317,32.80,30.19,35.49
10386211,Fam183b,-52.82,-90.81,-23.54
10386219,Zfp39,-93.90,-91.43,-95.54
10386230,Rnf187,13.68,11.36,15.72
10386236,Hist3h2bb-ps,69.34,64.08,73.34
10386238,Obscn,-16.07,-15.23,-16.84
10386262,Obscn,-27.03,-38.22,-18.28
10386344,A230051G13Rik or LOC100862303,58.86,71.34,42.93
10386349,A230051G13Rik or LOC100862303,49.86,69.84,21.56
10386352,Gjc2,31.56,57.41,-2.43
10386359,Guk1,-80.31,-79.87,-80.76
10386368,2310033P09Rik,70.63,63.40,77.65
10386370,Arf1,21.66,17.88,26.13
10386376,Wnt3a,70.75,84.27,47.22
10386381,Prss38,-1.80,-5.55,3.51
10386388,Snap47,-86.69,-85.18,-88.17
10386394,Zfp867,-81.65,-97.36,-39.72
10386400,Arih2,65.64,73.49,57.25
10386402,Zkscan17,29.54,23.36,34.48
10386414,Zkscan17,86.40,89.29,81.04
10386416,Olfr222,50.44,83.54,-15.43
10386418,---,91.15,86.60,94.41
10386420,Olfr223,-45.34,-16.93,-72.80
10386423,Pld6,64.28,71.36,55.21
10386427,Flcn,69.83,71.69,68.00
10386442,Cops3,-88.42,-88.35,-88.42
10386455,Rasd1,-12.47,-10.40,-14.96
10386460,Pemt,-93.24,-93.05,-93.52
10386470,4930412M03Rik,-38.54,-43.04,-33.38
10386473,Srebf1,-40.64,-35.09,-45.56
10386495,Tom1l2,-57.85,-56.12,-59.62
10386518,Atpaf2,-82.76,-78.84,-86.53
10386527,LOC674295 or Gm20095 or LOC100505230,57.70,59.86,54.85
10386529,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386531,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386533,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386535,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386537,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386539,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386541,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386543,Pabpc4 or LOC100503296 or Gm12620,-51.78,-46.99,-55.79
10386546,LOC674295 or Gm20095 or LOC100505230,93.98,93.48,94.26
10386548,Pabpc4 or LOC100503296 or Gm12620,93.98,93.48,94.26
10386551,Flii,65.65,66.83,64.37
10386582,Top3a,-36.31,-25.88,-47.77
10386604,Shmt1,-69.43,-73.53,-65.46
10386622,Gm12618,-63.15,-60.23,-65.85
10386624,Tmem11,-26.53,-28.51,-24.02
10386628,Gm16515,-86.93,-82.58,-89.95
10386633,Gm16516,-32.98,-14.52,-58.13
10386636,Usp22,-31.74,-33.18,-30.39
10386652,Aldh3a2,-29.78,-31.73,-28.11
10386665,Slc47a2,-17.33,-32.28,-8.65
10386683,Slc47a1,-38.55,-34.94,-42.01
10386703,Gm12271,50.76,73.57,10.29
10386705,Rnf112,-21.67,-26.42,-17.67
10386723,Mapk7,7.68,13.22,1.48
10386741,---,-2.69,-15.52,14.59
10386743,Epn2,-48.89,-50.00,-47.56
10386756,---,0.38,-7.28,21.03
10386758,Slc5a10 or Fam83g,-19.86,-16.17,-24.53
10386775,Prpsap2,-51.28,-44.64,-56.73
10386789,Ulk2,-36.47,-32.56,-40.23
10386821,A530017D24Rik,-85.83,-84.19,-87.21
10386824,Akap10,30.21,34.95,24.72
10386844,Zswim7,-37.39,-42.18,-32.68
10386850,Ncor1,-18.82,-15.79,-21.10
10386909,Cenpv,-95.71,-94.20,-97.05
10386916,BC046404,-36.49,-20.26,-53.92
10386921,Zfp287,-38.55,-31.01,-45.83
10386934,Wsb2,-39.47,-45.45,-33.72
10386937,Zfp286,-61.53,-74.87,-47.89
10386947,---,93.98,93.48,94.26
10386949,Hmgb1,93.98,93.48,94.26
10386951,Hs3st3b1,51.71,53.38,50.57
10386955,Cox10,-68.27,-59.65,-75.19
10386963,F930015N05Rik or Hs3st3a1,85.77,85.81,85.61
10386965,Arhgap44,-65.67,-72.29,-59.46
10386990,---,-55.15,-64.49,-46.07
10386992,---,-63.02,-61.96,-63.68
10386996,Myocd,-63.16,-53.60,-73.09
10387014,Map2k4,-49.33,-36.52,-60.16
10387029,Dnahc9,-27.43,-18.18,-38.30
10387100,Shisa6,-35.26,-18.84,-63.58
10387108,Gm12298,-21.39,-27.77,-15.03
10387111,2310004I24Rik,-98.94,-99.39,-98.31
10387119,Glp2r,40.36,33.14,46.52
10387138,Usp43,-31.46,-35.59,-27.49
10387155,Wdr16,-40.02,-44.94,-35.58
10387170,Ntn1,-51.00,-79.82,-24.57
10387180,Ndel1,97.45,98.22,96.32
10387194,Odf4,-24.90,-28.26,-22.02
10387201,Arhgef15,-45.65,-47.00,-44.35
10387219,Rangrf or Slc25a35,-97.88,-98.15,-97.53
10387222,Pfas,-47.45,-38.24,-58.10
10387251,2310047M10Rik or 9330160F10Rik,84.12,91.24,72.41
10387255,Hes7,0.00,11.18,-7.23
10387257,Alox8,-2.06,-11.50,17.48
10387274,Gucy2e,-17.21,-43.74,13.72
10387295,Cntrob,-29.45,-34.86,-24.21
10387316,Chd3,-33.54,-20.93,-44.32
10387363,Cyb5d1,93.98,93.48,94.26
10387368,Tmem88 or Lsmd1,75.01,84.13,61.62
10387372,Kdm6b,98.91,99.26,98.25
10387397,Dnahc2,46.19,59.01,29.56
10387483,Efnb3,-8.71,-7.51,-9.87
10387492,Wrap53,-40.11,-30.53,-49.00
10387505,Atp1b2,-60.00,-51.73,-70.42
10387514,---,-6.10,5.42,-14.38
10387516,Shbg,7.53,27.98,-3.48
10387525,Mpdu1,-49.42,-50.54,-48.55
10387536,Cd68,73.93,74.57,73.22
10387545,Eif4a1,93.98,93.48,94.26
10387557,Eif4a1,47.55,59.35,29.50
10387559,Senp3,-40.28,-32.30,-48.37
10387568,BC096441 or Tnfsf12 or Tnfsf13,30.47,29.13,31.51
10387588,Polr2a,-42.67,-26.64,-56.96
10387620,Amac1,-56.43,-27.74,-80.93
10387625,Chrnb1,-65.42,-71.06,-60.00
10387638,Fgf11,-38.12,-61.27,-19.18
10387648,Tmem102 or G630025P09Rik,-25.78,-29.73,-22.46
10387651,4933402P03Rik,-9.40,-15.58,-5.84
10387655,Spem1,-29.86,-27.15,-33.50
10387659,Nlgn2,-73.48,-78.77,-67.76
10387668,Tnk1 or Plscr3,-15.88,-9.19,-23.82
10387689,Kctd11 or Tmem95,23.48,23.89,23.14
10387699,Acap1,4.44,9.19,0.89
10387723,2810408A11Rik,-57.29,-51.20,-63.09
10387733,Eif5a,64.58,67.78,60.72
10387743,Slc2a4,-41.76,-35.04,-49.30
10387757,Rai12,38.14,29.02,45.56
10387768,Acadvl or Dvl2,-61.91,-67.77,-56.31
10387791,Slc16a13,-38.72,-27.92,-49.59
10387797,Bcl6b,-27.49,-27.75,-27.42
10387807,0610010K14Rik or Rnasek,30.80,42.81,17.73
10387816,Rnasek,31.54,38.19,24.44
10387821,Alox12,-26.94,-64.39,-8.19
10387838,Alox12e,-36.63,-37.84,-35.45
10387855,Alox15,-6.71,-8.67,-5.26
10387871,Pelp1,-57.80,-65.51,-49.69
10387890,Cxcl16 or Zmynd15,96.57,96.93,95.98
10387903,Vmo1,-58.86,-69.73,-47.83
10387907,Pld2,68.72,59.71,75.72
10387909,Chrne,-14.90,-33.15,1.62
10387922,Slc25a11,-59.29,-62.32,-56.48
10387932,Pfn1,70.21,73.56,66.13
10387936,Spag7,10.31,6.40,14.98
10387944,Camta2,57.52,61.85,53.44
10387971,Inca1,-13.21,-7.83,-20.11
10387983,---,28.83,27.25,30.23
10387985,A430084P05Rik,81.56,81.79,81.22
10387992,Nup88,-67.21,-65.95,-68.18
10388010,C1qbp or Rpain,-60.32,-66.56,-53.67
10388018,Dhx33,-53.23,-50.50,-56.34
10388031,---,-72.99,-53.66,-89.01
10388033,Derl2 or LOC100862452,-37.31,-54.62,-17.55
10388042,6330403K07Rik,-54.36,-61.61,-47.77
10388045,---,36.52,10.07,58.68
10388047,Nlrp1a,78.83,75.55,81.81
10388065,Nlrp1b,98.70,99.42,97.26
10388086,Nlrp1c,94.13,95.49,92.10
10388098,Aipl1,-20.10,-20.73,-19.39
10388109,Pitpnm3,-20.64,-33.05,-12.28
10388132,4933427D14Rik,-65.72,-67.40,-63.57
10388154,Med31,-67.84,-54.87,-76.52
10388160,Slc13a5,-49.52,-63.47,-37.67
10388174,Tekt1,32.56,-0.69,56.50
10388185,Smtnl2,-36.97,-49.76,-26.94
10388194,Spns2,-42.10,-45.47,-38.69
10388211,Spns3,54.09,52.36,55.82
10388225,---,77.69,82.38,69.32
10388227,Cyb5d2,-76.21,-78.46,-73.91
10388234,Gsg2,-59.30,-51.36,-67.39
10388238,Tmem93,-45.49,-30.68,-57.53
10388241,Ctns,50.05,58.45,40.47
10388254,Aspa,-94.29,-72.56,-99.47
10388263,---,-3.81,-32.92,41.29
10388265,Olfr1,-31.48,-39.48,-23.87
10388267,Olfr378,-77.18,-69.96,-83.47
10388269,---,-57.21,-28.55,-83.10
10388272,Olfr380,-32.42,-27.73,-37.68
10388274,Olfr381,-48.47,-32.04,-66.96
10388276,Olfr382,-14.38,-36.00,9.19
10388278,---,-27.89,-40.18,-16.91
10388280,Olfr385,-70.41,-90.05,-47.21
10388282,---,-1.29,-10.26,21.30
10388284,Olfr389,-5.87,-5.76,-5.93
10388286,Olfr391-ps,-33.93,-35.90,-32.12
10388288,Olfr392,-29.11,-4.26,-65.95
10388290,Olfr393,-52.55,-50.11,-54.86
10388292,Olfr394,29.73,-29.29,75.29
10388294,Olfr395,-58.22,-70.02,-46.26
10388296,Olfr398,18.84,-22.70,60.27
10388298,Olfr139,-32.03,-11.55,-53.36
10388300,Olfr399,-25.59,-25.47,-25.67
10388302,Olfr43,-8.89,-9.66,-8.14
10388304,---,-14.81,-1.62,-30.95
10388306,Olfr410,-6.99,-13.20,-1.63
10388308,Olfr411,-39.85,-11.53,-67.88
10388310,Rap1gap2,41.08,43.09,39.12
10388337,Pafah1b1,-21.74,-19.79,-24.16
