Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II+,Sample_,Sample_,Sample_
10369098,Zfa,26.55,82.25,-33.43,-4.38
10369102,Gm9766,49.50,66.44,31.28,44.19
10369116,Mcm9,34.56,4.62,18.92,71.34
10369132,Fam184a,-48.37,-44.13,-24.26,-85.41
10369154,Man1a,33.25,40.57,28.86,30.54
10369171,9530009G21Rik,-4.83,-26.53,0.56,15.83
10369174,---,-22.96,-21.87,-26.00,-21.21
10369176,D630037F22Rik,-35.45,-34.53,-39.88,-32.14
10369206,Rps8,20.11,0.64,-24.29,72.81
10369208,---,18.02,70.58,-12.95,-3.37
10369210,Serinc1,-36.19,-37.53,-35.00,-36.05
10369221,Dux,-30.85,-46.91,-25.23,-21.19
10369223,Dux,63.96,85.91,-1.66,71.98
10369225,Dux,63.96,85.91,-1.66,71.98
10369228,Gm4981,81.67,12.38,95.82,83.92
10369232,Gm9919,23.42,59.80,45.46,-32.00
10369234,---,-3.90,2.91,-3.99,-15.03
10369236,Edar,-15.74,19.59,-18.54,-43.57
10369250,---,75.56,74.46,90.73,42.73
10369252,Sept10,2.11,12.44,-19.98,7.59
10369264,Oit3,-31.43,-34.36,-24.02,-36.78
10369276,Ccdc109a,-91.01,-95.40,-91.01,-84.98
10369288,---,-1.28,-22.33,-55.36,73.07
10369290,Ddit4,64.90,14.78,50.12,93.88
10369295,Anapc16,32.48,-22.67,-12.70,87.61
10369301,Chst3,-87.13,-96.60,-56.53,-91.52
10369307,Cdh23,-2.56,-6.25,23.65,-13.71
10369379,Slc29a3,83.93,87.07,84.64,78.76
10369388,Unc5b,-57.35,-62.69,-49.32,-60.79
10369409,Pldi,-23.34,-39.61,27.99,-50.38
10369413,Sgpl1,59.87,59.09,60.89,59.01
10369431,Adamts14,-57.31,-66.10,-40.25,-66.75
10369453,X99384,-65.90,-42.02,-64.98,-87.46
10369474,Eif4ebp2,49.61,40.50,47.76,59.86
10369479,Lrrc20,41.68,10.85,58.53,45.38
10369481,H2afy2 or Aifm2,-83.06,-73.92,-97.09,-65.67
10369485,Col13a1,-2.95,24.87,47.62,-66.03
10369525,2010107G23Rik,-36.85,-30.57,-24.39,-58.15
10369531,Tspan15,-73.85,-87.10,-52.54,-84.23
10369541,Hk1,-6.56,-3.66,-9.76,-6.69
10369567,Hkdc1,-42.20,-47.18,-34.42,-45.83
10369586,Supv3l1 or 4930507D05Rik,-73.41,-57.73,-75.09,-82.32
10369604,Vps26a,69.08,91.99,73.18,1.88
10369615,Srgn,72.31,81.76,74.32,60.57
10369620,2510003E04Rik,-37.00,-32.98,-48.79,-29.15
10369630,Ddx21,21.11,38.47,14.27,12.40
10369647,Ddx50,14.25,41.45,22.91,-15.18
10369655,Stox1,-43.38,-32.13,-20.18,-83.93
10369661,Ccar1,-49.78,-37.71,-61.35,-50.56
10369688,Tet1,-71.74,-74.23,-80.12,-60.08
10369690,Tet1,-93.41,-100.02,-77.72,-77.90
10369702,Tet1,63.96,85.91,-1.66,71.98
10369704,Hnrnph3,-74.11,-66.69,-75.20,-79.96
10369715,Mypn,-56.17,-30.87,-68.41,-72.33
10369735,Herc4,87.33,97.33,91.45,32.93
10369738,Sirt1,-1.45,-10.74,18.65,-10.48
10369748,---,-46.43,-47.35,-63.01,-28.12
10369750,---,-16.54,-14.54,-10.70,-30.18
10369752,Lrrtm3,-37.92,-27.24,-36.33,-52.66
10369761,Reep3,36.61,53.50,33.47,21.34
10369774,Nrbf2,-23.00,-11.17,-28.66,-32.41
10369779,Ado,5.20,-13.70,37.45,-11.67
10369783,Zfp365,-69.27,-92.91,-47.95,-60.06
10369792,Arid5b,-33.12,-47.93,0.11,-45.92
10369806,1700040L02Rik,-55.59,-51.74,-56.82,-58.58
10369815,Cdk1,-64.50,-67.98,-54.80,-72.20
10369825,---,-2.61,-7.16,55.65,-48.66
10369828,---,-10.95,32.22,-21.63,-36.84
10369833,Slc16a9,0.53,51.71,-5.65,-12.33
10369835,Phyhipl or Fam13c,-49.08,-60.13,-32.73,-60.49
10369842,Bicc1,-76.17,-75.46,-61.64,-90.22
10369844,Bicc1,-77.08,-74.12,-76.59,-80.64
10369867,Tfam,-53.90,-59.64,-75.36,-18.33
10369877,Ube2d1,51.33,58.07,48.54,46.94
10369885,Cisd1,-76.42,-86.81,-92.46,-27.75
10369890,---,-97.73,-97.57,-96.39,-98.41
10369892,---,-12.65,-48.17,-6.36,-5.52
10369894,1700049L16Rik,48.00,76.54,60.99,-19.80
10369898,---,-58.92,-90.92,-97.35,62.78
10369901,Rtdr1,-23.20,-3.03,-9.93,-86.84
10369909,Rab36,52.97,54.05,64.99,34.14
10369911,1110038D17Rik,35.44,23.14,31.19,48.35
10369920,AI646023,57.24,48.75,71.03,45.63
10369927,---,58.06,65.59,52.86,54.19
10369929,Gm19688,6.22,-22.26,-11.92,59.59
10369932,Susd2,-74.38,-91.00,-66.76,-64.16
10369948,Cabin1,33.63,21.88,30.26,46.96
10369989,Ddt,-88.33,-93.39,-99.19,-39.69
10369993,Gstt3,-38.11,-55.37,-39.93,-22.80
10370000,Gstt1,-69.35,-73.70,-45.12,-90.19
10370007,Gstt4,-43.02,-56.62,-42.58,-30.19
10370013,Gstt2,-77.03,-91.60,-70.54,-66.35
10370021,Mif,-92.97,-96.91,-96.27,-75.53
10370025,Smarcb1,-61.95,-62.89,-76.20,-41.13
10370037,Mmp11,-47.62,-50.51,-51.11,-42.19
10370046,---,28.89,51.60,-32.70,62.27
10370054,Slc5a4b,-35.45,-37.02,-30.09,-39.80
10370070,---,18.91,23.47,59.74,-22.86
10370072,Prmt2,-71.44,-65.34,-90.57,-57.35
10370089,Dip2a,-9.44,-3.67,-15.87,-9.25
10370127,Pcnt,45.54,42.91,57.06,36.53
10370174,Ybey or 2610028H24Rik or Mcm3ap,-1.61,5.23,46.62,-50.94
10370180,Col6a2,-53.88,-86.62,-24.97,-54.02
10370210,Col6a1,-52.30,-37.71,-42.38,-79.89
10370242,Pcbp3,-38.53,-50.12,-36.02,-30.50
10370259,Col18a1,-63.13,-77.35,-46.72,-68.58
10370303,Adarb1,-88.38,-80.60,-83.97,-96.88
10370320,1810008A18Rik,-2.44,25.77,-20.46,-9.69
10370327,---,51.56,6.22,75.80,61.15
10370330,Krtap10-4,64.26,29.37,76.29,73.42
10370334,Lrrc3,-16.24,-2.70,-8.51,-57.85
10370339,Trpm2,79.09,84.97,74.03,75.83
10370376,Pfkl,-65.21,-58.83,-69.06,-67.44
10370397,Aire,-11.29,-25.77,-15.62,6.45
10370413,D10Jhu81e,-43.81,-65.34,-42.10,-22.83
10370422,Pwp2,-33.07,-42.49,-43.81,-15.95
10370446,Trappc10,29.20,19.37,25.74,45.48
10370471,Agpat3,-70.63,-81.23,-74.73,-47.82
10370483,Rrp1,-11.38,6.06,-0.61,-45.34
10370497,Pdxk,39.65,53.39,47.82,19.38
10370508,---,39.99,53.64,71.65,-18.11
10370510,Syde1,-62.74,-55.57,-46.13,-83.77
10370519,Olfr1357,-31.40,-68.81,-5.24,-24.02
10370522,Casp14,-16.24,-35.83,-10.71,-10.66
10370530,Ccdc105,-43.74,-54.78,-36.63,-41.01
10370538,Olfr1356,-28.51,-6.48,-74.15,-22.99
10370541,---,-12.87,-3.86,-20.18,-20.41
10370544,2610008E11Rik,-83.26,-85.24,-79.56,-85.48
10370552,Ppap2c,27.27,5.94,25.00,44.23
10370559,Mier2,-22.55,-56.42,20.62,-25.90
10370573,Theg,-16.98,-14.94,-3.65,-58.26
10370584,C2cd4c,66.09,65.22,60.20,72.23
10370587,Shc2,-53.93,-47.78,-25.07,-89.25
10370603,Odf3l2,-6.94,-72.88,61.77,5.96
10370608,---,-10.77,20.93,-40.83,-11.53
10370610,Polrmt,-13.73,-23.41,-3.92,-13.03
10370632,Rnf126,31.38,46.55,29.10,16.91
10370644,Prss57 or Fstl3,-11.03,-2.52,-5.00,-44.55
10370651,BC005764,-17.28,-8.92,-11.59,-35.97
10370665,Med16,1.34,-54.87,26.92,28.92
10370681,C030046I01Rik,29.62,28.40,34.89,24.95
10370690,ORF61 or Grin3b,54.91,47.06,39.13,74.02
10370708,Polr2e,53.82,28.00,48.26,79.04
10370721,Sbno2,93.65,97.52,89.53,91.47
10370754,Dos,-65.90,-54.12,-55.94,-87.78
10370766,Gamt,-40.95,-68.79,-34.47,-26.75
10370777,2310011J03Rik,52.28,28.06,6.14,90.92
10370780,Pcsk4,-24.37,-30.35,-3.13,-42.15
10370798,Adamtsl5,-34.74,-18.62,-30.35,-64.56
10370818,Mex3d,-52.05,-45.14,-37.70,-73.35
10370824,Mbd3,-22.78,-21.54,-42.95,-1.16
10370833,Uqcr11,-70.39,-97.72,-93.44,19.10
10370837,Tcf3,-15.34,-32.41,-5.16,-11.99
10370860,Atp8b3,-26.71,-37.53,-6.24,-55.15
10370892,Rexo1,82.59,85.87,78.05,83.15
10370911,Klf16,44.01,20.72,54.81,53.28
10370914,Fam108a,60.44,4.99,15.86,95.34
10370920,Btbd2,-69.65,-83.43,-68.72,-47.88
10370931,Mknk2,79.82,70.49,81.80,84.92
10370946,Mob3a,67.51,65.80,60.72,76.55
10370950,Ap3d1,79.87,83.86,78.43,76.64
10370983,Plekhj1 or Sf3a2,81.42,90.15,84.81,65.86
10370991,Jsrp1,30.23,44.74,71.91,-31.56
10370999,Lingo3,-4.27,8.25,40.47,-51.64
10371002,Lsm7,63.96,85.91,-1.66,71.98
10371006,Timm13,-6.11,-36.99,-33.42,62.85
10371012,Lmnb2,-68.97,-61.70,-42.70,-91.04
10371025,Gng7,-41.39,-26.38,-30.79,-73.06
10371032,Diras1,-11.49,-20.38,-0.75,-28.81
10371037,Slc39a3,-13.78,27.50,-69.00,21.22
10371041,Sgta,-39.03,-48.26,-40.11,-27.24
10371054,Creb3l3,-13.39,-11.49,-13.07,-16.62
10371067,Pias4,18.29,9.30,-4.35,47.26
10371080,Dapk3,38.19,60.07,54.19,-7.50
10371082,Nmrk2,-20.83,-11.51,-22.93,-35.08
10371092,Atcay,-48.89,-69.93,-28.73,-52.05
10371107,Mrpl54,9.13,-10.75,-24.54,55.65
10371111,Tjp3,-56.01,-57.85,-49.20,-61.10
10371134,Gipc3,-24.35,7.73,38.57,-87.73
10371141,Hmg20b,64.84,60.14,66.52,66.94
10371154,4930404N11Rik or Mfsd12,81.08,67.06,79.87,89.83
10371159,Fzr1,16.61,13.35,5.97,31.10
10371176,Nfic,-14.59,-26.38,-8.55,-9.06
10371188,Celf5,-35.06,-58.51,-19.91,-34.43
10371201,Ncln,44.89,38.19,18.11,70.05
10371217,S1pr4,-9.26,-14.37,-14.06,-3.80
10371220,Gna15,27.95,-3.03,29.61,55.65
10371230,Gna11,-88.14,-89.52,-94.37,-78.14
10371240,Tle6,-62.22,-33.03,-57.64,-91.68
10371256,Sirt6,-25.63,-10.89,-29.99,-36.95
10371265,Rpl23a,63.96,85.91,-1.66,71.98
10371267,Rpl23a,63.96,85.91,-1.66,71.98
10371269,Rpl23a,63.96,85.91,-1.66,71.98
10371271,Zfp781,-89.43,-90.41,-68.70,-96.08
10371275,Rpl23a,63.96,85.91,-1.66,71.98
10371277,Zfp938,-96.01,-89.60,-99.06,-95.34
10371284,LOC100503696,-16.56,-35.01,-8.13,-19.24
10371286,LOC100503696,-18.39,-18.56,-19.36,-16.87
10371288,Gm1553,-35.13,-21.14,-29.47,-58.01
10371293,1190007I07Rik,-55.82,-82.41,-35.76,-40.82
10371296,Glt8d2,-39.92,-54.07,-20.73,-48.50
10371307,Nfyb,-39.58,-23.19,-65.30,-28.93
10371319,Gm10773,-18.55,-13.53,-19.73,-23.60
10371321,Slc41a2,-76.39,-54.29,-87.97,-85.84
10371332,Aldh1l2,-78.68,-75.77,-56.63,-95.86
10371356,Appl2,-71.29,-88.94,-59.53,-48.01
10371379,Nuak1,-73.99,-74.27,-80.70,-66.69
10371387,Ckap4,-27.92,-25.43,-31.08,-26.31
10371390,Fhl4,-92.00,-98.19,-95.28,-68.64
10371396,Mterfd3,-81.29,-60.24,-93.09,-85.31
10371400,Cry1,-31.09,-64.42,4.43,-33.25
10371415,---,1.02,-23.49,-15.18,49.80
10371420,Prdm4,37.51,41.19,42.88,27.90
10371432,D10Wsu52e,-44.04,-51.83,-48.49,-31.06
10371446,Bpifc,-26.12,-26.90,-18.53,-34.86
10371464,Fbxo7,25.74,74.73,57.75,-63.66
10371466,Syn3,-60.87,-36.43,-48.68,-92.55
10371482,Hsp90b1,20.07,47.20,28.38,-10.11
10371502,Fabp3,-73.84,-58.57,-80.96,-81.52
10371506,Stab2,-21.21,-22.83,-19.78,-21.59
10371578,Ascl1,-31.36,-5.01,-7.61,-91.38
10371583,---,-9.76,32.83,-9.32,-47.44
10371589,Gm10763,35.04,59.37,46.85,-8.35
10371591,4930547N16Rik or Pmch,-81.03,-71.24,-83.82,-86.38
10371603,Gm6653,-44.89,-36.64,-47.22,-50.45
10371607,Dram1,14.74,29.89,8.92,4.33
10371616,Chpt1,-62.50,-71.21,-63.82,-52.61
10371627,Mybpc1,-38.54,-60.63,-46.63,-18.62
10371660,---,-33.69,-37.61,-19.87,-49.82
10371662,Spic,47.95,56.60,46.48,42.96
10371670,---,61.39,55.43,72.03,52.98
10371672,Gm4925,-2.70,-15.70,17.91,-3.65
10371676,Utp20,-9.63,-6.54,2.38,-24.68
10371740,Ano4,-69.62,-77.47,-51.47,-79.22
10371770,Gas2l3,-16.39,-25.86,-10.95,-13.72
10371784,Nr1h4,-43.11,-59.39,-44.59,-28.89
10371796,Slc17a8,-38.52,-37.08,-38.54,-39.90
10371811,Scyl2,19.03,49.57,9.09,9.14
10371830,Actr6,-57.79,-54.65,-61.15,-56.93
10371842,Uhrf1bp1l,74.74,77.82,82.21,61.28
10371844,---,24.08,52.48,26.28,-7.46
10371846,Apaf1,92.07,90.32,91.76,93.78
10371877,Slc25a3 or LOC100046151,-32.20,-58.32,-50.89,12.40
10371888,Tmpo,66.06,78.14,73.06,48.39
10371902,Mir135a-2,-27.05,-6.27,-74.67,-23.73
10371904,1110012L19Rik or Gm8512,-82.24,-87.40,-98.77,-16.53
10371907,Nedd1,23.92,51.81,1.81,27.25
10371916,4930485B16Rik,-48.12,-61.28,-51.32,-33.31
10371942,4930485B16Rik,-26.28,-6.54,-36.12,-66.23
10371959,Elk3 or Cdk17,66.71,64.29,59.05,76.00
10371970,Amdhd1,-21.40,-22.89,-14.32,-29.50
10371981,Snrpf or Ccdc38 or 4933408J17Rik,-64.07,-97.21,-93.08,18.95
10371987,Metap2,-51.70,-44.06,-39.98,-69.57
10372001,---,62.33,80.29,25.66,66.89
10372003,Mir331,15.51,-16.21,34.21,36.45
10372005,Vezt,-77.40,-76.82,-65.02,-86.17
10372021,---,40.50,47.05,41.43,32.73
10372023,Gm4792,-25.25,-45.95,-12.61,-26.08
10372028,Plxnc1,45.58,33.75,46.76,55.66
10372060,Cradd,-5.91,-19.50,-5.37,8.33
10372069,Socs2,-77.69,-62.77,-68.21,-93.30
10372078,Mrpl42,-77.80,-97.59,-92.85,32.57
10372082,Nudt4,-81.58,-84.80,-84.66,-73.25
10372091,3200002M19Rik,-74.72,-86.37,-71.48,-63.00
10372094,---,-27.83,-26.31,-25.14,-31.86
10372096,---,58.79,53.19,74.71,44.09
10372099,---,-12.45,-17.80,-6.99,-13.04
10372102,Gm20091,-18.90,-47.18,-17.93,5.95
10372104,---,45.07,69.86,73.40,-26.62
10372106,Epyc or Gm10754,-22.09,-21.98,-31.81,-16.06
10372108,---,29.86,-20.80,45.68,65.47
10372110,Phxr2,-13.88,-17.68,-19.91,-6.37
10372114,---,63.96,85.91,-1.66,71.98
10372116,Csl,-57.24,-66.37,-47.95,-56.85
10372121,Tmtc3,-12.59,27.85,-30.70,-44.37
10372130,4930430F08Rik or Cep290,-89.60,-93.33,-86.84,-87.14
10372139,Nts,-74.56,-96.11,-46.26,-73.39
10372145,Alx1,-41.03,-57.04,-4.71,-89.88
10372151,Lrriq1,-37.19,-61.77,-21.56,-39.66
10372171,---,64.64,88.71,59.66,0.67
10372173,---,-44.80,-26.27,-31.06,-82.20
10372175,---,-63.73,-52.12,-62.25,-75.90
10372177,Tmtc2,-62.92,-38.78,-62.61,-89.82
10372191,BC067068 or Ccdc59,-10.44,-39.92,-24.47,45.45
10372204,---,44.23,64.82,12.70,49.04
10372206,Rps15a-ps1,-18.11,-22.82,-74.41,45.39
10372208,Acss3,-47.36,-44.59,-49.60,-49.02
10372226,Myf5,-35.46,-21.07,-30.38,-62.78
10372230,Myf6,-15.53,-13.15,-18.84,-15.22
10372235,Ptprq,-30.63,-35.77,-16.82,-46.08
10372280,Otogl,-47.93,-79.18,-29.19,-36.85
10372293,Otogl,-61.56,-95.74,-14.90,-63.41
10372324,Syt1,-56.43,-48.08,-47.06,-74.60
10372338,Gm5136,-30.53,-46.19,-16.79,-33.32
10372340,---,26.59,41.43,73.35,-37.53
10372342,Nav3,-56.37,-49.01,-25.45,-97.25
10372383,Zdhhc17,-60.59,-71.72,-80.95,-23.79
10372385,Zdhhc17,-18.25,-15.76,-12.12,-28.96
10372407,---,28.17,58.32,-16.05,38.09
10372410,Glipr1 or Krr1,46.37,29.24,28.71,83.08
10372417,Atxn7l3b,-37.10,-47.87,-42.90,-18.73
10372421,Trhde,-29.44,-36.72,-37.41,-18.86
10372441,---,-1.49,65.77,-37.45,-23.28
10372443,Tph2,-14.88,-21.21,-5.30,-27.12
10372457,Tbc1d15,-38.01,-52.77,-12.61,-45.52
10372478,Rab21,-2.42,18.05,9.39,-49.09
10372488,Tmem19,-14.75,-31.70,-6.42,-2.85
10372497,Thap2,-69.20,-68.69,-74.08,-64.43
10372503,Lgr5,-35.90,-42.27,-17.29,-58.80
10372524,4933416C03Rik,-9.02,-6.98,-5.62,-18.81
10372528,Kcnmb4 or 1700058G18Rik,-32.69,-35.29,-23.83,-40.92
10372534,Cnot2,-43.09,-21.46,-54.48,-55.56
10372557,Gm239,-20.51,-8.82,-26.08,-34.07
10372583,Rab3ip,-79.02,-81.58,-86.36,-68.89
10372595,---,-3.92,-8.24,-5.89,-0.68
10372597,Gm5781,58.51,42.00,37.64,85.49
10372600,Cct2,-38.92,-37.19,-62.63,-18.29
10372618,Frs2,-66.67,-74.14,-64.14,-59.87
10372629,Yeats4,-42.34,-38.68,-56.79,-32.16
10372639,9530003J23Rik,-15.46,-16.28,-13.83,-16.05
10372648,Lyz2,90.98,92.63,89.71,90.02
10372652,Lyz1,58.61,53.12,57.62,62.80
10372656,Cpsf6,-30.99,-24.56,-21.90,-47.53
10372668,Mdm2,-25.76,-8.23,-21.53,-48.65
10372682,Slc35e3,76.28,82.02,74.72,71.10
10372687,Nup107,-16.33,-9.81,-17.17,-23.56
10372716,Rap1b,88.32,91.52,89.40,83.46
10372726,Cdc5l,63.96,85.91,-1.66,71.98
10372728,Cdc5l,63.96,85.91,-1.66,71.98
10372730,Iltifb,-78.19,-95.81,-73.52,-47.14
10372733,Cdc5l,63.96,85.91,-1.66,71.98
10372735,Cdc5l,63.96,85.91,-1.66,71.98
10372737,Cdc5l,63.96,85.91,-1.66,71.98
10372739,Cdc5l,63.96,85.91,-1.66,71.98
10372741,Cdc5l,63.96,85.91,-1.66,71.98
10372743,Cdc5l,63.96,85.91,-1.66,71.98
10372745,Dyrk2,29.70,-3.26,23.76,62.00
10372748,Gm10744,-25.90,8.74,-15.47,-88.24
10372750,Cand1,-26.19,-23.81,-46.35,0.91
10372766,Helb,50.62,61.67,47.40,42.46
10372781,Irak3,72.66,70.80,76.38,70.20
10372796,Hmga2,-28.96,-13.42,-27.32,-59.29
10372805,Gm10743,34.12,57.97,-7.11,48.13
10372807,Msrb3,-69.85,-56.37,-52.50,-96.36
10372815,Lemd3,31.17,30.59,29.84,33.59
10372829,Gm10741,10.23,62.97,4.02,-26.58
10372831,Tbc1d30,-37.65,-38.69,-40.51,-34.49
10372844,Rassf3,69.49,36.38,82.06,82.22
10372853,Tbk1,31.04,36.10,58.40,-8.61
10372877,Xpot,-52.73,-45.92,-57.97,-54.84
10372889,BC048403,46.94,-1.74,49.58,74.18
10372891,Srgap1,-69.90,-58.93,-69.66,-80.36
10372917,Tmem5 or Gm9079,31.94,60.66,34.90,-3.63
10372926,Mirlet7i,24.88,-0.97,52.42,18.07
10372928,Mon2,20.08,25.05,17.56,18.61
10372965,Usp15,19.05,73.20,10.53,-43.40
10372988,Slc16a7,31.65,30.53,23.80,40.13
10373000,Xrcc6bp1,-0.59,-14.74,17.22,3.34
10373009,Tsfm,-30.89,7.11,-61.22,-32.35
10373016,LOC100504608,-34.27,-50.45,-4.35,-51.55
10373021,March9,-31.97,-21.95,-13.70,-59.32
10373027,Tspan31,40.63,41.77,38.22,41.97
10373036,Os9,41.28,32.62,31.29,60.36
10373052,B4galnt1,74.06,75.28,84.44,53.54
10373054,Slc26a10 or B4galnt1,-0.10,-1.01,10.29,-3.44
10373073,Arhgef25,-75.79,-81.86,-66.38,-79.84
10373093,Dtx3,-70.79,-80.43,-67.48,-63.57
10373101,Pip4k2c,-48.51,-47.90,-48.58,-49.23
10373113,Kif5a,-51.96,-93.90,-19.08,-47.27
10373143,Mbd6,60.29,42.34,73.01,62.46
10373157,Mars,-56.39,-50.91,-55.96,-61.67
10373179,Gli1,-29.98,-26.51,-19.50,-47.79
10373192,Inhbe,-30.50,-67.66,-18.25,-17.54
10373197,Inhbc,-31.43,-30.75,-12.37,-60.72
10373202,Shmt2,-81.18,-81.49,-80.28,-81.86
10373218,Nxph4,-7.86,-11.23,49.34,-53.05
10373223,Lrp1,83.68,81.38,82.77,86.03
10373313,Nab2,36.05,37.43,45.73,26.17
10373325,Gpr182,-40.78,-48.01,-26.74,-53.29
10373330,Rdh7,-23.63,-19.72,-14.78,-43.83
10373334,Hsd17b6,-31.67,-14.15,-43.27,-46.87
10373340,Rbms2,-82.92,-79.56,-88.95,-78.90
10373355,Spryd4,-66.50,-89.52,-82.74,-9.97
10373358,Il23a,-17.74,-58.16,-6.79,-8.71
10373363,---,-5.62,-1.74,-7.36,-10.21
10373365,Pan2,3.64,4.13,24.46,-9.19
10373367,Coq10a,-52.30,-79.86,-38.77,-37.48
10373372,Coq10a,81.93,88.24,90.37,52.98
10373374,Slc39a5,-17.99,-14.27,-9.88,-35.29
10373388,Obfc2b or Ankrd52,-2.22,10.71,-18.49,2.80
10373396,Myl6,63.96,85.91,-1.66,71.98
10373400,Myl6b,-43.94,-75.73,15.65,-68.45
10373407,Esyt1,63.78,58.37,63.72,69.21
10373439,Zc3h10,57.40,46.18,53.55,70.14
10373448,Rpl41 or Gm10736,18.02,-25.30,-56.37,89.88
10373452,Gm129,-39.27,-52.96,8.41,-77.01
10373454,Pa2g4,-57.53,-44.57,-46.39,-81.31
10373467,Erbb3,-70.65,-71.17,-81.04,-59.71
10373498,Rps26 or Gm6654,-1.71,-44.84,-23.09,35.23
10373502,Ikzf4,-2.60,-4.28,29.21,-17.04
10373515,Suox,-90.56,-93.94,-94.97,-79.71
10373519,Rpl12,63.96,85.91,-1.66,71.98
10373521,Rab5b,14.14,13.36,10.75,18.67
10373530,Cdk2,15.77,6.16,13.74,26.91
10373542,Dgka,-12.59,-24.36,-16.29,-1.23
10373569,Rpsa,35.13,22.40,20.26,60.20
10373571,Tmem198b,-13.67,0.93,-18.90,-28.15
10373577,Ormdl2 or Dnajc14 or Gm5553,-5.97,-36.11,-42.12,57.81
10373583,Gdf11,-76.06,-81.77,-55.00,-86.12
10373588,Rdh5,-69.47,-71.67,-81.50,-53.58
10373594,Bloc1s1,-39.98,-87.87,-87.80,79.10
10373600,Mettl7b,-15.22,-17.63,-19.72,-10.56
10373604,Olfr764 or Olfr766,-11.73,-2.91,-22.51,-15.62
10373606,Olfr765,17.00,-23.22,72.90,-7.89
10373608,Olfr766,-6.16,-6.01,-2.26,-10.77
10373610,Olfr767,-30.38,-91.40,51.45,-5.93
10373612,Olfr768,29.70,74.16,-10.80,-1.49
10373614,Olfr769,-17.02,-9.87,-32.38,-10.66
10373616,Olfr770,-27.73,-31.12,10.96,-68.90
10373618,Olfr771,-0.38,-4.93,-12.23,40.61
10373620,Olfr772,-33.08,-22.65,-23.29,-63.95
10373622,Olfr773 or Olfr772,-28.14,-20.09,-34.73,-31.50
10373624,Olfr777 or Olfr800,63.96,85.91,-1.66,71.98
10373626,Olfr796,52.07,40.43,65.78,46.08
10373628,Olfr798,-67.50,-34.59,-83.18,-82.62
10373630,Olfr801,-11.20,-31.02,-15.03,15.50
10373632,Olfr802,-13.52,-45.66,3.48,-13.52
10373634,Olfr803,-10.10,-54.14,-20.91,57.30
10373636,Olfr805,-9.73,-8.87,-26.01,-2.39
10373638,Olfr806,-4.25,11.43,-9.09,-9.52
10373640,Olfr807,52.31,60.47,39.53,54.54
10373642,Olfr810,36.22,69.62,26.41,-8.30
10373645,Olfr811,-0.55,-0.71,-10.48,25.49
10373647,Olfr812,5.60,67.18,-12.93,-20.46
10373649,Olfr814,-6.24,-0.90,-35.92,-10.22
10373651,Olfr814,33.59,48.26,53.97,-2.37
10373653,Olfr815,-12.66,-3.32,-32.16,-24.03
10373655,Olfr816,-14.40,-19.47,-2.90,-39.83
10373657,Olfr816,-0.98,17.43,-7.73,-0.62
10373660,Olfr818,-22.88,-12.48,-25.42,-34.29
10373662,Olfr247 or Olfr819,-4.71,-4.89,-18.24,6.38
10373664,Olfr247 or Olfr819,63.96,85.91,-1.66,71.98
10373666,Olfr247 or Olfr819,63.96,85.91,-1.66,71.98
10373668,Olfr823 or Olfr824,-7.36,-2.25,-19.29,-5.97
10373670,Olfr824 or Olfr823,63.96,85.91,-1.66,71.98
10373672,Olfr825,26.61,18.76,3.65,48.96
10373676,Olfr826,-7.05,3.14,-42.49,3.28
10373678,Olfr827,-10.62,-6.23,-9.50,-16.75
10373680,Neurod4,-14.56,-4.03,-16.57,-54.02
10373684,Vmn2r86 or Vmn2r85 or Vmn2r121 or Vmn2r122 or Vmn2r-ps159 or Vmn2r84 or Vmn2r87 or LOC670059 or LOC631360 or Vmn2r123,-33.81,-19.20,-68.05,-24.81
10373690,---,1.84,-16.25,28.45,17.36
10373692,Vmn2r86 or Vmn2r87,-74.97,-79.60,-54.13,-86.31
10373695,Il22 or Iltifb,63.96,85.91,-1.66,71.98
10373702,Pisd-ps1 or Pisd-ps3,33.03,55.10,28.44,10.20
10373709,Eif4enif1,45.21,67.19,27.26,40.25
10373728,Patz1,-21.92,-53.15,-14.21,7.70
10373740,Pik3ip1,-57.00,-61.37,-72.06,-39.81
10373751,8430429K09Rik,-47.93,53.44,-92.42,-67.05
10373756,Pla2g3,6.69,-7.62,66.51,-30.00
10373768,Selm,-42.59,-70.02,-47.13,-13.88
10373778,Morc2a,-0.22,14.93,7.91,-24.36
10373810,Dusp18,-8.64,-19.32,-3.74,-3.92
10373814,Pes1,0.45,-23.65,-8.34,32.38
10373826,Gal3st1,-20.19,-57.39,15.01,-20.11
10373832,---,4.64,6.81,20.78,-9.44
10373834,Sec14l4,-36.16,-66.19,-36.16,-21.30
10373846,Sec14l3,-25.60,-10.81,-17.44,-68.07
10373861,Rnf215,71.26,57.60,76.10,77.30
10373873,Sf3a1,-48.50,-45.02,-50.41,-49.81
10373890,Tbc1d10a,4.62,-6.58,13.07,8.74
10373902,Gatsl3,-28.91,-31.86,-23.76,-30.85
10373912,Osm,-3.07,40.59,-1.72,-27.82
10373918,Lif,-36.57,-50.85,-42.43,-19.86
10373924,Ascc2,-24.09,-25.49,-30.15,-16.22
10373944,Zmat5,20.28,-24.20,-9.83,76.29
10373950,Nipsnap1,-87.93,-90.67,-91.37,-81.53
10373964,Thoc5,-28.14,-67.81,-9.69,-2.18
