Probeset_ID,Gene Symbol,L+WT,Sample_,Sample_,Sample_
10398364,LOC100861572,-24.86,-31.92,-18.63,-26.35
10398366,---,-36.35,-32.72,-25.81,-54.06
10398368,---,-84.50,-87.22,-82.61,-83.45
10398370,---,-32.56,-27.11,-8.90,-68.07
10398372,---,-47.26,-76.07,-28.85,-39.83
10398374,AF357341,-2.18,-3.43,37.36,-31.35
10398376,---,-34.90,-14.32,-35.13,-63.94
10398378,---,-63.98,-65.72,-49.88,-77.24
10398380,---,-95.29,-98.46,-96.78,-86.29
10398382,Mir379,-71.81,-82.55,-72.32,-59.83
10398384,Mir411,-41.21,-38.42,-55.96,-31.69
10398386,Mir299,-11.16,-28.00,-10.34,0.71
10398388,Mir380,-83.38,-97.83,-65.68,-78.47
10398390,Mir323,-76.84,-85.66,-78.52,-64.75
10398392,Mir329,-11.57,-38.50,-0.39,-13.50
10398394,Mir494,60.33,46.04,69.06,65.24
10398396,Mir679,-27.26,-39.54,-9.17,-34.93
10398398,Mir666,-43.05,-51.37,-31.76,-44.73
10398400,Mir543,-96.08,-98.92,-99.62,-69.54
10398402,Mir495,-68.34,-51.13,-70.54,-83.18
10398404,Mir667,-1.26,-21.20,54.42,-26.90
10398406,Mir376c,-58.54,-70.14,-96.05,-20.33
10398408,Mir376b,-38.96,-41.27,-34.99,-41.27
10398410,Mir376a,-73.08,-78.92,-96.50,-40.73
10398412,Mir300,-58.19,-92.38,-26.31,-66.54
10398414,Mir381,-69.18,-51.11,-95.14,-54.14
10398416,Mir487b,-40.55,-22.43,-21.30,-82.39
10398418,Mir539,-64.20,-56.41,-68.71,-68.38
10398420,Mir382,-68.79,-57.79,-82.52,-64.90
10398422,Mir134 or Mirg,-9.67,-17.95,0.22,-15.02
10398424,Mir668,-80.93,-58.35,-93.72,-81.33
10398426,Mir485 or Mirg,-20.14,-65.91,-4.55,-8.87
10398428,Mir154,-49.36,-53.21,-56.55,-40.50
10398430,Mir496,-54.83,-45.62,-72.97,-45.69
10398432,Mir377,-79.20,-70.52,-89.52,-75.00
10398434,Mir541,-15.17,-22.21,-12.72,-12.49
10398436,Mir409,24.56,-11.12,49.72,32.47
10398438,Mir412,-20.02,-34.08,-32.62,-0.20
10398440,Mir369,-25.29,-16.04,-38.93,-24.99
10398442,Mir410 or Mirg,-42.29,-42.19,-53.70,-33.82
10398444,---,72.20,83.16,73.36,53.58
10398446,Dio3,-6.18,-15.48,47.86,-37.38
10398451,Rps25,17.10,8.42,14.05,29.82
10398453,Ppp2r5c,-50.44,-62.40,-46.38,-42.60
10398455,Ppp2r5c,69.25,68.04,72.31,66.73
10398459,Ppp2r5c,80.91,78.66,79.63,84.06
10398461,Ppp2r5c,99.21,99.42,98.44,99.37
10398483,Dync1h1,28.87,52.28,22.60,14.87
10398562,Wdr20a,-48.76,-58.46,-27.48,-58.91
10398569,Zfp839,-11.88,-22.25,6.64,-20.58
10398578,Tecpr2,50.07,60.27,48.11,37.77
10398599,Rps19,50.36,43.21,54.08,53.39
10398601,Rcor1,-56.28,-41.62,-56.61,-70.35
10398615,Gm10158,-91.27,-90.31,-87.38,-95.34
10398618,Traf3,42.88,47.46,48.42,29.27
10398635,Amn,-48.24,-43.52,-33.89,-67.82
10398649,1200009I06Rik,-48.91,-63.97,-41.04,-42.09
10398665,Tnfaip2,69.03,72.32,73.40,59.73
10398678,Eif5 or LOC100047658,6.17,2.50,1.59,15.48
10398693,Snora28,24.40,35.28,8.46,27.17
10398695,Mark3,34.58,39.71,33.47,28.84
10398717,Trmt61a,-35.60,-21.00,-38.48,-47.27
10398721,2810002N01Rik,-69.44,-66.28,-65.54,-76.72
10398727,Klc1,-18.50,-8.55,-24.10,-24.07
10398751,Zfyve21,-57.27,-67.83,-40.88,-60.73
10398759,Tdrd9,-17.82,-22.16,-12.04,-20.57
10398795,Aspg,-47.24,-58.58,-50.11,-35.48
10398812,Mir203,-35.82,-49.00,-38.44,-22.63
10398814,Kif26a,0.47,-1.34,-29.14,41.55
10398824,A530016L24Rik,-64.13,-80.54,-52.49,-58.22
10398831,Inf2,61.41,62.58,65.12,55.17
10398859,Adssl1,80.50,80.33,81.22,80.12
10398874,Siva1,92.96,91.54,94.28,93.77
10398881,Zbtb42,97.53,97.53,97.03,97.92
10398885,AW555464,-92.33,-93.28,-93.34,-90.05
10398907,Pld4,97.92,98.30,97.99,96.86
10398920,BC022687,-70.94,-76.63,-86.04,-45.56
10398929,Btbd6,-64.76,-73.64,-34.17,-78.88
10398934,Brf1,-4.00,-23.57,34.26,-12.60
10398936,Pacs2,95.78,97.01,93.87,96.80
10398966,Tex22,59.07,56.46,77.84,33.65
10398972,Mta1,4.46,4.34,-16.19,19.80
10398996,Crip2,-24.55,-31.90,-34.71,-8.67
10399005,Crip1,92.68,95.22,95.11,86.51
10399011,4930427A07Rik,-35.05,-49.08,-32.13,-23.14
10399021,Tmem121,-4.25,-12.57,31.81,-26.84
10399024,Adam6b,-63.94,-66.89,-60.76,-64.22
10399027,Adam6a,-26.90,-39.53,-29.00,-15.68
10399029,---,-30.59,-29.21,-33.98,-28.46
10399032,Gm19331,-6.89,64.94,-8.90,-68.88
10399034,---,30.65,-11.44,44.51,55.77
10399036,Uevld,-34.68,15.04,-41.12,-65.15
10399038,Zfp386,39.80,37.96,46.14,35.50
10399046,Vipr2,-46.19,-66.77,-37.99,-34.64
10399061,Esyt2,-66.40,-61.56,-71.35,-65.17
10399087,Ncapg2,-81.84,-71.15,-81.96,-90.55
10399121,Ptprn2,-27.94,-32.41,-29.92,-22.49
10399146,Mir153,-67.40,-87.52,-79.48,-34.19
10399148,Rapgef5,-55.35,-49.17,-75.40,-45.78
10399178,Cdca7l or Dnahc11,-30.48,-25.86,-27.45,-37.74
10399189,Sp8,-41.17,-0.04,-65.47,-62.62
10399198,Ncoa4,-79.93,-71.52,-74.51,-88.36
10399202,Macc1,-38.05,-46.06,-19.14,-62.52
10399208,Tmem196,-35.48,-24.83,-35.46,-50.60
10399212,Tmem196,13.49,-7.97,6.21,40.38
10399214,Rab10,40.50,35.35,44.65,42.19
10399224,1110002L01Rik or Kif3c,-75.40,-36.41,-86.86,-84.67
10399228,---,-36.08,-27.34,-56.64,-24.53
10399232,Gm10485,-6.19,-27.41,13.43,-2.93
10399234,Efr3b,-92.25,-99.45,-78.45,-85.02
10399254,Cenpo or Adcy3,-38.54,-23.98,-60.90,-32.22
10399265,Ncoa1,77.77,83.10,72.08,77.09
10399290,4930417G10Rik,-37.98,-55.22,-36.54,-22.60
10399299,A830093I24Rik,-73.93,-84.68,-64.00,-72.52
10399308,Fkbp1b,98.13,98.13,98.13,97.81
10399314,Mfsd2b,-27.98,-27.93,-21.48,-36.10
10399330,Ubxn2a,-69.54,-63.99,-67.56,-76.50
10399337,Klhl29,-70.33,-65.27,-49.55,-90.18
10399352,---,56.96,62.16,73.27,24.32
10399354,---,-43.01,-77.74,-35.19,-21.80
10399357,Gdf7,-53.41,-53.66,-8.15,-86.42
10399360,Rhob,86.33,85.90,92.30,80.68
10399365,Slc7a15,-32.92,-33.80,-27.19,-38.69
10399376,9930038B18Rik,37.28,21.21,14.69,65.36
10399379,Pgk1,-55.65,-57.31,-54.17,-55.61
10399383,Kcns3,-38.38,-52.85,4.42,-62.73
10399387,Msgn1,58.60,10.82,89.56,40.06
10399389,---,-22.12,43.58,-14.56,-80.55
10399391,Gen1,-47.50,-61.79,-46.12,-36.93
10399407,Vsnl1,-42.30,-59.33,-24.31,-50.61
10399415,---,-24.36,-27.81,53.50,-85.78
10399419,Tubb2b or Tubb2a-ps2,-34.08,-35.55,-46.06,-21.68
10399421,Mycn,-90.48,-97.80,-79.20,-88.08
10399426,---,-67.67,-79.86,-51.77,-68.92
10399428,Snord118,-34.90,-14.32,-35.13,-63.94
10399430,Ddx1,-76.03,-77.64,-78.54,-71.31
10399457,Gm6644 or Akr1b3,-34.90,-14.32,-35.13,-63.94
10399459,---,-16.25,-17.29,-63.79,15.43
10399461,---,30.01,22.05,31.99,36.02
10399463,---,90.38,87.71,76.99,97.23
10399465,Fam84a,-93.88,-98.80,-79.68,-94.57
10399470,Trib2,-69.58,-82.95,-63.86,-59.78
10399478,Lpin1,-15.77,-15.73,-16.74,-14.99
10399505,Greb1,-33.45,-69.53,-16.89,-25.01
10399540,Pqlc3,96.89,97.05,97.13,96.39
10399549,2410004P03Rik,19.99,0.62,47.18,-1.01
10399555,Kcnf1,-71.54,-94.43,-50.82,-57.89
10399559,Atp6v1c2,-24.47,-31.99,-33.60,-13.67
10399575,---,-24.76,-0.72,-46.06,-25.11
10399579,---,-52.89,-22.68,-69.23,-62.93
10399581,---,-66.98,-30.32,-93.35,-73.54
10399584,G730007D18Rik,-28.34,-26.59,-40.84,-18.54
10399586,Zfp125,-13.85,-40.61,9.41,-9.69
10399588,Zfp125,5.65,27.01,-1.15,-8.01
10399591,---,-81.12,-53.03,-96.88,-76.22
10399593,Itgb1bp1,-8.00,-16.29,1.26,-8.29
10399605,Adam17,87.03,89.94,83.29,87.01
10399629,Ywhaq,41.30,28.92,29.98,62.92
10399632,F630048H11Rik,24.14,61.29,-33.35,35.46
10399634,Gm19924,-34.90,-14.32,-35.13,-63.94
10399636,Mrto4 or Gm9178 or Gm5633,-18.03,-13.27,-29.21,-10.68
10399640,---,-30.48,-7.38,-26.33,-58.37
10399642,---,-34.90,-14.32,-35.13,-63.94
10399648,Gm5433,-34.90,-14.32,-35.13,-63.94
10399655,---,-34.90,-14.32,-35.13,-63.94
10399657,---,-34.90,-14.32,-35.13,-63.94
10399659,---,-34.90,-14.32,-35.13,-63.94
10399661,---,-81.60,-89.71,-94.52,-54.01
10399663,Gm9265 or Gm6943,-30.12,-6.38,-27.60,-66.14
10399666,9030624G23Rik,-34.90,-14.32,-35.13,-63.94
10399671,Hpcal1 or 2410018L13Rik,-34.90,-14.32,-35.13,-63.94
10399675,---,99.01,99.24,99.41,98.55
10399677,Cox7a2l,98.35,98.20,98.25,98.60
10399680,Cys1,-27.39,-12.87,-9.69,-67.90
10399687,---,26.55,31.01,54.05,-6.89
10399689,---,-77.32,-97.21,-46.28,-71.43
10399691,Id2,27.97,20.22,30.75,32.93
10399696,Rnf144a,40.14,65.72,32.22,21.10
10399710,Rsad2,74.70,78.52,74.09,71.22
10399720,---,-28.26,-14.20,-29.11,-49.53
10399722,Gm9866,-41.97,-35.06,-27.43,-68.90
10399725,Sox11,-63.52,-85.87,-59.13,-44.39
10399732,Dcdc2c,-40.40,-31.66,-29.19,-62.59
10399739,Allc,-39.99,-42.93,-52.09,-27.63
10399751,Colec11,-23.12,-37.90,-20.64,-15.34
10399760,Rps7,93.96,96.25,93.56,91.82
10399768,Ttc15,-18.83,-11.35,0.36,-39.27
10399782,Tpo,46.77,29.51,69.11,35.76
10399801,Sntg2,-74.68,-91.54,-52.45,-73.87
10399820,Acp1 or LOC631286,53.43,43.21,53.46,64.08
10399823,---,-35.44,-70.99,27.51,-53.39
10399825,Dld,-91.78,-93.44,-88.52,-93.04
10399841,Cbll1,20.34,19.84,13.93,28.07
10399852,---,22.55,-0.05,32.75,29.54
10399854,Slc26a4,-46.16,-19.69,-48.41,-78.75
10399874,Bcap29,-57.03,-56.40,-63.16,-50.65
10399882,Dus4l,-90.93,-95.50,-96.57,-69.45
10399892,Gpr22,-41.24,-59.10,-26.20,-47.21
10399897,Hbp1,-21.14,-23.70,-27.10,-12.07
10399908,Prkar2b,-21.89,-13.84,-28.65,-23.38
10399924,Pik3cg,44.19,35.28,56.22,41.56
10399941,---,47.88,45.71,87.84,-34.72
10399943,Cdhr3,-20.48,-27.31,-26.25,-11.52
10399965,F730043M19Rik,-19.16,-46.65,-0.05,-15.16
10399973,Hdac9 or LOC100861990,-22.53,-3.78,-23.42,-43.66
10400002,---,-5.11,-14.32,-2.47,-0.33
10400004,Mir680-3,-15.42,-22.77,-3.86,-19.23
10400006,Ahr,80.68,79.72,78.63,83.35
10400023,Tspan13,75.51,73.17,74.39,78.63
10400030,Bzw2,-55.63,-52.53,-63.67,-50.18
10400045,1700108M19Rik,-25.77,-45.87,-50.80,-5.68
10400052,Ispd,9.23,-43.51,27.05,48.34
10400054,---,-41.35,-75.61,-8.48,-42.89
10400057,Arl4a,-70.68,-79.21,-73.60,-57.05
10400072,Scin,-46.87,-69.41,-35.79,-38.75
10400089,Gm889,-34.17,-59.55,-32.68,-19.74
10400095,Ifrd1,42.68,53.11,19.09,55.38
10400109,Zfp277,84.05,93.00,73.46,80.93
10400124,---,-39.23,-36.97,-54.87,-25.65
10400126,Lrrn3,-74.09,-83.28,-80.66,-53.52
10400131,Gm10165,-10.14,-31.55,41.14,-26.57
10400135,---,89.79,59.81,96.78,92.67
10400137,Dnajb9,88.52,85.36,79.42,94.88
10400141,Zbed4 or 4930529C04Rik,-44.08,-15.45,-27.43,-74.38
10400143,Stxbp6,84.47,87.45,85.14,79.23
10400153,Hmgb1,-34.90,-14.32,-35.13,-63.94
10400155,Nova1,-61.43,-60.29,-52.51,-73.38
10400157,Nova1,-63.55,-59.98,-62.02,-68.43
10400163,---,-73.74,-82.45,-92.93,-41.70
10400165,Tfb2m,-34.90,-14.32,-35.13,-63.94
10400170,Prkd1,-53.64,-57.16,-52.12,-50.93
10400189,---,-50.22,-46.19,-67.01,-35.74
10400191,Strn3,-75.46,-67.80,-86.63,-69.52
10400210,Hectd1,-53.13,-49.80,-59.38,-48.56
10400254,Heatr5a,46.33,60.69,36.25,39.53
10400293,6530401N04Rik,-17.46,-32.51,-17.27,-2.82
10400299,Gpr33,-15.01,-41.34,-8.09,-9.69
10400302,---,-15.43,-15.09,-1.51,-40.78
10400304,Egln3,-76.00,-95.66,-81.01,-47.58
10400315,---,29.93,65.35,-2.28,10.02
10400319,Gm10465,-39.26,-37.37,-19.87,-63.35
10400321,1110002B05Rik,42.13,40.09,38.26,46.89
10400324,---,-10.77,21.50,-26.79,-22.08
10400326,Eapp,98.68,99.35,98.52,97.23
10400334,Rpl31 or Rpl31-ps12,-34.90,-14.32,-35.13,-63.94
10400336,Snx6,15.92,21.92,16.50,10.57
10400350,Cfl2,-91.43,-92.61,-88.47,-92.53
10400357,Baz1a,80.84,79.83,77.73,83.78
10400383,2700097O09Rik,-74.75,-59.20,-77.92,-84.85
10400391,2700097O09Rik or Polr2h or Gm7511,34.55,41.32,29.19,34.06
10400393,Fam177a or 1700047I17Rik2,-51.51,-48.66,-45.84,-59.39
10400395,Ppp2r3c or 1110008L16Rik,-26.11,-24.08,-44.55,-6.47
10400405,Nfkbia,80.23,78.36,80.12,82.28
10400413,Ralgapa1,-31.14,-7.36,-33.09,-45.91
10400458,---,-55.23,-56.90,-34.24,-77.51
10400460,Mbip,72.96,65.16,70.01,82.63
10400470,Cox6c or Gm6265,5.03,2.63,10.13,3.36
10400474,Nkx2-1,-18.35,-34.70,-17.37,-9.65
10400479,Nkx2-9,65.83,79.80,59.97,52.80
10400483,Slc25a21,-70.27,-65.55,-49.97,-91.78
10400498,Gm2568,-45.92,-81.32,20.54,-77.20
10400504,Foxa1,-76.88,-76.76,-73.86,-80.37
10400508,---,-45.29,-62.95,-41.47,-32.22
10400510,Clec14a,-20.71,-35.09,-39.60,-3.03
10400515,Sec23a,-59.95,-39.98,-73.73,-62.24
10400538,Trappc6b,-95.45,-92.19,-95.10,-97.47
10400544,Rpl21,-34.90,-14.32,-35.13,-63.94
10400546,Fbxo33,5.86,16.89,-37.09,35.19
10400553,Gm4971,-2.39,-39.15,61.11,-20.89
10400555,---,6.75,-23.04,37.54,7.99
10400557,---,-4.97,-23.43,-50.23,67.39
10400559,---,65.23,52.94,66.26,74.62
10400562,---,-19.39,-53.69,-21.16,21.90
10400564,Fscb,-10.99,-21.67,-5.30,-10.94
10400570,---,65.07,52.91,78.38,59.69
10400572,Klhl28,-5.85,19.65,37.65,-65.97
10400581,Fkbp3 or Prpf39,-28.99,-36.43,-30.04,-22.09
10400589,Mis18bp1,-28.46,-40.25,-29.93,-18.79
10400605,Rpl10l,-35.38,-43.36,-46.48,-18.89
10400607,Mdga2,-58.17,-63.32,-44.96,-67.36
10400609,Mdga2,-51.42,-72.01,-28.16,-58.33
10400628,---,9.03,-19.63,26.91,28.25
10400630,---,34.16,33.10,34.94,34.65
10400633,---,-40.13,-30.20,-75.76,-23.96
10400635,Rps29,75.67,72.10,76.75,77.48
10400639,Rpl36al or Rpl36a or 1110034A24Rik,67.28,66.03,71.06,63.45
10400642,1110034A24Rik or 9330151L19Rik,-21.02,-33.56,-21.88,-5.74
10400649,Pole2,-46.18,-42.08,-50.86,-46.02
10400668,Nemf,36.17,33.56,43.66,30.71
10400704,Rn7s1 or Rn7s2,-34.90,-14.32,-35.13,-63.94
10400706,Arf6,-51.74,-60.16,-29.55,-61.77
10400708,---,-96.20,-97.51,-91.43,-97.76
10400710,Mettl21d,-67.24,-47.51,-83.88,-64.85
10400718,Sos2,81.96,85.09,79.98,80.70
10400740,---,0.00,8.38,20.65,-16.86
10400742,L2hgdh,-62.09,-37.35,-73.98,-71.08
10400748,Cdkl1,-47.83,-60.07,-37.69,-47.90
10400760,Mir681,72.28,52.07,79.91,77.16
10400762,Map4k5,-1.82,-2.37,2.42,-9.53
10400795,Sav1,-30.96,-22.42,-55.00,-14.41
10400803,---,-26.54,-44.57,-18.80,-14.25
10400805,Nin,86.27,91.08,83.96,80.48
10400844,Pygl,59.89,62.64,59.94,57.08
10400866,Trim9,-46.07,-56.78,-32.52,-50.67
10400883,Timm9,-89.20,-92.12,-81.90,-92.01
10400892,---,-15.91,-31.77,-19.32,3.01
10400894,Gpr135,-11.69,-68.88,27.18,14.47
10400896,2810055F11Rik,-40.21,-41.34,-38.61,-40.94
10400904,4930403N07Rik,-28.40,-39.63,-42.47,-14.22
10400926,Rtn1,-10.25,-10.09,-8.29,-12.71
10400941,Dhrs7,84.28,82.53,88.13,80.32
10400948,4930447C04Rik,-50.96,-70.66,-46.67,-40.64
10400967,Six1,-19.80,-20.05,-27.71,-14.52
10400971,Six4,-54.36,-74.97,-41.42,-48.11
10400975,Trmt5,-60.96,-71.00,-42.90,-68.21
10400981,D830013O20Rik,-7.31,-21.77,-12.02,18.53
10400984,Tmem30b,-52.03,-74.05,-37.99,-47.01
10400989,Kcnh5,-54.06,-58.34,-56.41,-46.84
10401002,Gphb5,5.20,-34.98,21.79,43.65
10401007,Ppp2r5e,-78.16,-74.52,-80.23,-79.19
10401023,Wdr89 or Rplp2-ps1 or Rplp2,-11.24,-18.35,-23.11,7.94
10401028,Sgpp1,22.68,32.71,20.23,15.59
10401035,Esr2,-32.53,-36.94,-19.38,-41.01
10401050,---,-93.94,-95.29,-94.18,-92.13
10401052,Tex21,-26.97,-41.19,-18.81,-25.45
10401063,Zbtb25,-26.36,-42.43,-23.99,-8.45
10401068,Spnb1,-65.22,-76.83,-70.42,-48.41
10401109,Gpx2,-90.81,-92.11,-97.29,-72.45
10401114,Rab15,-72.32,-54.45,-47.39,-98.65
10401128,Max,60.91,69.04,46.59,60.91
10401136,---,-14.91,-37.13,2.89,-8.87
10401138,Atp6v1d,-85.19,-77.57,-89.18,-86.53
10401149,Plek2,-62.81,-67.12,-69.77,-52.95
10401160,Tmem229b,76.16,80.72,76.39,69.38
10401166,Pigh or Plekhh1,32.33,4.54,46.81,40.77
10401172,Vti1b or Arg2,-4.32,-15.08,-1.82,5.19
10401181,Rdh11,-60.02,-52.22,-70.75,-54.90
10401192,Zfyve26,40.01,53.50,48.74,16.20
10401235,---,21.22,38.36,34.49,-8.19
10401238,Zfp36l1,27.71,22.85,14.71,46.33
10401244,Actn1,-88.08,-84.80,-95.10,-85.47
10401267,Dcaf5,87.39,87.66,85.90,88.34
10401278,Erh,27.70,29.45,32.16,21.70
10401283,0610009B14Rik,76.87,82.77,65.06,79.09
10401286,Gm1568,1.44,12.64,53.96,-51.26
10401289,Slc10a1,-35.07,-37.43,-25.95,-46.31
10401296,Slc8a3,-38.22,-32.83,-46.85,-36.03
10401309,Cox16,50.76,57.15,36.42,57.36
10401317,Gm4787,-67.13,-40.33,-55.73,-94.47
10401320,Adam4,-84.67,-80.22,-90.32,-82.08
10401322,Synj2bp or Gm20354,-88.67,-86.59,-86.43,-92.55
10401330,Adam21,-7.90,-39.98,46.12,-12.30
10401335,Med6,16.04,17.49,14.11,17.25
10401343,Map3k9,39.92,52.98,48.12,15.18
10401359,Dpf3,-37.91,-44.67,-35.44,-34.34
10401365,Zfyve1,21.98,45.60,-5.28,24.03
10401382,Numb,14.90,40.62,18.46,-14.95
10401398,2410016O06Rik,23.07,7.10,55.15,-3.46
10401416,2410016O06Rik,-0.24,-14.33,9.15,11.40
10401418,Acot4,-8.32,-38.19,20.88,-3.71
10401420,---,-10.97,-13.17,-11.46,-7.39
10401422,Pnma1,-2.93,-8.51,-31.04,51.64
10401428,C130039O16Rik,69.82,81.71,60.14,64.67
10401441,C130039O16Rik or LOC100047429 or Atp5o,-57.72,-58.74,-74.73,-36.30
10401443,Coq6 or Fam161b,-81.44,-72.58,-72.24,-93.86
10401454,Entpd5,-96.07,-96.82,-98.19,-89.87
10401473,Aldh6a1 or 2900006K08Rik,-95.01,-95.57,-96.26,-92.44
10401488,Abcd4,-53.04,-5.00,-46.86,-91.22
10401511,Tmem90a,36.49,42.16,32.69,34.42
10401519,Npc2,70.41,70.95,73.67,66.14
10401527,Ltbp2,-25.11,-41.83,-15.46,-22.80
10401564,1110018G07Rik,69.61,57.23,80.82,66.08
10401586,Prox2,-13.33,-12.82,-1.99,-25.86
10401595,Rps6kl1,-14.64,-7.71,1.60,-46.36
10401607,Pgf,-49.84,-60.12,-38.82,-53.20
10401616,Mlh3,-55.89,-69.85,-25.42,-64.14
10401630,Acyp1,-1.79,-2.95,5.43,-4.34
10401637,Nek9,-16.25,-11.10,-9.21,-28.61
10401661,Tmed10,97.71,99.58,95.60,96.06
10401665,---,-36.24,-54.55,-28.89,-26.57
10401667,0610007P14Rik,4.27,2.15,16.35,-9.00
10401673,Tgfb3,-60.56,-64.53,-77.08,-41.68
10401684,Angel1,-74.38,-86.44,-62.09,-70.81
10401695,Rpl21,-34.90,-14.32,-35.13,-63.94
10401698,6430527G18Rik,-9.01,1.48,-11.49,-15.42
10401702,Zdhhc22,-40.11,-54.33,-26.12,-43.92
10401705,Zdhhc22,-21.82,-19.33,-18.16,-29.04
10401708,Ngb,-40.81,-42.32,-42.32,-38.00
10401713,Pomt2 or Gstz1,-55.76,-56.60,-62.76,-46.97
10401737,Tmed8,-36.99,-34.72,-25.41,-49.37
10401743,4933437F05Rik,-85.90,-97.73,-85.76,-63.26
10401753,Vipar,-86.93,-80.78,-96.05,-75.56
10401774,Ism2,29.42,41.08,40.47,4.99
10401781,Sptlc2,51.09,49.04,56.94,46.82
10401795,Alkbh1 or Nrp,-62.13,-74.58,-40.24,-69.78
10401803,Mir3068,-73.92,-95.00,-73.85,-41.14
10401805,Snw1,32.01,36.01,34.10,25.56
10401820,Gm16381,66.05,40.53,70.63,76.42
10401822,BB287469 or Gm4027 or Gm5662,-34.90,-14.32,-35.13,-63.94
10401824,Oog1 or Gm10436 or Gm13023 or C87977 or Gm2042,-34.90,-14.32,-35.13,-63.94
10401829,Gm8300 or Gm5662 or Gm2022 or Gm2016,-34.90,-14.32,-35.13,-63.94
10401831,Gm5662 or Gm2016,-22.29,-38.48,-37.85,-7.09
10401834,Gm5039,-53.14,-54.54,-66.09,-38.80
10401837,Gm5039,27.22,30.69,60.71,-15.46
10401841,Dio2,-68.88,-79.04,-64.24,-61.42
10401852,4930534B04Rik,-6.18,3.11,-5.83,-15.38
10401882,Gtf2a1,-33.22,-6.26,-28.78,-65.24
10401891,Ston2,-2.25,10.99,-13.09,-3.07
10401900,Sel1l,-86.38,-82.34,-89.18,-86.50
10401924,Rpl31,-34.90,-14.32,-35.13,-63.94
10401926,---,54.95,10.74,63.98,72.72
10401931,---,-60.02,-54.79,-68.02,-58.02
10401933,---,-32.49,-40.78,-30.60,-27.63
10401935,BC005685,-36.68,-28.25,-40.40,-45.50
10401937,BC005685,-34.90,-14.32,-35.13,-63.94
10401939,Lysmd1,-70.43,-39.79,-91.14,-64.34
10401944,---,35.68,-15.45,42.27,68.33
10401948,---,-85.34,-70.59,-98.67,-73.64
10401950,1700019M22Rik,-26.15,-64.18,-11.51,-18.29
10401956,---,-39.27,-33.50,-37.36,-49.04
10401958,Naca,-34.90,-14.32,-35.13,-63.94
10401961,---,40.93,42.57,41.08,39.20
10401965,---,56.29,14.36,74.28,67.02
10401968,Galc,16.03,15.21,22.69,10.66
10401987,Kcnk10,-53.73,-52.01,-59.90,-49.21
10401997,Ptpn21,-70.37,-74.71,-45.77,-85.14
10402020,Eml5,-80.55,-80.71,-84.45,-75.51
10402061,Eml5,-46.24,-60.39,-62.37,-23.93
10402063,Foxn3,78.71,81.48,71.55,82.69
10402066,Foxn3,97.79,96.91,96.91,98.68
10402073,2610021K21Rik,-39.55,-37.08,-48.87,-32.86
10402080,BC002230,-33.38,-42.27,-11.93,-44.53
10402096,Ttc7b,-38.24,-37.31,-48.90,-25.51
10402117,Rps6ka5,41.34,35.30,30.99,56.15
10402136,Gpr68,-43.77,-34.15,-46.30,-52.34
10402140,Gpr68,-9.15,-16.59,-21.56,16.49
10402142,Ccdc88c,76.29,79.03,75.58,74.78
10402179,Smek1,33.82,39.55,28.81,33.21
10402195,Tc2n,-26.53,-13.41,-55.85,-27.48
10402211,Fbln5,-75.17,-90.58,-87.13,-49.81
10402225,Trip11,-44.14,-7.60,-52.82,-61.98
10402249,Atxn3,-50.57,-31.54,-40.45,-68.53
10402262,Gm2695,55.52,62.03,34.13,67.93
10402266,---,-44.82,-64.28,-33.97,-34.53
10402268,Lgmn,84.58,84.72,81.75,86.41
10402283,Itpk1,18.66,20.67,23.14,11.52
10402294,Moap1 or AK010878 or Gm20604,-19.00,-18.29,-32.13,-7.27
10402302,Btbd7,-42.61,6.14,-68.50,-52.50
10402314,Rps2,-34.90,-14.32,-35.13,-63.94
10402316,Rpl29,-34.90,-14.32,-35.13,-63.94
10402318,Prima1,14.66,-25.05,27.23,48.34
10402325,Asb2,-48.63,-63.20,-44.74,-40.24
10402334,---,93.84,91.55,93.37,96.23
10402336,Ddx24,87.26,93.79,80.95,85.30
10402347,Ifi27l2a or Ifi27l2b,99.90,99.84,99.95,99.74
10402353,Ifi27l2b,-66.04,-72.24,-58.34,-67.45
10402360,Serpina10,-13.29,-14.55,-15.03,-11.01
10402368,Serpina6,-11.48,-16.10,-6.60,-15.43
10402378,Gm46,-30.23,-53.23,-21.03,-17.65
10402383,Serpina1f,-54.52,-79.45,-33.98,-50.97
10402390,Serpina1b,-42.02,-69.82,-54.16,-19.40
10402394,Serpina1d,-47.19,-29.08,-65.88,-51.60
10402399,Serpina1a or Serpina1c,-35.49,-46.78,-39.54,-25.25
10402406,Serpina1c,-50.50,-47.78,-84.55,-26.06
10402409,Serpina1e or Serpina1a or Serpina1c,-34.90,-14.32,-35.13,-63.94
10402415,Serpina11,-13.21,-31.22,-6.55,-9.79
10402422,Serpina9,-25.04,-20.29,-23.99,-31.31
10402428,Serpina12,-22.27,-41.00,-19.30,-12.78
10402435,Serpina3c,-75.48,-76.61,-92.38,-52.74
10402440,Gsc,16.04,9.98,30.01,8.27
10402444,Dicer1,44.65,62.46,37.59,30.84
10402473,Clmn,-51.44,-48.53,-55.92,-49.49
10402490,4831426I19Rik,47.24,62.21,34.65,44.96
10402512,Scarna13 or Mir3069,-5.45,-10.80,-3.55,-2.69
10402514,Tcl1,-46.79,-43.23,-36.93,-60.66
10402519,Atg2b,-34.25,-13.76,-37.10,-46.69
10402542,Atg2b,6.00,25.48,3.82,-13.75
