Probeset_ID,Gene Symbol,Mo Bl Ly6C- II+,Sample_,Sample_
10356514,Iqca,-1.89,-2.56,-1.18
10356520,Col6a3,-52.26,-41.15,-65.43
10356568,Rab17,-5.10,-2.69,-7.81
10356577,Ilkap or Fam132b,-37.61,-20.11,-54.04
10356593,Hes6,20.97,-2.83,41.15
10356601,Per2 or 9830107B12Rik,-43.82,-26.00,-61.90
10356626,---,-42.17,-59.37,-24.51
10356628,Hdac4,-11.41,34.36,-55.34
10356657,Ndufa10,-89.70,-96.11,-71.43
10356671,Olfr1416,-49.11,10.73,-92.79
10356673,Olfr1415 or Olfr1416 or Olfr1414 or Olfr513,1.82,54.01,-35.80
10356675,Olfr1414,80.84,96.97,-22.36
10356677,Myeov2,-44.72,-93.77,-1.53
10356681,Otos,69.50,20.06,88.95
10356689,Ankmy1,83.35,88.93,74.25
10356710,Capn10 or 9430060I03Rik,78.03,87.75,63.95
10356712,Kif1a,-34.35,-27.80,-42.89
10356762,---,95.32,96.16,94.37
10356764,2310007B03Rik,-9.40,-5.21,-16.69
10356771,Mterfd2 or Sned1,-87.04,-98.32,-46.97
10356778,Rpl17,97.67,90.57,99.45
10356780,Pask,-38.35,-11.14,-80.04
10356800,Hdlbp,-34.51,-39.35,-30.50
10356833,Stk25 or Farp2,-87.89,-73.67,-93.72
10356848,Thap4,-58.60,-61.74,-55.23
10356859,Dtymk,-94.23,-96.18,-91.73
10356866,Pdcd1,-25.94,-11.62,-51.35
10356873,---,94.51,93.72,95.23
10356876,---,-10.82,-33.50,3.65
10356878,---,-0.04,46.43,-23.07
10356880,St8sia4,38.94,30.75,47.20
10356886,Slco4c1,-24.97,-28.70,-21.75
10356900,Slco6b1,-7.75,-3.35,-26.15
10356916,---,84.36,88.66,76.70
10356918,Slco6c1,-2.35,-2.71,-1.98
10356932,D1Ertd622e,44.50,21.66,61.98
10356936,Ppip5k2,-67.82,-39.87,-78.07
10356968,Pam,-78.75,-86.71,-70.17
10356995,---,-79.09,-82.12,-76.28
10356997,---,-67.01,-78.79,-55.27
10356999,Prdx2,-22.80,-52.72,7.10
10357001,---,68.81,55.97,76.80
10357003,Rnf152,-45.42,-30.14,-65.96
10357008,Pign,-90.37,-87.17,-92.67
10357043,Bcl2,-59.73,-49.13,-68.70
10357051,Kdsr,-69.31,-80.60,-55.98
10357064,Vps4b,6.79,19.52,-7.78
10357072,Serpinb3a,-3.87,-4.18,-3.65
10357077,Serpinb3d,-0.58,-11.14,38.74
10357084,Serpinb3b,-1.47,-0.28,-5.25
10357090,Serpinb3c,-5.04,-3.59,-8.21
10357097,---,-20.13,-6.69,-34.23
10357103,Cdh19,-17.61,-11.18,-30.79
10357115,Dsel,-29.87,-1.47,-59.49
10357120,---,92.09,94.23,89.50
10357122,---,-7.53,-32.35,23.06
10357124,Tsn,-81.06,-92.27,-53.13
10357133,Mki67ip,-12.87,-20.93,-6.06
10357135,2900060B14Rik,-2.01,41.30,-44.10
10357137,Gli2,-45.18,-18.21,-75.83
10357155,Inhbb,-34.29,-11.72,-71.89
10357158,Ralb,71.23,51.11,85.23
10357164,Epb4.1l5,-74.38,-89.45,-59.70
10357191,Ptpn4,-86.40,-85.21,-87.53
10357220,Tmem177,-98.54,-98.06,-98.81
10357222,Gm101,89.72,59.90,95.77
10357239,Tmem37,-25.22,-49.04,-8.28
10357242,Dbi,-12.53,-50.26,27.53
10357249,Steap3 or Steap1,-29.00,-51.41,-10.25
10357261,Marco,-16.09,-10.68,-25.19
10357280,Insig2,-95.68,-97.44,-93.26
10357288,Htr5b,69.33,74.81,61.70
10357292,Ddx18,15.74,22.72,7.88
10357298,---,95.32,96.16,94.37
10357300,Dpp10,-24.94,-21.10,-30.32
10357328,---,-36.41,-13.27,-75.64
10357332,Actr3,77.14,83.21,69.40
10357339,Lypd1 or Gpr39,-4.96,-3.71,-6.64
10357345,Nckap5,-87.09,-77.16,-94.12
10357363,Nckap5,-69.36,-90.73,-47.15
10357369,Rpl27a or LOC100505355 or Gm13981,87.82,61.36,98.45
10357371,Tmem163,-12.26,-1.36,-40.00
10357381,Ysk4,-16.32,-32.47,-6.53
10357391,Zranb3,-84.35,-82.67,-85.42
10357418,Lct,-32.10,-21.57,-44.80
10357436,Mcm6,-24.95,-26.87,-22.84
10357454,Dars,-90.76,-89.97,-91.52
10357472,Cxcr4,65.71,48.29,80.68
10357476,---,50.92,79.49,-5.93
10357478,Rpl31 or Rpl31-ps12,95.32,96.16,94.37
10357480,Daf2 or Cd55,-11.42,-15.85,-7.95
10357488,Cd55,-61.61,-67.06,-56.85
10357500,Zp3r,-32.11,-31.43,-32.97
10357514,---,81.74,85.62,76.09
10357516,C4bp,-6.77,-6.61,-7.13
10357529,C4bp-ps1,10.18,4.87,15.71
10357535,Pfkfb2,-83.23,-64.51,-92.95
10357553,Il24,-24.95,-14.52,-38.89
10357562,Il20,80.24,81.80,78.80
10357570,Il19,49.70,20.93,67.60
10357579,Mapkapk2,89.17,84.94,92.19
10357590,Dyrk3,16.07,-2.72,36.04
10357594,Rassf5,48.83,46.64,52.46
10357604,Ikbke,-47.87,-47.87,-47.89
10357630,Srgap2,13.58,49.46,-26.76
10357656,---,34.13,18.20,47.20
10357658,---,74.22,79.37,67.34
10357660,Mfsd4,-43.04,-50.28,-36.16
10357676,Cdk18,-33.22,-27.29,-39.10
10357696,---,76.61,95.50,-15.75
10357698,Tmcc2,-4.65,-6.11,-3.23
10357705,Cntn2,-11.11,-13.60,-8.70
10357736,Nfasc,-7.35,-2.96,-18.26
10357773,Mdm4,-45.16,-8.94,-74.07
10357788,Ppp1r15b,98.64,96.96,99.74
10357790,Sox13,32.58,79.42,-35.44
10357808,Snrpe,-43.29,-84.98,2.27
10357814,Zc3h11a or Zbed6,-87.80,-85.66,-89.73
10357833,Atp2b4,-66.63,-63.28,-70.12
10357856,---,46.87,19.98,63.96
10357858,Optc,-68.57,-90.44,-37.50
10357870,Prelp,-39.41,-26.76,-58.34
10357875,Btg2,61.19,60.89,61.85
10357878,Adora1,-14.18,-13.88,-14.59
10357886,---,-0.84,-3.17,7.98
10357888,Ppfia4,20.33,57.77,-13.53
10357917,Tmem183a,-82.95,-89.75,-72.12
10357927,4931440L10Rik,70.96,83.28,50.52
10357932,Ppp1r12b,-39.92,-11.43,-74.34
10357944,Ppp1r12b,-45.05,-33.93,-57.27
10357946,Ppp1r12b,-62.32,-36.58,-82.75
10357948,Ppp1r12b,-62.59,-69.88,-54.82
10357950,Ppp1r12b,-58.83,-64.13,-53.86
10357952,Ppp1r12b,-38.14,-54.41,-23.67
10357954,Ppp1r12b,-40.66,-21.67,-60.97
10357965,Lgr6,-31.65,-8.11,-76.04
10357986,Ptprv,-12.81,32.46,-55.81
10358023,Gpr37l1,-27.72,-48.06,-14.56
10358027,Elf3,-30.88,-21.86,-44.15
10358038,Rnpep,78.43,80.46,76.82
10358050,Timm17a,-82.20,-91.10,-68.59
10358057,Shisa4,-70.72,-62.86,-79.08
10358064,Ipo9,-72.12,-66.42,-76.85
10358091,Nav1,68.08,68.18,67.96
10358124,Pkp1,-38.13,-41.85,-34.78
10358140,Igfn1,66.29,85.27,18.07
10358155,---,55.40,65.15,39.26
10358177,5730559C18Rik,-16.71,-6.26,-32.17
10358188,Gpr25,85.30,78.93,91.04
10358191,Camsap2,-71.56,-64.24,-76.68
10358210,Nr5a2,-4.55,-4.42,-4.72
10358222,---,-14.93,-35.92,2.73
10358224,Ptprc,46.53,54.06,40.71
10358259,Nek7,6.09,11.90,0.20
10358272,Lhx9,-39.13,-25.62,-57.50
10358281,---,66.39,81.40,36.78
10358283,Crb1,-38.68,-15.51,-68.00
10358299,Gm4788,-8.38,-4.92,-13.35
10358315,Cfhr1,-4.68,-3.32,-6.89
10358324,---,-3.42,-2.55,-4.37
10358330,Cfhr2,-4.22,-4.38,-4.09
10358339,Cfh,1.10,11.36,-5.46
10358357,Gm4845,-85.09,-98.41,-39.28
10358359,Cdc73,-94.62,-94.59,-94.65
10358379,Trove2,-96.30,-98.38,-93.76
10358389,Rgs2 or LOC100861894,78.35,80.45,77.01
10358399,Rgs13,-3.21,4.22,-14.02
10358408,Rgs1,-11.86,-3.39,-24.09
10358415,Rgs21,67.40,80.88,30.31
10358419,---,69.44,81.67,47.04
10358421,Rgs18,35.60,36.42,35.23
10358428,---,-0.10,-1.93,13.74
10358430,---,36.40,61.45,-1.76
10358432,Zfp825,-96.17,-94.51,-97.57
10358434,Pla2g4a,20.81,29.91,10.26
10358454,Rbm3 or Gm15453,-38.02,-65.63,-0.93
10358457,Bex4,-47.33,-27.46,-83.36
10358459,BC003331 or Tpr,-97.45,-98.26,-95.82
10358476,Prg4,-69.47,-38.82,-95.72
10358490,Hmcn1,-53.01,-50.38,-55.56
10358513,Hmcn1,-18.51,-20.58,-16.41
10358515,---,-33.55,-14.66,-64.81
10358517,Hmcn1,-22.65,-13.38,-34.07
10358519,Hmcn1,-5.87,-4.57,-7.62
10358521,Hmcn1,-38.79,-26.19,-53.49
10358523,---,-50.20,-49.95,-50.36
10358525,---,-35.22,-43.34,-27.96
10358527,---,-21.54,-26.95,-16.78
10358529,---,-40.48,-59.43,-26.02
10358531,---,-63.35,-68.78,-57.91
10358533,---,-35.23,-42.46,-28.82
10358535,---,-38.79,-61.11,-24.09
10358537,---,-4.15,38.31,-38.20
10358539,---,-30.39,-51.45,-15.95
10358541,---,-38.09,-31.24,-46.13
10358543,---,-20.73,-30.41,-13.33
10358545,Hmcn1,-9.18,-1.87,-23.08
10358547,Hmcn1,-68.08,-63.72,-72.02
10358549,---,-77.99,-38.09,-99.29
10358551,Hmcn1,-10.81,-24.53,-3.85
10358553,---,-22.17,-9.34,-40.63
10358555,---,-76.13,-47.01,-97.16
10358557,---,-33.35,-32.07,-34.60
10358559,---,-23.49,-49.29,-6.31
10358561,---,-54.40,-77.43,-38.82
10358563,Hmcn1,-77.51,-99.10,-43.56
10358565,---,-45.23,-71.06,-30.16
10358567,---,-59.57,-68.92,-51.33
10358569,---,-39.47,-70.88,-21.43
10358571,Hmcn1,-14.79,-10.82,-20.41
10358573,---,-32.80,-24.83,-43.23
10358575,Hmcn1,-28.48,-23.47,-33.40
10358577,---,-73.99,-45.87,-96.75
10358579,---,-14.12,-7.27,-25.52
10358581,---,-42.59,-41.41,-43.62
10358583,Hmcn1,-55.33,-41.37,-74.11
10358585,Hmcn1,-69.92,-42.53,-93.11
10358587,---,-24.37,-32.54,-18.20
10358589,---,-68.75,-94.25,-36.00
10358591,Hmcn1,-54.06,-45.96,-62.88
10358593,Hmcn1,-42.88,-27.74,-63.11
10358595,---,-38.96,-30.52,-50.30
10358597,---,-20.44,-14.72,-27.65
10358599,---,-21.46,-11.39,-34.87
10358601,Hmcn1,-12.44,-6.02,-21.58
10358603,---,-35.30,-23.60,-50.39
10358605,---,-10.25,-0.60,-31.42
10358607,Hmcn1,-44.50,-44.97,-43.97
10358609,---,12.65,18.31,8.56
10358611,---,-45.52,-47.03,-43.68
10358613,---,-76.76,-47.54,-95.25
10358615,Hmcn1,-43.40,-14.12,-85.65
10358617,---,-15.17,-3.44,-43.61
10358619,Hmcn1,-22.06,-9.42,-40.90
10358621,Hmcn1,-61.59,-30.56,-90.39
10358623,---,-28.98,-19.93,-41.00
10358625,---,-9.96,-9.20,-10.98
10358627,---,-24.71,-43.66,-13.21
10358629,---,-5.42,28.09,-37.75
10358631,Hmcn1,-49.29,-49.09,-49.46
10358633,---,-22.74,-36.08,-10.81
10358635,Hmcn1,-40.13,-32.76,-46.88
10358637,Hmcn1,-54.58,-43.06,-68.33
10358648,---,-22.47,-10.62,-40.27
10358650,---,-39.67,-38.81,-40.51
10358652,---,-49.67,-35.73,-70.83
10358654,Hmcn1,-67.03,-74.28,-59.58
10358656,---,-46.14,-41.79,-50.88
10358658,---,-31.19,-10.44,-66.80
10358660,Hmcn1,-15.97,-3.77,-33.56
10358662,---,-52.57,-21.18,-91.83
10358664,---,-38.83,-35.13,-43.10
10358666,Hmcn1,-38.59,-49.95,-29.20
10358668,---,-51.27,-58.34,-45.45
10358670,---,-36.94,-30.84,-43.35
10358672,Hmcn1,-41.73,-15.88,-71.59
10358675,Ivns1abp,96.17,97.79,92.90
10358677,1200016B10Rik,-97.09,-98.88,-93.04
10358698,Rnf2,-97.29,-98.98,-92.80
10358709,Cox7b,-65.64,-88.00,4.28
10358711,---,57.06,69.19,40.26
10358713,1700025G04Rik,-29.45,-43.42,-15.75
10358717,1700025G04Rik,0.96,0.58,1.21
10358726,Tsen15,-43.41,-72.13,-9.10
10358733,Rgl1,29.64,19.32,39.59
10358754,---,-31.86,-19.63,-44.18
10358757,Smg7,-69.22,-86.83,-36.89
10358785,---,17.13,66.87,-40.18
10358787,Lamc2,-11.06,-15.19,-7.89
10358816,Lamc1,-88.83,-79.33,-95.07
10358845,E330020D12Rik,42.36,48.93,33.36
10358849,Dhx9,-63.55,-25.04,-80.34
10358879,Npl,-65.86,-62.32,-70.49
10358892,F630010C12Rik,70.74,83.88,48.42
10358894,Sord,-38.73,-40.34,-36.99
10358896,Rgsl1,79.30,85.47,70.20
10358913,Rgsl1,24.59,-1.36,46.20
10358921,5830403L16Rik,-1.86,-31.33,43.76
10358926,---,47.22,-5.85,75.99
10358928,Cacna1e,-18.76,-21.44,-16.75
10358978,Ier5,82.49,84.58,80.04
10358982,Mr1,-80.90,-64.17,-93.25
10358991,BC034090,-7.35,6.51,-23.29
10358999,Xpr1,-37.29,-21.75,-51.44
10359024,Gm5532,-11.99,-14.74,-9.71
10359027,Lhx4,88.89,94.07,79.32
10359034,Qsox1,-51.95,-47.65,-56.24
10359050,Cep350,8.03,73.71,-70.03
10359078,Cep350,-45.44,-8.04,-72.27
10359080,Cep350,52.69,80.17,9.70
10359082,---,9.05,55.64,-49.80
10359084,Cep350,47.93,75.39,1.67
10359086,Cep350,1.48,-9.09,10.22
10359097,Tor1aip1 or Tor1aip2,92.14,96.20,85.06
10359113,Fam163a,-21.56,9.24,-76.37
10359118,Tdrd5,-40.43,-38.67,-42.26
10359136,9430070O13Rik,-3.55,-2.96,-4.36
10359161,Soat1,67.21,70.45,63.23
10359181,Tor3a,51.72,33.75,68.14
10359190,Fam20b,-69.20,-76.81,-56.83
10359201,Ralgps2,-66.80,-70.65,-63.91
10359225,1700057K13Rik,-4.99,-1.96,-16.65
10359235,Rasal2,-75.02,-57.48,-94.66
10359255,Fam5b,-5.60,-4.10,-7.69
10359266,Pappa2,-23.12,-28.25,-19.20
10359280,Pappa2,-53.72,-44.14,-64.95
10359282,Pappa2,-29.84,-11.41,-67.73
10359293,1600012P17Rik,54.39,78.90,1.44
10359297,Atp5h,-50.70,-72.83,-17.67
10359299,---,-4.37,-3.70,-5.27
10359303,4930562F07Rik,22.08,-1.54,45.17
10359307,Tnn,-1.09,-0.16,-1.89
10359334,Cacybp,-75.67,-91.33,-44.92
10359339,Rabgap1l,-93.92,-93.28,-94.72
10359375,Gpr52,-61.76,-78.47,-45.65
10359377,Zbtb37,-81.47,-56.71,-92.71
10359386,Dars2,-73.55,-87.42,-56.46
10359405,Klhl20,-56.10,-14.05,-79.02
10359419,4930469G21Rik,-8.86,-38.93,-2.10
10359422,Prdx6 or LOC677654,-70.28,-78.28,-56.82
10359428,Aph1a,77.07,70.58,82.27
10359434,Fasl,-19.15,-30.51,-12.77
10359446,AI848100,-92.45,-88.75,-94.34
10359473,4930558K02Rik,9.07,-0.95,29.12
10359480,Dnm3,-38.33,-26.15,-59.54
10359504,Dnm3os,-6.94,-1.09,-16.59
10359506,Mettl13,-24.55,28.06,-69.54
10359518,Eif4e1b,-43.24,-22.50,-67.16
10359520,Myoc or 7420461P10Rik,-25.34,-4.65,-77.45
10359525,Prrc2c,-76.40,-35.07,-91.40
10359561,Fmo4,-7.85,-4.27,-14.01
10359571,Fmo1,-32.17,-22.89,-51.31
10359582,Fmo2,-33.76,-20.56,-61.24
10359593,Fmo3,-18.57,-9.36,-38.96
10359603,4921528O07Rik,-4.84,-2.69,-8.28
10359624,Prrx1,-34.14,-27.04,-45.20
10359635,Gorab,-55.45,-24.43,-81.31
10359642,---,95.32,96.16,94.37
10359644,Mettl11b,-3.24,-1.40,-8.23
10359648,Scyl3 or BC055324,-41.59,-12.33,-72.15
10359677,Blzf1,-97.15,-98.67,-94.83
10359689,Atp1b1,-84.04,-67.10,-98.66
10359697,Xcl1,-19.80,-24.42,-15.84
10359701,Tbx19,21.17,-12.00,54.73
10359713,Sft2d2,19.90,5.18,37.25
10359723,Tiprl,-94.59,-94.82,-94.44
10359734,Dcaf6,-91.50,-87.88,-94.74
10359754,Mpzl1,-64.72,-55.07,-76.31
10359762,Rcsd1,41.88,25.77,60.37
10359770,Pou2f1,-44.97,7.79,-84.13
10359793,Dusp27,-3.23,-2.15,-4.91
10359801,Mael,-7.38,-2.87,-36.51
10359814,Ildr2,85.17,93.22,66.34
10359816,Pogk,-14.54,35.25,-58.10
10359826,Uqcr11,-39.78,-95.72,33.15
10359828,Gm4847,45.04,58.18,26.84
10359837,Fmo9,89.99,89.84,90.03
10359849,Uck2,-39.24,-62.21,-19.10
10359851,Uck2,-18.25,5.21,-47.86
10359859,---,95.85,96.05,95.64
10359861,Mgst3,-60.76,-66.29,-55.34
10359867,Lrrc52,51.85,62.66,37.14
10359870,Pbx1,-41.24,-37.22,-44.84
10359888,---,-22.29,-63.90,23.24
10359890,Nuf2,-55.32,-74.88,-41.90
10359908,Rgs4,-35.64,-40.73,-31.42
10359917,Hsd17b7,-62.86,-65.60,-60.31
10359929,Ddr2,-40.00,-30.21,-50.37
10359948,Uap1,-79.83,-91.83,-60.20
10359961,Uhmk1,-21.19,-22.66,-20.03
10359970,Nos1ap,22.95,28.40,16.69
10359982,Atf6,97.46,99.17,92.89
10359999,---,9.97,-12.66,52.22
10360001,---,25.02,18.14,30.74
10360003,Dusp12,-25.35,-15.81,-35.83
10360012,Fcrlb,95.92,96.32,95.30
10360018,Fcrla,-5.55,-11.17,-2.71
10360026,Uqcrb,-70.02,-83.84,-47.61
10360028,Fcgr2b,91.93,92.67,91.09
10360040,Fcgr3,73.76,64.73,81.18
10360046,Sdhc,-75.18,-83.64,-64.31
10360053,Pcp4l1,-94.50,-96.56,-90.92
10360058,Tomm40l,-29.91,-10.21,-47.52
10360070,Fcer1g,78.23,79.03,77.68
10360076,Ndufs2,-48.77,-69.25,-19.70
10360090,Ppox,-24.28,-41.52,-2.87
10360105,Usp21,27.20,14.79,39.55
10360120,Ufc1,-61.71,-94.61,43.09
10360128,Rpl27,17.21,-48.35,64.23
10360130,Nit1 or Dedd,-62.01,-84.56,-27.94
10360139,Klhdc9,92.39,86.33,95.59
10360145,---,-4.83,-3.70,-6.66
10360147,Alyref2,95.06,96.75,92.47
10360149,Itln1 or Itlnb,-11.52,-14.06,-9.51
10360158,Ly9,18.05,23.49,14.15
10360173,Slamf7,61.63,68.99,55.26
10360185,---,49.88,76.32,13.83
10360187,Vangl2,-0.83,-0.21,-1.57
10360202,Nhlh1,-4.91,-1.32,-22.85
10360205,Ncstn or Copa,66.05,49.57,78.63
10360225,Timm23,-82.70,-90.14,-71.32
10360227,Pea15a,37.47,36.70,38.26
10360235,Casq1,-46.24,-47.14,-45.39
10360248,Atp1a4,-11.84,-3.23,-43.54
10360270,Atp1a2,-11.83,-13.44,-10.25
10360297,Kcnj9,7.74,19.69,-0.83
10360306,Slamf8,73.58,69.86,76.77
10360315,Fcrl6,47.21,77.07,-7.91
10360321,Dusp23,70.27,70.96,69.54
10360324,Gm2710,-35.55,-23.33,-47.89
10360326,---,71.63,76.72,65.56
10360328,Apcs,-5.04,-5.80,-4.80
10360332,---,78.01,81.44,74.87
10360334,Olfr1408,52.74,77.24,-4.11
10360336,Olfr1406,-22.46,-92.16,10.66
10360338,Fcer1a,-34.16,-58.92,-18.42
10360344,Darc,-12.88,-9.11,-18.25
10360349,Cadm3,-3.36,-4.25,-2.76
10360367,---,0.77,-2.32,10.53
10360370,BC094916,-16.12,-4.60,-47.42
10360373,Pydc4,10.01,12.34,7.58
10360377,AI607873,70.73,80.26,60.64
10360382,Ifi204 or Mnda,84.25,87.41,80.82
10360391,Ifi203 or LOC100862473 or LOC100862472 or Gm16340,32.84,43.96,18.29
10360398,Ifi202b,-36.32,-24.81,-58.93
10360406,Ifi205,21.05,42.47,0.00
10360410,Olfr231,56.73,70.66,32.56
10360412,Olfr419,-41.05,-57.99,-24.13
10360415,Grem2,-15.86,-36.65,-2.07
10360418,Rgs7,-6.80,-5.04,-9.66
10360443,Fh1,-19.09,-31.26,-4.01
10360454,Opn3,-3.65,8.59,-13.27
10360460,Chml,-56.73,-51.13,-62.28
10360463,Pld5,-7.70,-3.56,-17.34
10360475,Rbm8a or B020018G12Rik,69.46,96.58,-53.64
10360479,Cep170,40.41,66.44,15.72
10360504,Mir350,-19.79,-12.10,-29.50
10360506,Akt3,-10.26,-19.76,-0.24
10360522,Adss,-83.35,-90.34,-74.01
10360538,Pppde1,76.20,78.57,72.67
10360540,4930527J03Rik,92.29,97.20,78.97
10360542,Fam36a or AI503316,-79.30,-75.28,-83.01
10360544,Hnrnpu,-77.46,-72.73,-81.19
10360563,Smyd3,-56.97,-75.65,-33.92
10360578,Rpl29,95.32,96.16,94.37
10360580,Tfb2m,-74.08,-85.02,-54.25
10360589,Ahctf1,-91.16,-90.18,-91.83
10360629,Rpl21,95.32,96.16,94.37
10360631,Adck3,-36.39,-33.59,-39.22
10360648,Psen2,-11.14,-3.64,-19.01
10360662,Gm5069,19.03,-14.70,50.40
10360664,6330403A02Rik,-18.27,-17.37,-19.28
10360666,6330403A02Rik,-6.93,-5.23,-8.67
10360674,Mixl1,88.30,96.49,67.99
10360679,H3f3a or Gm12657 or Gm6749 or H3f3c or H3f3b,31.12,11.66,50.06
10360684,Ephx1,-57.93,-53.79,-62.26
10360695,Nvl,-86.81,-85.86,-87.68
10360720,Wdr26,6.94,1.26,12.53
10360737,Rpl35a or Ino80,32.45,-49.26,75.63
10360741,Ccdc121,68.88,40.47,85.88
10360743,---,11.76,68.14,-40.07
10360745,Lbr,4.61,-3.38,14.07
10360761,---,-38.39,-64.21,-14.14
10360764,Enah,-60.60,-28.10,-98.47
10360786,Vmn1r1,44.65,-31.31,83.23
10360789,Degs1,68.67,48.92,82.28
10360794,Fbxo28,-59.07,-73.56,-37.55
10360802,---,-25.41,-42.86,-4.55
10360804,---,88.58,94.70,76.87
10360806,Capn2,43.01,40.47,45.32
10360828,4922505E12Rik,79.63,97.37,-32.68
10360832,1700056E22Rik,53.19,33.10,68.88
10360834,Hlx,85.60,83.95,86.62
10360840,Mosc1,-23.47,-8.95,-54.36
10360848,Mosc2,-46.86,-78.23,-11.32
10360858,C130074G19Rik,-52.46,-64.95,-39.51
10360863,Mark1,-30.80,-47.70,-17.12
10360884,Iars2,-86.69,-81.87,-89.70
10360909,9630028B13Rik,-17.09,-6.29,-28.91
10360912,---,31.66,-16.11,64.75
10360914,Lyplal1,-90.21,-87.39,-92.85
10360920,Tgfb2,-44.79,-41.65,-47.84
10360934,Rrp15,-35.35,-34.94,-35.78
10360942,Spata17,-0.69,20.59,-4.52
10360957,Kctd3,-81.89,-76.76,-86.43
10360970,---,-0.12,51.45,-17.60
10360972,Kcnk2,-17.95,-8.13,-33.73
10360983,Pdcd5 or Gm3837,-85.54,-95.31,-72.03
10360985,Cenpf,-46.74,-24.24,-80.96
10361007,Smyd2,-91.59,-88.09,-93.92
10361021,---,97.77,98.22,97.16
10361023,Prox1,-44.76,-47.61,-41.66
10361031,Rps6kc1,-12.85,24.52,-46.94
10361055,Vash2,-20.44,-12.98,-30.68
10361063,---,-3.38,-25.25,25.70
10361065,Mfsd7b,63.85,64.57,62.90
10361075,Mfsd7b,79.09,89.56,57.16
10361078,Tatdn3,48.98,61.47,32.24
10361089,Fam71a,-0.23,-0.32,-0.13
10361091,Atf3,58.49,69.02,48.10
10361098,Nenf,-31.82,-51.01,-12.38
10361104,Ppp2r5a or Tmem206,8.04,-27.80,41.18
10361110,Dtl,-63.13,-55.21,-72.51
10361129,---,86.69,94.93,47.00
10361131,---,37.19,14.59,53.33
10361133,---,89.36,65.06,97.90
10361135,1700034H15Rik or Slc30a1,97.11,97.94,95.67
10361139,Traf5,35.51,17.86,49.76
10361152,Gstp2 or Gstp1,-18.89,-41.06,5.20
10361156,Rcor3,-48.22,-35.25,-60.13
10361169,Hhat,-50.59,-32.01,-68.33
10361184,---,76.56,69.68,82.36
10361186,Sertad4,-63.15,-65.15,-61.26
10361191,Syt14,-23.57,-14.73,-38.91
10361200,Diexf,-41.69,-23.06,-62.17
10361215,Traf3ip3 or A130010J15Rik,13.61,13.67,13.55
10361234,Hsd11b1,-35.59,-25.47,-48.11
10361246,G0s2,-37.76,-35.73,-40.19
10361250,Camk1g,-49.63,-24.57,-83.29
10361265,Mir205,-13.80,-16.94,-11.33
10361267,---,40.12,8.19,61.94
10361270,Cd46,-66.61,-49.16,-79.29
10361282,Cr1l,-60.93,-83.98,-18.85
10361292,Cr2,-18.13,-30.09,-11.61
10361323,Cnksr3,-15.68,-28.30,-1.96
10361338,Ipcef1,-11.42,-2.78,-23.87
10361352,---,-3.68,14.10,-14.11
10361356,---,-73.69,-5.80,-98.33
10361358,Rgs17,-29.62,-22.00,-39.51
10361366,Mtrf1l,-93.75,-98.95,-78.04
10361375,Fbxo5,-79.54,-92.00,-63.00
10361381,Syne1,-81.12,-77.66,-84.12
10361507,---,-7.57,-3.68,-13.81
10361509,Syne1,95.32,96.16,94.37
10361616,---,96.25,94.56,97.35
10361620,Rmnd1 or Gm5512,-40.43,-52.49,-26.58
10361635,Zbtb2,43.33,33.23,52.90
10361640,---,17.51,-71.55,81.73
10361642,Lrp11,-20.45,-26.68,-15.84
10361651,Nup43,-80.84,-94.62,-57.75
10361660,Lats1,-85.61,-75.61,-90.88
10361669,Katna1,-54.26,-72.02,-18.86
10361680,BC013529,59.80,60.73,59.04
10361682,Ppil4,-84.54,-84.62,-84.51
10361698,Zc3h12d,57.46,51.32,63.60
10361705,Sash1,75.43,82.07,65.69
10361708,---,77.29,93.10,31.15
10361710,Gm5177,4.75,3.35,6.30
10361712,Shprh,-79.62,-66.77,-86.84
10361748,Fbxo30,-77.13,-90.39,-62.07
10361754,Epm2a,-34.27,-35.77,-32.97
10361760,Timm8a1,-75.91,-98.73,-30.89
10361763,---,79.95,79.55,80.73
10361765,---,42.28,15.77,62.29
10361767,Sf3b5,-1.74,-27.62,34.15
10361771,Plagl1,-53.96,-66.02,-44.05
10361787,Ltv1,56.62,71.81,39.69
10361790,Fuca2,28.96,35.52,21.93
10361799,Adat2,-57.52,-82.04,-29.70
10361807,Hivep2,5.62,39.87,-30.40
10361816,Rpl23a or Gm10132 or Gm3362,95.32,96.16,94.37
10361818,Nmbr,-2.10,9.30,-7.95
10361824,---,32.70,93.18,-85.70
10361828,Cited2,15.95,14.68,17.29
10361834,Txlnb,-73.23,-98.76,-31.12
10361846,Reps1,31.13,18.48,42.89
10361867,Gm10827,-21.45,-6.59,-41.08
10361869,Nhsl1,-53.57,-65.13,-41.84
10361882,Nhsl1,-66.14,-50.80,-81.26
10361887,Perp,-32.92,-39.81,-26.24
10361892,---,-67.96,-75.71,-59.41
10361895,Olig3,-3.69,40.05,-26.35
10361897,Ifngr1,85.47,83.43,87.11
10361906,Il22ra2,11.86,9.58,14.49
10361914,---,60.83,72.08,47.56
10361918,Il20ra,-2.46,2.83,-6.94
10361926,Map3k5,75.47,67.26,82.46
10361956,Mtap7,-34.42,-15.09,-56.16
10361977,Gm6251,-36.26,-65.40,-9.07
10361979,Bclaf1,-97.18,-96.78,-97.59
10361995,Fam54a,-48.76,-38.76,-59.43
