"","Gene.Symbol","GEXC_AMs_1","GEXC_AMs_2","GEXC_AMs_3","GEXC_DC_Lu_CD103+_1","GEXC_DC_Lu_CD103+_2","GEXC_DC_Lu_CD103+_3","GEXC_DC_Lu_CD103+_4","GEXC_DC_Lu_CD103+_5","GEXC_DC_Lu_CD24+_1","GEXC_DC_Lu_CD24+_2","GEXC_DCLuLN_CD103+_1","GEXC_DCLuLN_CD103+_2","GEXC_DCLuLN_CD103+_3","GEXC_DCLuLN_CD11b+_1","GEXC_DCLuLN_CD11b+_2","GEXC_DCLuLN_CD11b+_3","GEXC_L+WT_1","GEXC_L+WT_2","GEXC_L+WT_3","GEXC_LMIsW_1","GEXC_LMIsW_2","GEXC_LMIsW_3","GEXC_MF_BM_1","GEXC_MF_BM_2","GEXC_MF_BM_3","GEXC_MF_CNS_1","GEXC_MF_CNS_2","GEXC_MF_CNS_3","GEXC_MF_Lu_CD11b+_CD24-_1","GEXC_MF_Lu_CD11b+_CD24-_2","GEXC_MF_PC_480hi_1","GEXC_MF_PC_480hi_2","GEXC_MF_PC_480hi_3","GEXC_MF_PC_480lo_1","GEXC_MF_PC_480lo_2","GEXC_MF_PC_480lo_3","GEXC_MF_SI_1","GEXC_MF_SI_2","GEXC_MF_SI_3","GEXC_MF_SI_4","GEXC_MF_SI_5","GEXC_MF_SI_6","GEXC_MF_SI_7","GEXC_MF_SLN_1","GEXC_MF_SLN_2","GEXC_MF_SP_1","GEXC_MF_SP_2","GEXC_MF_SP_3","GEXC_Mo_Bl_Ly6C-_II-_1","GEXC_Mo_Bl_Ly6C-_II-_2","GEXC_Mo_Bl_Ly6C-_II+_1","GEXC_Mo_Bl_Ly6C-_II+_2","GEXC_Mo_Bl_Ly6C-_IIint_1","GEXC_Mo_Bl_Ly6C-_IIint_2","GEXC_Mo_Bl_Ly6C-_IIint_3","GEXC_Mo_Bl_Ly6C-_IIint_4","GEXC_Mo_Bl_Ly6C-_IIint_5","GEXC_Mo_Bl_Ly6C+_II-_1","GEXC_Mo_Bl_Ly6C+_II-_2","GEXC_Mo_Bl_Ly6C+_II-_3","GEXC_Mo_Bl_Ly6C+_II+_1","GEXC_Mo_Bl_Ly6C+_II+_2","GEXC_Mo_Bl_Ly6C+_II+_3","GEXC_Mo_BM_Ly6C-_II-_1","GEXC_Mo_BM_Ly6C-_II-_2","GEXC_Mo_BM_Ly6C-_II-_3","GEXC_Mo_BM_Ly6C+_II-_1","GEXC_Mo_BM_Ly6C+_II-_2","GEXC_Mo_BM_Ly6C+_II-_3"
"Dnajb4","Dnajb4",-94.85,-79.71,-71.25,-94.98,-95.77,-98.21,-96.9,-98.56,-9.16,-12.35,-98.04,-91.71,-98.82,-60.86,-49.96,-51.88,-35.17,-55.5,-27.66,3.29,-23.95,-15.62,-34.12,-76.05,-65.92,-73.25,29.6,5.56,6.51,19.22,-16.75,7.95,-10.86,0.53,33.57,-11.39,46.24,50.76,76.75,81.04,69.38,72,88.53,-61.47,-46.82,-86.65,29.04,-63.74,-49.21,-51.92,-87.61,-76.96,-58.12,-36.65,-60.17,-46.99,-55.1,-67.1,-75.22,-63.09,-80.5,-60.12,-65.05,-92.06,-92.54,-92.98,-96.9,-94.2,-98.65
"Ccl7","Ccl7",-11.72,-21.19,-13.69,-51.37,-78.56,-40.26,-28.06,-39.78,18.69,14.75,-29.4,-42.4,-47.79,-39.01,-16.2,-10.4,-28.01,-26.55,-22.01,75.56,74.55,61.62,-27.6,-54.91,-31.93,-3.7,-10.79,-9.28,26.36,49.9,-42.06,-8,-34.37,-5.48,33.13,-1.44,29.6,29.9,11.72,20.91,30.61,26.16,32.53,-0.71,-0.02,-41.36,-61.04,-64.53,-51.62,-56.07,-12.73,-22.63,-41.42,-70.57,-36.59,-43.86,-40.33,-43.02,-73.13,-49.54,-27.96,-26.28,-31.2,-49.43,-22.33,-36.59,-27.28,-33.16,-29.84
"Ms4a7","Ms4a7",28.85,43.51,29.09,-60.56,-57.19,-46.71,-38.92,-59.54,-10.84,-8.73,-32.51,-54.66,-49.17,-0.14,-8.66,-4.78,29.45,30.29,43.27,97.48,97.48,95.91,-8.45,-2.55,-0.62,-18.48,-42.95,-23.48,58.41,63.1,-71.91,-35.66,-30.69,-52.74,-41.06,-83.24,82.45,77.28,84.98,85.7,88.22,91.95,88.58,-5.39,29.45,41.35,48.68,49.4,-49.19,-26.46,-10.88,-2.6,-43.68,-48.63,-40.15,-19.85,-23.54,-27.1,-18.83,-22.46,-16,-14.72,31.13,-39.14,-37.34,-53.52,-28.04,-31.88,-21.44
"Tmem119","Tmem119",-77.42,-60.51,-80.28,-42.46,-38.83,-34.14,-78.1,-61.75,-50.06,-20.48,-28.8,-45.41,-10.51,-12.33,-26.11,-24.97,-32.87,-26.88,-14.12,94.51,93.83,91.05,-45.51,-29.14,-13.54,99.94,99.81,99.88,71.42,76.48,-21.84,-23.95,-6.4,-67.37,-75.49,-53.93,-32.99,-43.34,-20.28,-38.49,-23.2,-32.83,-24.43,-31.27,-39.03,-38.21,-40.91,-28.84,-60.53,-62.92,-44.04,-36.7,-79.2,-90.43,-51.38,-84.88,-77.12,-56.46,-58.24,-44.38,-45.41,-46.77,-70.04,-3.73,5.86,28.27,-20.02,-11.01,-9.57
"Clec10a","Clec10a",-8.71,-16.79,-1.79,-10.3,-6.46,-2.07,-6.7,14.89,94.62,95.12,-46.44,-21.35,-23.99,47.31,40.43,55.94,77.47,76.85,72.59,95.87,95.87,94.99,39.42,49.44,49.81,-6.03,-53.83,-11.04,78.6,73.84,77.22,77.72,80.1,92.49,92.12,92.99,67.46,77.6,81.6,72.09,50.56,74.47,61.7,58.2,88.99,-47.34,-51.68,-74.74,-54.8,-33.3,97.87,97.37,-45.93,-28,-49.04,-13.67,-10.18,34.67,39.3,63.2,90.36,88.49,95.24,77.35,6.13,16.02,65.08,72.34,77.85
"Retnla","Retnla",41.4,5.88,45.25,-69.21,-27.16,-48.03,-59.77,-74.68,83.03,83.48,-18.14,-22.35,-30.99,62.33,27.26,62.56,-2.17,-18.59,-9.54,85.18,90.84,85.18,-76.98,-27.32,-19.01,-15.19,-19.21,-25.66,57.92,51.36,88.91,85.75,85.41,98.64,99.77,99.1,-0.89,-0.42,-10.21,-60.01,-56.1,-12.67,-67.67,-42.5,20.02,-3.86,-23.19,-54.21,-36.53,-24.61,-0.24,-3.34,-33.96,-73.49,-17.06,-78.63,-39.2,-30.65,-32.98,-67.65,-60.17,-80.51,-19.1,-13.07,-51.35,-42.68,-30.02,-28.89,-11.38
"Tm4sf19","Tm4sf19",-26.47,-34.27,-17.56,-22.04,-41.51,-38.27,-37.63,-16.76,-0.99,-4.47,-20.72,-8.59,-11.92,-2.66,-4.37,-1.33,-13.22,-25.48,-9.18,60.8,44.99,58.8,-72.93,-23.03,-27.76,-21.59,-15.72,-33.15,37.64,67.04,-71.14,-50.84,-66.75,-78.43,-74.6,-29.82,80.62,83.3,85.3,84.63,84.86,83.74,89.09,-7.86,-19.77,-23.66,-75.2,-34.51,-11.43,-10.54,-27.59,-45.04,-22.66,-35.33,-24.27,-64.97,-33.69,-35,-40.91,-37.81,-29.09,-4.08,-21.75,-13.71,-22.07,-27.71,-75.75,-37.37,-41.82
"Olfr111","Olfr111",2.36,21.45,-7.85,-66.08,-24.49,-69.49,-12.2,-12.16,69.43,75,-4.19,-2.76,-14.5,83.78,79.22,82.6,-65.4,-67.58,-18.46,78.21,85.3,78.21,-84.55,-56.09,-38.73,-1.66,79.05,52.2,88.01,96.28,-63.44,-67.14,-55.12,-27.54,-71.78,-29.98,44.09,61.99,69.93,35.3,49.16,55.24,72.97,-13.25,-27.82,5.24,-22.65,-9.63,-46.46,-88.46,-59.98,-15.81,-70.04,-91.44,-19.37,-56.37,-36.3,-51.58,-57.02,-65.02,-16.56,-54.01,-42.14,-23.3,-59,-60.69,-94.51,-40.57,-29.25
"Abcc3","Abcc3",-50.21,-29.13,-40.41,-15.4,-17.64,-12.46,-17.14,-15.88,-11.12,-9.38,-29.29,-37.55,-74.29,-27.81,-23.96,-24.02,-10.92,-9.6,-23.88,55.2,54.95,53.58,-9.88,-1.14,-0.88,79.9,58.81,43.81,6.97,29.43,10.83,11.89,27.94,-19.14,-20.56,-19.28,78.9,80.9,86.81,89.61,89.23,84.13,85.69,-12.26,-18.62,98.51,99.32,99.07,-49.05,-53.21,-24.58,-15.22,-64.05,-51.33,-83.82,-56.89,-81.32,-15.36,-15.24,-11.94,-31.99,-15.82,-26.05,-26.21,-30.35,-29.09,-15.82,-12.96,-2.86
"Ifit1","Ifit1",0.21,6.93,-21.17,-71.38,-87.01,-76.56,-61.64,-93.04,71.61,77.87,-14.08,20.84,-14.23,-20.8,50.62,-29.26,86.29,86.34,79.62,75.98,21.1,56.62,-75.91,-82.37,-72.07,-52.17,-65.56,-69.09,57.03,65.25,-59.32,-72.41,-78.45,-42.1,-56.85,-32.22,5.44,8.62,14.99,21.87,21.2,21.25,11.4,74.64,71.1,-56.16,-12.37,-17.3,-74.56,-63.46,-80.44,-17.09,-52.96,-51.31,-56.23,-23.36,-30.46,-8.16,-6.96,-3.65,-39.2,-29,17.92,-46.39,-80.91,-89.74,-51.46,-55.95,-40.36
"Gbp3","Gbp3",-16.01,-23.89,-31.96,-69.11,-66.26,-60.57,-50.21,-67.6,36.83,41,25.85,67.29,34.03,75.83,87.25,68.22,86.97,82.48,85.53,73.87,60.88,61.52,-6.64,-21.67,-22.45,-50.74,-10.85,20.24,55.47,68.02,89.58,89.34,91.22,91.42,89.62,94.75,96.71,95.99,97.72,97.92,97.23,96.91,95.11,76.19,90.9,72.46,80.92,77.27,-7.13,-3.94,0.76,4.33,41.92,-2.21,-3.11,6.81,4.73,83.33,79.52,80.68,73.83,66.77,76.15,-18.12,-25.13,-24.08,47.5,44.69,15.39
"St3gal6 or Dcbld2","St3gal6 or Dcbld2",-74.98,-54.26,-52.74,-69.92,-67.7,-69.5,-62.47,-62.47,-38.15,-29.6,-55.55,-68.43,-67.84,-48.44,-25.08,-43.8,-5.4,-9,-7.96,88.06,80.52,82.85,-0.73,6.36,11.51,78.42,98.72,98.85,38.47,39.95,-93.53,-94.83,-82.77,-92.21,-81.44,-77.09,19.91,18.66,25.58,28.96,30.9,34.08,33.52,-21.56,0.49,-50.49,-26.93,-24.6,-49,-49.31,-62.41,-80.26,-51.84,-29.8,-39.78,-43.58,-60.08,-75.74,-86.65,-82.46,-65.67,-83.55,-65.03,-50.58,-47.65,-69.3,-41.89,-69.72,-70.79
"Rtp4","Rtp4",12.48,21.58,-8.23,-78.41,-85.99,-78.52,-71.83,-78.2,41.05,15.36,-40.08,-16.82,-54.8,9.16,80.37,7.34,98.42,97.43,96.07,95.05,79.38,89.81,35.76,47.77,45.76,-23.73,1.58,13.53,34.06,36.81,61.39,56.53,63.72,57.77,46.59,72.26,58.27,68.82,60,65.23,68.39,69.38,56.72,93.59,94.52,56.53,85.2,85.85,60.09,36.59,81.46,87.43,55.2,74.58,62.91,67.86,60.46,91.89,84.74,89.63,91.55,88.73,90.96,29.35,21.61,24.58,63.13,58.45,62.23
"Maf","Maf",-71.16,-85.8,-75.55,-68.54,-45.99,-28.75,-56.57,-74.07,-45.81,-35.44,-23.67,-80.48,-37.16,-70.8,-40.28,-38.71,-8.91,-3.85,20.01,71.72,74.99,58.65,-22.77,-36.04,-29.46,39.66,83.61,90.1,47.58,33.64,40.33,18.94,28.23,34.15,24.09,13.78,55.54,65.9,58.65,62.79,72.08,66.72,60.29,48.65,54.72,97.19,90.66,93.67,-69.16,-37.42,-3.98,-0.43,-52.38,-57.11,-63.22,-42.59,-53.17,24.04,11.13,-2.82,35.83,31.34,12.05,-83.3,-62.9,-64.97,-64.73,-63.18,-47.69
"St8sia6","St8sia6",-40.24,-33.11,-20.11,-30.19,-23.94,-15.65,-38.01,-22.83,76.97,71.21,63.15,57.29,57.39,98.27,94.34,96.93,5.47,-2.91,13.82,61.32,81.48,69.48,14.2,-20.42,-10.87,-8.9,7.68,-2.82,57.68,73.99,88.77,80.33,82.05,79.94,82.73,70.54,-13.52,-15.04,-15.35,-21.44,-34.17,-40.98,-32.75,-22.72,-14.77,-33.47,-64.5,-30.45,-54.71,-42.7,17.95,13.44,-57.14,-52.82,-62.02,-39.81,-35.48,-21.78,-41.68,-48.09,-17.16,-10.33,-0.34,-24.82,-28.81,-25.7,-29.71,-65.6,-20.2
